,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,34.881,34.881,35.591,35.591,35.947,35.555,35.718,35.718,35.768,35.768,35.768,35.598,35.598,35.766,35.766,35.766,35.842,35.746,35.746,35.688
1,-80.423,-80.423,-81.137,-81.137,-81.371,-81.048,-81.211,-81.211,-81.24,-81.24,-81.24,-81.094,-81.094,-81.235,-81.235,-81.235,-81.289,-81.2,-81.2,-81.15
2,-7.6291,-7.6291,-7.6128,-7.6128,-7.7305,-7.6571,-7.6553,-7.6553,-7.6787,-7.6787,-7.6787,-7.6537,-7.6537,-7.679,-7.679,-7.679,-7.7024,-7.6952,-7.6952,-7.6871
3,-0.077781,-0.077781,-0.075571,-0.075571,-0.078295,-0.076657,-0.076953,-0.076953,-0.077574,-0.077574,-0.077574,-0.077639,-0.077639,-0.077784,-0.077784,-0.077784,-0.078025,-0.077991,-0.077991,-0.077897
4,-4.0987e-05,-4.0987e-05,-3.9418e-05,-3.9418e-05,-4.0271e-05,-3.9648e-05,-3.9562e-05,-3.9563e-05,-4.018e-05,-4.018e-05,-4.018e-05,-4.036e-05,-4.0361e-05,-4.0139e-05,-4.0139e-05,-4.0139e-05,-4.0335e-05,-4.032e-05,-4.032e-05,-4.0301e-05
5,5.961,5.961,5.9567,5.9567,5.9586,5.9686,5.9575,5.9575,5.9606,5.9606,5.9606,5.9598,5.9598,5.9589,5.9589,5.9589,5.959,5.9594,5.9594,5.959
6,0.70501,0.70501,0.71406,0.71406,0.71385,0.70841,0.71069,0.71069,0.71021,0.71021,0.71021,0.71175,0.71175,0.71063,0.71063,0.71063,0.7114,0.71113,0.71113,0.71128
7,0.029843,0.029843,0.025417,0.025417,0.025977,0.023373,0.024757,0.024757,0.024833,0.024833,0.024833,0.024985,0.024985,0.025088,0.025088,0.025088,0.024828,0.024961,0.024961,0.024879
8,0.0098892,0.0098892,0.015812,0.015812,0.015351,0.018214,0.015899,0.015899,0.016098,0.016098,0.016098,0.016107,0.016107,0.015875,0.015875,0.015875,0.016257,0.016083,0.016083,0.016189
9,-0.00016088,-0.00016088,1.2574e-05,1.2574e-05,-9.3423e-05,-4.8652e-05,0.00011279,0.00011279,0.00020596,0.00020596,0.00020596,0.00013151,0.00013151,0.0002066,0.0002066,0.0002066,0.0001681,0.00018357,0.00018357,0.00011674
10,4.9598e-05,4.9598e-05,0.00023108,0.00023108,0.00020526,0.00016924,0.00021921,0.00021921,1.791e-05,1.791e-05,1.791e-05,8.2509e-05,8.2508e-05,3.074e-05,3.074e-05,3.074e-05,3.7894e-05,3.2659e-05,3.2659e-05,9.7906e-05
11,8.4319e-06,8.4319e-06,8.5955e-06,8.5955e-06,5.8633e-06,1.0457e-05,5.872e-06,5.8722e-06,1.0627e-05,1.0627e-05,1.0627e-05,1.4112e-05,1.4112e-05,1.2918e-05,1.2918e-05,1.2918e-05,1.3548e-05,1.2203e-05,1.2203e-05,1.2996e-05
12,4.6679e-06,4.6679e-06,4.4634e-06,4.4634e-06,2.701e-06,2.8968e-06,3.5258e-06,3.5257e-06,1.5484e-07,1.5484e-07,1.5484e-07,1.3429e-06,1.3432e-06,4.7756e-07,4.7756e-07,4.7756e-07,-1.0793e-07,5.575e-07,5.575e-07,7.5194e-07
13,-1.152e-06,-1.152e-06,-7.5681e-07,-7.5681e-07,-1.8177e-06,-5.4773e-07,-1.1268e-06,-1.1275e-06,,,,-2.1294e-06,-2.1292e-06,,,,,,,
14,-4.3073e-07,-4.3073e-07,,,-1.7772e-07,,-2.4698e-07,-2.4662e-07,,,,-1.6542e-07,-1.6582e-07,,,,,,,
