,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,130.36,129.47,129.47,124.02,126.19,125.87,127.31,127.55,128.5,127.73,128.54,127.7,127.68,127.15,128.59,128.59,128.11,127.74,128.33,127.86,127.36,128.14,128.11,127.94,127.71,127.96,128.37,128.39,128.39,128.39,128.1,128.1,128.11,128.09,128.09,127.93,127.93,127.93,127.7,127.7,127.9,127.98,127.98,127.82,127.78,127.77,127.77,127.77,127.97,127.97,127.99,127.91,127.91,128.01,128.01,128.01,127.98,127.91,127.91,127.91,127.91,127.92,128.0,128.0,128.0,128.0,127.94,127.94,127.94,128.03,128.03,128.03,128.03,127.92,127.92
1,-139.09,-137.24,-137.24,-132.12,-133.85,-133.96,-135.25,-135.52,-136.26,-135.6,-136.28,-135.58,-135.68,-135.1,-136.42,-136.42,-135.95,-135.6,-136.15,-135.72,-135.24,-136.0,-135.98,-135.81,-135.61,-135.82,-136.22,-136.23,-136.23,-136.23,-135.95,-135.95,-136.01,-135.96,-135.96,-135.81,-135.81,-135.81,-135.6,-135.6,-135.77,-135.85,-135.85,-135.72,-135.66,-135.66,-135.66,-135.66,-135.84,-135.84,-135.86,-135.79,-135.79,-135.88,-135.88,-135.88,-135.86,-135.79,-135.79,-135.79,-135.79,-135.8,-135.88,-135.88,-135.88,-135.88,-135.82,-135.82,-135.82,-135.91,-135.91,-135.91,-135.91,-135.8,-135.8
2,-5.3336,-5.4565,-5.4565,-5.1449,-5.5502,-5.1839,-5.3033,-5.2843,-5.4933,-5.3849,-5.5073,-5.3813,-5.2663,-5.3088,-5.4268,-5.4268,-5.4112,-5.4001,-5.4433,-5.3984,-5.3731,-5.3965,-5.3863,-5.3887,-5.3574,-5.399,-5.4104,-5.4198,-5.4198,-5.4198,-5.4115,-5.4115,-5.3625,-5.3889,-5.3889,-5.3794,-5.3794,-5.3794,-5.3669,-5.3669,-5.3875,-5.3882,-5.3882,-5.3661,-5.3831,-5.3728,-5.3728,-5.3728,-5.392,-5.392,-5.3903,-5.3722,-5.3722,-5.3888,-5.3888,-5.3888,-5.3798,-5.383,-5.383,-5.383,-5.383,-5.3814,-5.3867,-5.3867,-5.3867,-5.3864,-5.3847,-5.3847,-5.3847,-5.3866,-5.3866,-5.3866,-5.3866,-5.3815,-5.3815
3,-0.075925,-0.08381,-0.08381,-0.084279,-0.088423,-0.063003,-0.074985,-0.076596,-0.076903,-0.075971,-0.080711,-0.075366,-0.07103,-0.074333,-0.0763,-0.0763,-0.077854,-0.078537,-0.078471,-0.076906,-0.078147,-0.076102,-0.076734,-0.076536,-0.075811,-0.077312,-0.077273,-0.076579,-0.076579,-0.076579,-0.076626,-0.076626,-0.07534,-0.076789,-0.076789,-0.075973,-0.075973,-0.075973,-0.075038,-0.075038,-0.076688,-0.075934,-0.075934,-0.075376,-0.076596,-0.075999,-0.075999,-0.075999,-0.076543,-0.076543,-0.077223,-0.076394,-0.076394,-0.076136,-0.076136,-0.076136,-0.075833,-0.076198,-0.076198,-0.076198,-0.076198,-0.076101,-0.075781,-0.075781,-0.075781,-0.075971,-0.07625,-0.07625,-0.07625,-0.075855,-0.075855,-0.075855,-0.075855,-0.075881,-0.075881
4,-3.0747e-05,-4.0958e-05,-4.0958e-05,-3.6753e-05,-3.9006e-05,-3.0698e-05,-3.6794e-05,-3.7658e-05,-3.7531e-05,-3.7695e-05,-3.9687e-05,-3.7277e-05,-3.4723e-05,-3.6381e-05,-3.5566e-05,-3.5566e-05,-3.7737e-05,-3.7462e-05,-3.7524e-05,-3.7345e-05,-3.8139e-05,-3.6404e-05,-3.7251e-05,-3.6973e-05,-3.6927e-05,-3.7101e-05,-3.7289e-05,-3.7153e-05,-3.7153e-05,-3.7153e-05,-3.6787e-05,-3.6787e-05,-3.6759e-05,-3.6937e-05,-3.6937e-05,-3.6728e-05,-3.6728e-05,-3.6728e-05,-3.613e-05,-3.613e-05,-3.7102e-05,-3.704e-05,-3.704e-05,-3.6553e-05,-3.6889e-05,-3.6843e-05,-3.6843e-05,-3.6843e-05,-3.711e-05,-3.711e-05,-3.7242e-05,-3.7116e-05,-3.7116e-05,-3.673e-05,-3.673e-05,-3.673e-05,-3.6754e-05,-3.681e-05,-3.681e-05,-3.681e-05,-3.681e-05,-3.6593e-05,-3.6654e-05,-3.6654e-05,-3.6654e-05,-3.6697e-05,-3.6968e-05,-3.6968e-05,-3.6968e-05,-3.6701e-05,-3.6701e-05,-3.6701e-05,-3.6701e-05,-3.6713e-05,-3.6713e-05
5,0.35507,0.34458,0.34458,0.36019,0.35305,0.34747,0.34568,0.34911,0.34943,0.35178,0.35077,0.35124,0.35113,0.35025,0.35027,0.35027,0.35091,0.35081,0.35063,0.35053,0.35043,0.3505,0.35055,0.35051,0.35049,0.35054,0.3505,0.35052,0.35052,0.35052,0.35052,0.35052,0.35051,0.35051,0.35051,0.3505,0.3505,0.3505,0.35052,0.35052,0.35052,0.35052,0.35052,0.35051,0.35052,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051
6,0.087297,0.09251,0.09251,0.10017,0.093419,0.091295,0.091596,0.094066,0.09516,0.094838,0.093992,0.094314,0.094054,0.094457,0.094906,0.094906,0.094675,0.094283,0.094278,0.094439,0.094439,0.094479,0.094477,0.094402,0.094416,0.094395,0.094453,0.094423,0.094423,0.094423,0.094405,0.094405,0.094413,0.094421,0.094421,0.094423,0.094423,0.094423,0.094426,0.094426,0.094423,0.094435,0.094435,0.094424,0.094418,0.09442,0.09442,0.09442,0.09442,0.09442,0.094427,0.09442,0.09442,0.09442,0.09442,0.09442,0.094425,0.09442,0.09442,0.09442,0.09442,0.094422,0.094419,0.094419,0.094419,0.094422,0.094427,0.094427,0.094427,0.094424,0.094424,0.094424,0.094424,0.094423,0.094423
7,-0.0029172,-0.0020695,-0.0020695,-0.0023841,-0.0028259,-0.0025769,-0.0026652,-0.0025586,-0.0025158,-0.0025888,-0.0026203,-0.0026399,-0.0026371,-0.0025782,-0.002546,-0.002546,-0.0026102,-0.0026099,-0.0026175,-0.0025953,-0.0025808,-0.0025945,-0.0026168,-0.0026063,-0.0025999,-0.0025942,-0.0026042,-0.0026043,-0.0026043,-0.0026043,-0.0025941,-0.0025941,-0.0025944,-0.0025974,-0.0025974,-0.0026016,-0.0026016,-0.0026016,-0.0026018,-0.0026018,-0.0026009,-0.0026104,-0.0026104,-0.0026025,-0.002598,-0.0025992,-0.0025992,-0.0025992,-0.0025998,-0.0025998,-0.002604,-0.002599,-0.002599,-0.0025986,-0.0025986,-0.0025986,-0.0026022,-0.0025987,-0.0025987,-0.0025987,-0.0025987,-0.0026007,-0.0025987,-0.0025987,-0.0025987,-0.0026,-0.0026042,-0.0026042,-0.0026042,-0.0026018,-0.0026018,-0.0026018,-0.0026018,-0.0026007,-0.0026007
8,0.00017759,0.00024424,0.00024424,0.00020999,0.00015875,9.7741e-05,9.8657e-05,0.00012407,0.00015885,0.00023142,0.000199,0.00017989,0.00015225,0.00012912,0.00017201,0.00017201,0.0001861,0.00017573,0.0001479,0.0001499,0.00015474,0.00016574,0.00016446,0.00016375,0.00016652,0.00016252,0.00015926,0.00016346,0.00016346,0.00016346,0.00016443,0.00016443,0.00016503,0.00016413,0.00016413,0.00016269,0.00016269,0.00016269,0.00016257,0.00016257,0.0001631,0.00015966,0.00015966,0.00016219,0.00016393,0.00016343,0.00016343,0.00016343,0.00016325,0.00016325,0.00016186,0.00016363,0.00016363,0.00016371,0.00016371,0.00016371,0.00016223,0.00016366,0.00016366,0.00016366,0.00016366,0.00016308,0.00016375,0.00016375,0.00016375,0.00016317,0.00016168,0.00016168,0.00016168,0.00016261,0.00016261,0.00016261,0.00016261,0.00016284,0.00016284
9,5.8727e-05,8.8288e-05,8.8288e-05,5.2988e-05,4.9142e-05,5.1496e-05,5.3411e-05,5.6367e-05,4.5293e-05,4.6689e-05,4.6151e-05,4.7077e-05,4.9993e-05,5.4118e-05,5.083e-05,5.083e-05,4.6197e-05,4.7906e-05,5.0506e-05,5.1842e-05,5.2284e-05,4.8445e-05,4.7422e-05,4.8353e-05,4.8818e-05,5.0014e-05,4.9374e-05,4.8895e-05,4.8895e-05,4.8895e-05,4.9469e-05,4.9469e-05,4.9722e-05,4.9242e-05,4.9242e-05,4.9199e-05,4.9199e-05,4.9199e-05,4.9167e-05,4.9167e-05,4.9057e-05,4.8854e-05,4.8854e-05,4.9091e-05,4.9274e-05,4.9301e-05,4.9301e-05,4.9301e-05,4.9333e-05,4.9333e-05,4.9048e-05,4.9248e-05,4.9248e-05,4.9183e-05,4.9183e-05,4.9183e-05,4.9252e-05,4.9256e-05,4.9256e-05,4.9256e-05,4.9256e-05,4.9169e-05,4.9167e-05,4.9167e-05,4.9167e-05,4.9177e-05,4.9086e-05,4.9086e-05,4.9086e-05,4.9081e-05,4.9081e-05,4.9081e-05,4.9081e-05,4.9242e-05,4.9242e-05
