,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,16.316,19.051,20.456,20.084,19.678,18.998,18.272,19.156,19.289,18.799,19.548,19.183,19.666,19.2,19.333,18.785,19.658,19.073,19.369,19.308,19.247,19.286,19.286,19.286,19.174,19.321,19.321,19.224,19.312,19.312,19.214,19.294,19.294,19.294,19.283,19.283,19.36,19.224,19.224,19.224,19.297,19.169,19.222,19.272,19.272,19.245,19.245,19.245,19.245,19.214,19.214,19.242,19.242,19.242,19.242,19.267,19.267,19.191,19.204,19.204,19.249,19.249
1,-48.854,-50.414,-51.378,-51.147,-50.813,-50.273,-49.527,-50.434,-50.467,-50.04,-50.701,-50.423,-50.844,-50.422,-50.528,-50.029,-50.807,-50.36,-50.575,-50.529,-50.478,-50.52,-50.52,-50.52,-50.401,-50.548,-50.548,-50.457,-50.53,-50.53,-50.44,-50.517,-50.517,-50.517,-50.497,-50.497,-50.567,-50.446,-50.446,-50.446,-50.513,-50.388,-50.442,-50.49,-50.49,-50.46,-50.46,-50.46,-50.46,-50.427,-50.427,-50.462,-50.462,-50.462,-50.462,-50.485,-50.485,-50.417,-50.431,-50.431,-50.471,-50.471
2,-4.3259,-4.0601,-4.4196,-4.3272,-4.3131,-4.1731,-4.2017,-4.1738,-4.2704,-4.2167,-4.3051,-4.2233,-4.2798,-4.2389,-4.2639,-4.2147,-4.3092,-4.173,-4.2534,-4.2391,-4.2287,-4.2262,-4.2262,-4.2262,-4.2331,-4.2319,-4.2319,-4.2264,-4.2413,-4.2413,-4.2341,-4.2373,-4.2373,-4.2373,-4.245,-4.245,-4.2533,-4.2373,-4.2373,-4.2373,-4.2436,-4.2412,-4.2397,-4.2412,-4.2412,-4.2455,-4.2455,-4.2455,-4.2455,-4.2463,-4.2463,-4.2403,-4.2403,-4.2403,-4.2403,-4.241,-4.241,-4.2338,-4.2334,-4.2334,-4.2377,-4.2377
3,-0.025641,-0.024254,-0.028741,-0.025768,-0.025454,-0.024181,-0.02475,-0.024391,-0.024658,-0.024611,-0.02532,-0.024725,-0.025204,-0.024472,-0.02494,-0.024602,-0.025124,-0.024067,-0.024654,-0.024813,-0.024741,-0.024603,-0.024603,-0.024603,-0.024451,-0.024641,-0.024641,-0.024565,-0.024568,-0.024568,-0.024555,-0.024615,-0.024615,-0.024615,-0.024798,-0.024798,-0.02481,-0.024673,-0.024673,-0.024673,-0.024695,-0.024694,-0.024678,-0.02471,-0.02471,-0.024775,-0.024775,-0.024775,-0.024775,-0.024744,-0.024744,-0.024647,-0.024647,-0.024647,-0.024647,-0.024731,-0.024731,-0.02469,-0.024592,-0.024592,-0.024641,-0.024641
4,-6.4508e-06,-5.2806e-06,-6.2047e-06,-5.5453e-06,-5.5987e-06,-5.1166e-06,-5.5238e-06,-5.5434e-06,-5.3504e-06,-5.4367e-06,-5.6071e-06,-5.5903e-06,-5.5042e-06,-5.3931e-06,-5.4863e-06,-5.4293e-06,-5.5397e-06,-5.3084e-06,-5.441e-06,-5.5009e-06,-5.5513e-06,-5.4433e-06,-5.4433e-06,-5.4433e-06,-5.4061e-06,-5.4474e-06,-5.4474e-06,-5.4027e-06,-5.3852e-06,-5.3852e-06,-5.4081e-06,-5.4488e-06,-5.4488e-06,-5.4488e-06,-5.4677e-06,-5.4677e-06,-5.4796e-06,-5.4591e-06,-5.4591e-06,-5.4591e-06,-5.4447e-06,-5.4641e-06,-5.4518e-06,-5.4559e-06,-5.4559e-06,-5.4876e-06,-5.4876e-06,-5.4876e-06,-5.4876e-06,-5.4781e-06,-5.4781e-06,-5.4455e-06,-5.4455e-06,-5.4455e-06,-5.4455e-06,-5.466e-06,-5.466e-06,-5.4613e-06,-5.4371e-06,-5.4371e-06,-5.4409e-06,-5.4409e-06
5,3.9015,3.9588,3.9128,3.9135,3.9869,3.9435,3.959,3.9618,3.9462,3.9621,3.9591,3.9675,3.9597,3.9624,3.9615,3.9604,3.9615,3.9617,3.9617,3.9614,3.9608,3.9625,3.9625,3.9625,3.9612,3.9615,3.9615,3.9618,3.9619,3.9619,3.9618,3.9617,3.9617,3.9617,3.9618,3.9618,3.9618,3.9617,3.9617,3.9617,3.9619,3.9617,3.9619,3.9619,3.9619,3.9618,3.9618,3.9618,3.9618,3.9617,3.9617,3.9619,3.9619,3.9619,3.9619,3.9618,3.9618,3.9619,3.9617,3.9617,3.9618,3.9618
6,0.34756,0.47581,0.46821,0.473,0.46441,0.48504,0.48291,0.4746,0.48174,0.48064,0.48333,0.48044,0.48203,0.48087,0.48035,0.48015,0.48043,0.48025,0.48027,0.48046,0.48088,0.48017,0.48017,0.48017,0.4807,0.48057,0.48057,0.48044,0.48047,0.48047,0.48044,0.48052,0.48052,0.48052,0.48044,0.48044,0.48045,0.48046,0.48046,0.48046,0.48039,0.48046,0.48039,0.48041,0.48041,0.48044,0.48044,0.48044,0.48044,0.48048,0.48048,0.48039,0.48039,0.48039,0.48039,0.48045,0.48045,0.4804,0.48047,0.48047,0.48043,0.48043
7,0.017043,0.026949,0.025188,0.023479,0.025225,0.025131,0.020956,0.023533,0.02321,0.021619,0.025008,0.02323,0.023018,0.02154,0.022561,0.023143,0.023314,0.022752,0.0232,0.022793,0.022592,0.022826,0.022826,0.022826,0.022716,0.022592,0.022592,0.02286,0.022709,0.022709,0.022767,0.022712,0.022712,0.022712,0.022662,0.022662,0.022768,0.022787,0.022787,0.022787,0.022724,0.022782,0.02273,0.022733,0.022733,0.022772,0.022772,0.022772,0.022772,0.022807,0.022807,0.022731,0.022731,0.022731,0.022731,0.022785,0.022785,0.022731,0.0228,0.0228,0.022761,0.022761
8,0.0085438,0.0085755,0.0062006,0.0091351,0.0081781,0.0075102,0.011185,0.008377,0.0090397,0.010099,0.0070482,0.0086707,0.0088949,0.010616,0.0092968,0.0087471,0.0085558,0.0091978,0.0086423,0.0091042,0.0093434,0.0090562,0.0090562,0.0090562,0.0092785,0.0093234,0.0093234,0.0090566,0.0092688,0.0092688,0.0091705,0.0092741,0.0092741,0.0092741,0.0092401,0.0092401,0.0091709,0.0091735,0.0091735,0.0091735,0.0091685,0.0091783,0.0091632,0.0091686,0.0091686,0.0091686,0.0091686,0.0091686,0.0091686,0.0091696,0.0091696,0.0091618,0.0091618,0.0091618,0.0091618,0.0091679,0.0091679,0.0091614,0.0091704,0.0091704,0.0091663,0.0091663
9,0.00025728,-0.00012114,2.3768e-05,0.000239,-3.4843e-05,5.4957e-05,0.00016598,0.00022793,0.00017454,0.00025223,0.00022493,0.00026408,0.00030759,0.00021307,0.00028026,0.00024082,0.00028983,0.00025695,0.00025496,0.00028043,0.00027751,0.00028045,0.00028045,0.00028045,0.00027835,0.00027975,0.00027975,0.00028129,0.00026657,0.00026657,0.00028209,0.00027488,0.00027488,0.00027488,0.00028167,0.00028167,0.00028031,0.00027946,0.00027946,0.00027946,0.00028399,0.00027969,0.00028217,0.00028273,0.00028273,0.0002806,0.0002806,0.0002806,0.0002806,0.0002781,0.0002781,0.00028377,0.00028377,0.00028377,0.00028377,0.00027996,0.00027996,0.0002836,0.00027865,0.00027865,0.00028085,0.00028085
