,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,2.0562,3.1359,2.928,3.2241,2.7122,2.6097,2.8541,2.8811,2.7488,2.7095,2.5152,2.5859,2.7666,2.5711,2.7935,2.7622,2.9233,2.809,2.809,2.7585,2.8128,2.7475,2.809,2.809,2.7236,2.7236,2.9099,2.9099,2.9059,2.9059,2.8331,2.8331,2.8502,2.8028,2.7847,2.8444,2.7824,2.7824,2.8182,2.8182,2.8594,2.8594,2.8473,2.8473,2.8473,2.8207,2.7927,2.7927,2.7927,2.8312,2.8204,2.8204,2.8242,2.8056,2.8056,2.8133,2.8133,2.8133,2.789,2.789
1,-19.609,-20.038,-19.634,-20.014,-19.52,-19.467,-19.687,-19.667,-19.581,-19.542,-19.349,-19.395,-19.572,-19.409,-19.618,-19.578,-19.738,-19.632,-19.632,-19.592,-19.632,-19.575,-19.63,-19.63,-19.548,-19.548,-19.728,-19.728,-19.719,-19.719,-19.654,-19.654,-19.668,-19.624,-19.609,-19.663,-19.607,-19.607,-19.633,-19.633,-19.676,-19.676,-19.67,-19.67,-19.67,-19.641,-19.615,-19.615,-19.615,-19.652,-19.641,-19.641,-19.645,-19.626,-19.626,-19.634,-19.634,-19.634,-19.611,-19.611
2,-0.91877,-0.86862,-0.97797,-0.92784,-0.90699,-0.89474,-0.90658,-0.95491,-0.90847,-0.91214,-0.9071,-0.92935,-0.93472,-0.90364,-0.9168,-0.92551,-0.92569,-0.91782,-0.91782,-0.90783,-0.92175,-0.91401,-0.92007,-0.92007,-0.91715,-0.91715,-0.92304,-0.92304,-0.92792,-0.92792,-0.91999,-0.91999,-0.92339,-0.92018,-0.91725,-0.92251,-0.91644,-0.91644,-0.92571,-0.92571,-0.92438,-0.92438,-0.91827,-0.91827,-0.91827,-0.92111,-0.91897,-0.91897,-0.91897,-0.9207,-0.92051,-0.92051,-0.91991,-0.92032,-0.92032,-0.92064,-0.92064,-0.92064,-0.91898,-0.91898
3,-0.001005,-0.0009521,-0.0012363,-0.0011321,-0.0011139,-0.0010518,-0.0011139,-0.001205,-0.0011129,-0.0011269,-0.0011121,-0.0011672,-0.0011647,-0.0010925,-0.0011397,-0.0011512,-0.0011286,-0.0011243,-0.0011243,-0.0011144,-0.0011241,-0.001137,-0.001133,-0.001133,-0.0011232,-0.0011232,-0.0011368,-0.0011368,-0.0011449,-0.0011449,-0.0011289,-0.0011289,-0.0011412,-0.0011291,-0.001126,-0.0011358,-0.0011255,-0.0011255,-0.0011411,-0.0011411,-0.0011406,-0.0011406,-0.0011228,-0.0011228,-0.0011228,-0.0011293,-0.0011312,-0.0011312,-0.0011312,-0.0011352,-0.001132,-0.001132,-0.0011278,-0.0011308,-0.0011308,-0.0011322,-0.0011322,-0.0011322,-0.0011313,-0.0011313
4,-1.9001e-08,-1.445e-08,-2.4129e-08,-1.5779e-08,-1.6707e-08,-2.1194e-08,-1.9164e-08,-2.1109e-08,-1.8964e-08,-2.0434e-08,-1.8312e-08,-1.9847e-08,-2.0388e-08,-2.0469e-08,-1.8923e-08,-2.0502e-08,-1.8747e-08,-1.9059e-08,-1.9059e-08,-1.9732e-08,-1.7841e-08,-1.994e-08,-1.8922e-08,-1.8922e-08,-1.869e-08,-1.869e-08,-1.9393e-08,-1.9393e-08,-1.9552e-08,-1.9552e-08,-1.8122e-08,-1.8122e-08,-2.0061e-08,-1.8919e-08,-1.8854e-08,-1.9651e-08,-1.9213e-08,-1.9213e-08,-1.9877e-08,-1.9877e-08,-1.9484e-08,-1.9484e-08,-1.9201e-08,-1.9201e-08,-1.9201e-08,-1.8923e-08,-1.9063e-08,-1.9063e-08,-1.9063e-08,-1.9407e-08,-1.9563e-08,-1.9563e-08,-1.9281e-08,-1.9229e-08,-1.9229e-08,-1.9088e-08,-1.9088e-08,-1.9088e-08,-1.8836e-08,-1.8836e-08
5,1.9643,2.0271,1.9558,1.9858,1.9872,1.9891,1.9709,1.9803,1.9855,1.9847,1.9799,1.978,1.9792,1.9806,1.9803,1.9803,1.9803,1.9806,1.9806,1.9802,1.9799,1.9802,1.9806,1.9806,1.9803,1.9803,1.9801,1.9801,1.9804,1.9804,1.9802,1.9802,1.9803,1.9803,1.9803,1.9802,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803,1.9803
6,0.13259,0.23717,0.23408,0.21181,0.22986,0.24776,0.24324,0.24084,0.23738,0.24037,0.24059,0.23952,0.23989,0.23988,0.24035,0.24043,0.24013,0.23997,0.23997,0.24017,0.24037,0.24038,0.24006,0.24006,0.24021,0.24021,0.24025,0.24025,0.24019,0.24019,0.2402,0.2402,0.24019,0.24019,0.24021,0.24023,0.24019,0.24019,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.2402,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021,0.24021
7,0.0062889,0.014963,0.013489,0.012845,0.010498,0.012768,0.014361,0.013302,0.012524,0.012564,0.012587,0.012786,0.012172,0.011856,0.012446,0.012365,0.012441,0.012472,0.012472,0.012307,0.01233,0.012317,0.012476,0.012476,0.01245,0.01245,0.012353,0.012353,0.012365,0.012365,0.012436,0.012436,0.012396,0.012398,0.012379,0.012362,0.012406,0.012406,0.012399,0.012399,0.012387,0.012387,0.01239,0.01239,0.01239,0.012395,0.012392,0.012392,0.012392,0.012393,0.012393,0.012393,0.012391,0.012393,0.012393,0.012393,0.012393,0.012393,0.012393,0.012393
8,0.0013911,0.0043673,0.0028594,0.0017853,0.0060116,0.0052858,0.0022228,0.0031306,0.0035479,0.0040194,0.004049,0.0037518,0.0043688,0.0048162,0.0041646,0.004238,0.0041528,0.0040838,0.0040838,0.0042925,0.0043041,0.0043043,0.0040913,0.0040913,0.004149,0.004149,0.0042396,0.0042396,0.0042351,0.0042351,0.0041525,0.0041525,0.0041924,0.0041909,0.0042165,0.0042383,0.0041834,0.0041834,0.0041951,0.0041951,0.0042067,0.0042067,0.0042034,0.0042034,0.0042034,0.004198,0.0042013,0.0042013,0.0042013,0.0042005,0.0042006,0.0042006,0.0042006,0.0042006,0.0042006,0.0042007,0.0042007,0.0042007,0.0042005,0.0042005
9,-2.3097e-05,6.7805e-05,6.1612e-05,1.9227e-05,-2.0047e-05,6.3405e-05,7.4416e-05,0.00018347,0.00023355,0.00011107,0.00015003,0.00012935,0.00017531,0.00010307,0.00013209,0.00014025,0.00015939,0.00016369,0.00016369,0.00015102,0.00014944,0.00014782,0.00016377,0.00016377,0.00015562,0.00015562,0.00016033,0.00016033,0.00015418,0.00015418,0.00015976,0.00015976,0.00015897,0.00015885,0.00015678,0.0001559,0.00015926,0.00015926,0.00015759,0.00015759,0.00015808,0.00015808,0.00015772,0.00015772,0.00015772,0.000158,0.00015788,0.00015788,0.00015788,0.00015802,0.00015802,0.00015802,0.00015822,0.00015794,0.00015794,0.00015797,0.00015797,0.00015797,0.00015798,0.00015798
