,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,10.481,6.3612,10.066,9.7282,9.6547,9.5056,9.2843,9.2233,9.5503,9.2715,9.2054,9.1483,9.1677,9.0846,9.2338,8.8385,9.2132,9.0764,9.1085,9.1629,9.1368,9.0857,9.0176,9.1343,9.0691,9.1049,9.0229,9.1511,9.0803,9.0778,9.1408,9.091,9.0241,9.0398,9.1225,9.108,9.0974,9.1205,9.0654,9.0325
1,-29.676,-25.846,-29.21,-28.876,-28.784,-28.563,-28.446,-28.374,-28.685,-28.401,-28.349,-28.311,-28.311,-28.22,-28.381,-28.013,-28.374,-28.243,-28.27,-28.306,-28.301,-28.242,-28.187,-28.283,-28.242,-28.265,-28.19,-28.302,-28.241,-28.24,-28.291,-28.252,-28.181,-28.199,-28.278,-28.269,-28.253,-28.277,-28.224,-28.196
2,-1.5877,-1.1622,-1.4676,-1.4719,-1.4976,-1.5649,-1.4606,-1.4868,-1.4923,-1.4892,-1.4876,-1.4688,-1.4902,-1.4955,-1.4857,-1.4566,-1.4716,-1.4671,-1.4717,-1.4892,-1.4706,-1.4763,-1.4631,-1.4847,-1.4602,-1.473,-1.4658,-1.4819,-1.4724,-1.4705,-1.4821,-1.4722,-1.4754,-1.4734,-1.4774,-1.4719,-1.4769,-1.4763,-1.4744,-1.4697
3,-0.004138,-0.0022683,-0.0031135,-0.003489,-0.003466,-0.0038361,-0.0033885,-0.003621,-0.0034881,-0.0035262,-0.0036265,-0.0034921,-0.0035303,-0.0035503,-0.0035153,-0.0033767,-0.0034539,-0.0034938,-0.003429,-0.0035349,-0.0034316,-0.003507,-0.0033883,-0.0035271,-0.003363,-0.003489,-0.0034253,-0.0035018,-0.0034586,-0.003464,-0.0035396,-0.0034765,-0.0034634,-0.0034842,-0.0034862,-0.0034645,-0.0035037,-0.0034829,-0.003504,-0.003459
4,-1.442e-07,-6.735e-08,-9.8879e-08,-1.2514e-07,-1.155e-07,-1.3437e-07,-1.2163e-07,-1.3511e-07,-1.2464e-07,-1.2318e-07,-1.341e-07,-1.2618e-07,-1.2707e-07,-1.316e-07,-1.2758e-07,-1.2244e-07,-1.2763e-07,-1.3011e-07,-1.2687e-07,-1.2816e-07,-1.2585e-07,-1.3084e-07,-1.2209e-07,-1.3048e-07,-1.2142e-07,-1.2738e-07,-1.2432e-07,-1.2656e-07,-1.268e-07,-1.2741e-07,-1.3043e-07,-1.2764e-07,-1.2801e-07,-1.2819e-07,-1.2863e-07,-1.2728e-07,-1.2948e-07,-1.2777e-07,-1.2959e-07,-1.2761e-07
5,2.5365,2.7545,2.6208,2.5799,2.5996,2.5857,2.6081,2.6016,2.577,2.6053,2.5986,2.5813,2.5959,2.5981,2.5942,2.5971,2.5977,2.5985,2.5978,2.5977,2.5995,2.5967,2.5977,2.5979,2.5984,2.5979,2.5977,2.5978,2.5977,2.5975,2.5978,2.5976,2.5976,2.5976,2.5976,2.5976,2.5976,2.5976,2.5977,2.5976
6,0.22728,0.09785,0.090249,0.13511,0.11395,0.13405,0.12641,0.12784,0.13129,0.12231,0.1295,0.12972,0.1309,0.12717,0.13051,0.12772,0.12717,0.12968,0.129,0.12898,0.12866,0.13032,0.12931,0.12999,0.12907,0.12864,0.1294,0.12909,0.12918,0.12929,0.12899,0.12945,0.12919,0.12923,0.12921,0.12925,0.12917,0.1292,0.12919,0.12914
7,0.027536,0.022344,0.022927,0.023074,0.024956,0.020239,0.019724,0.022227,0.022738,0.022948,0.020855,0.023973,0.023081,0.02093,0.02238,0.021539,0.022836,0.022066,0.021365,0.02105,0.021909,0.021892,0.021541,0.021101,0.021203,0.021799,0.021315,0.02151,0.021573,0.021879,0.021729,0.021556,0.021611,0.021604,0.021753,0.021679,0.021533,0.021466,0.021609,0.021583
8,0.00092675,0.00020887,0.00017876,0.00053051,0.00044153,0.0024257,0.0020036,0.00024007,-9.2391e-06,-0.00032646,0.0012773,-0.00021606,-0.00013865,0.0011282,0.00033648,0.00077895,3.8459e-05,0.00046053,0.00089816,0.0011215,0.00050544,0.00060678,0.00082334,0.0011642,0.0010234,0.00062048,0.00099588,0.0008028,0.00078105,0.00056711,0.00068052,0.00080154,0.00075578,0.00076834,0.00065529,0.00071725,0.00080573,0.0008699,0.00075629,0.00077853
9,3.5429e-05,3.7659e-07,3.3718e-05,0.00013831,6.7757e-05,8.1435e-05,0.00012307,0.0001267,0.0001404,0.00016834,0.00016815,0.00011087,0.00014682,0.00015832,0.0001627,0.00017271,0.0001733,0.0001663,0.00016591,0.00016179,0.00017702,0.00017505,0.00016723,0.00016379,0.00016294,0.00016827,0.00017112,0.00016888,0.00017018,0.00017169,0.00016925,0.00016999,0.00016909,0.00016979,0.00017271,0.00017075,0.00016841,0.00016762,0.000171,0.00016961
10,9.5457e-06,1.2187e-05,1.573e-05,2.6258e-05,6.7471e-06,4.926e-05,1.5352e-05,8.7497e-06,3.9891e-06,4.4962e-07,3.9519e-06,8.6671e-07,5.9439e-06,1.0732e-05,5.6432e-06,5.0436e-06,1.18e-06,4.2876e-06,3.5079e-06,3.6512e-06,4.6409e-06,2.419e-06,4.9401e-06,3.8101e-06,3.3529e-06,2.5234e-06,3.0608e-06,3.3322e-06,2.6427e-06,2.6814e-06,2.843e-06,3.4285e-06,6.1161e-06,2.6817e-06,4.334e-06,4.3459e-06,5.9164e-06,5.469e-06,5.6096e-06,4.0672e-06
11,,1.0066e-05,1.1101e-05,-4.0784e-07,,3.9406e-05,8.6301e-07,,,,,,,1.0337e-06,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,1.592e-06,-1.9097e-09,,,3.5965e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
