,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
0,178.71,183.98,183.98,183.98,182.72,182.72,184.1,184.1,184.1,183.56,182.75,182.75,182.9,183.78,183.78,183.78,183.51,183.82,183.94,183.94,181.7,181.7,182.53,182.72,182.6,182.75,182.75,182.75,183.66,183.03,183.03,183.03,182.84,182.89,182.89,182.89,182.82,182.96,182.89,183.41,182.73,182.73,183.09,183.09,182.72,182.72,182.72,183.31,182.79,183.2,183.2,183.57,183.1,183.1,183.1,183.03,182.89,183.0,183.0,183.18,183.18,183.18,183.18,183.18,183.18,182.83,182.83,182.93,182.91,182.91,182.91,182.91,182.91,182.78,182.78,182.78,182.84,182.87,182.87,182.88,182.88,182.87,182.87,182.87,182.91,182.91,182.91,182.91,182.91,183.06,182.96,182.96,182.96,182.96,182.96,182.98,182.98
1,-178.87,-183.94,-183.94,-183.94,-182.74,-182.74,-184.04,-184.04,-184.04,-183.4,-182.62,-182.62,-182.61,-183.52,-183.52,-183.52,-183.24,-183.6,-183.58,-183.58,-181.55,-181.55,-182.35,-182.47,-182.36,-182.59,-182.59,-182.59,-183.38,-182.8,-182.8,-182.8,-182.58,-182.61,-182.61,-182.61,-182.57,-182.71,-182.69,-183.1,-182.5,-182.5,-182.87,-182.87,-182.49,-182.49,-182.49,-183.05,-182.55,-182.94,-182.94,-183.27,-182.84,-182.84,-182.84,-182.79,-182.66,-182.76,-182.76,-182.91,-182.91,-182.91,-182.91,-182.91,-182.91,-182.59,-182.59,-182.7,-182.66,-182.66,-182.66,-182.66,-182.66,-182.54,-182.54,-182.54,-182.61,-182.64,-182.64,-182.63,-182.63,-182.62,-182.62,-182.62,-182.66,-182.66,-182.66,-182.66,-182.66,-182.79,-182.71,-182.71,-182.71,-182.71,-182.71,-182.73,-182.73
2,-6.8147,-7.3672,-7.3672,-7.3672,-7.1653,-7.1653,-7.1701,-7.1701,-7.1701,-7.2279,-7.2377,-7.2377,-7.3822,-7.3557,-7.3557,-7.3557,-7.371,-7.3294,-7.4657,-7.4657,-7.2563,-7.2563,-7.2877,-7.3641,-7.3473,-7.2686,-7.2686,-7.2686,-7.3921,-7.34,-7.34,-7.34,-7.3689,-7.3853,-7.3853,-7.3853,-7.3525,-7.3541,-7.31,-7.4139,-7.339,-7.339,-7.3332,-7.3332,-7.3391,-7.3391,-7.3391,-7.3673,-7.3429,-7.3669,-7.3669,-7.404,-7.3681,-7.3681,-7.3681,-7.3497,-7.329,-7.3424,-7.3424,-7.3766,-7.3766,-7.3766,-7.3766,-7.3766,-7.3766,-7.3529,-7.3529,-7.3346,-7.3605,-7.3605,-7.3605,-7.3605,-7.3605,-7.3427,-7.3427,-7.3427,-7.3398,-7.3391,-7.3391,-7.3545,-7.3545,-7.3542,-7.3542,-7.3542,-7.3516,-7.3516,-7.3516,-7.3516,-7.3516,-7.3754,-7.3574,-7.3574,-7.3574,-7.3574,-7.3574,-7.3549,-7.3549
3,-0.065476,-0.069635,-0.069635,-0.069635,-0.068601,-0.068601,-0.067715,-0.067715,-0.067715,-0.071054,-0.068781,-0.068781,-0.071976,-0.070145,-0.070145,-0.070145,-0.070878,-0.069654,-0.073178,-0.073178,-0.069573,-0.069573,-0.070182,-0.071359,-0.070733,-0.069641,-0.069641,-0.069641,-0.071272,-0.071064,-0.071064,-0.071064,-0.071267,-0.07148,-0.07148,-0.07148,-0.071427,-0.070965,-0.070562,-0.071576,-0.070757,-0.070757,-0.07079,-0.07079,-0.071135,-0.071135,-0.071135,-0.07117,-0.071053,-0.071231,-0.071231,-0.071828,-0.071234,-0.071234,-0.071234,-0.070931,-0.070702,-0.070883,-0.070883,-0.071455,-0.071455,-0.071455,-0.071455,-0.071455,-0.071455,-0.071159,-0.071159,-0.070719,-0.071131,-0.071131,-0.071131,-0.071131,-0.071131,-0.070943,-0.070943,-0.070943,-0.070806,-0.070836,-0.070836,-0.071027,-0.071027,-0.071018,-0.071018,-0.071018,-0.071017,-0.071017,-0.071017,-0.071017,-0.071017,-0.071239,-0.071086,-0.071086,-0.071086,-0.071086,-0.071086,-0.071082,-0.071082
4,-0.00060741,-0.00059326,-0.00059326,-0.00059326,-0.00056507,-0.00056507,-0.00057037,-0.00057037,-0.00057037,-0.00058823,-0.00058005,-0.00058005,-0.00059641,-0.00058898,-0.00058898,-0.00058898,-0.00058803,-0.00058686,-0.00060098,-0.00060098,-0.00058014,-0.00058014,-0.00058531,-0.0005921,-0.00058898,-0.0005817,-0.0005817,-0.0005817,-0.0005972,-0.00059062,-0.00059062,-0.00059062,-0.0005951,-0.0005933,-0.0005933,-0.0005933,-0.00059373,-0.00059266,-0.00058725,-0.00059755,-0.00059014,-0.00059014,-0.00059039,-0.00059039,-0.00059245,-0.00059245,-0.00059245,-0.00059548,-0.00059109,-0.00059201,-0.00059201,-0.00059675,-0.00059359,-0.00059359,-0.00059359,-0.00059145,-0.00058995,-0.00059052,-0.00059052,-0.00059491,-0.00059491,-0.00059491,-0.00059491,-0.00059491,-0.00059491,-0.00059214,-0.00059214,-0.00059112,-0.00059295,-0.00059295,-0.00059295,-0.00059295,-0.00059295,-0.00059114,-0.00059114,-0.00059114,-0.0005906,-0.00059094,-0.00059094,-0.00059189,-0.00059189,-0.00059155,-0.00059155,-0.00059155,-0.00059175,-0.00059175,-0.00059175,-0.00059175,-0.00059175,-0.00059373,-0.00059252,-0.00059252,-0.00059252,-0.00059252,-0.00059252,-0.00059232,-0.00059232
5,-0.010182,-0.0057184,-0.0057184,-0.0057184,-0.0084449,-0.0084449,-0.0061181,-0.0061181,-0.0061181,-0.0062697,-0.006061,-0.006061,-0.0062277,-0.0062521,-0.0062521,-0.0062521,-0.0062043,-0.0062059,-0.0062067,-0.0062067,-0.0061787,-0.0061787,-0.0062176,-0.0062212,-0.0062041,-0.0061956,-0.0061956,-0.0061956,-0.0062009,-0.0061888,-0.0061888,-0.0061888,-0.0061923,-0.0062051,-0.0062051,-0.0062051,-0.0062047,-0.006215,-0.0062072,-0.0062066,-0.0062064,-0.0062064,-0.0062059,-0.0062059,-0.0062028,-0.0062028,-0.0062028,-0.0062065,-0.0062065,-0.0062022,-0.0062022,-0.0062046,-0.0062083,-0.0062083,-0.0062083,-0.0062076,-0.0062034,-0.0062049,-0.0062049,-0.0062044,-0.0062044,-0.0062044,-0.0062044,-0.0062044,-0.0062044,-0.006207,-0.006207,-0.0062089,-0.0062084,-0.0062084,-0.0062084,-0.0062084,-0.0062084,-0.0062066,-0.0062066,-0.0062066,-0.0062078,-0.0062044,-0.0062044,-0.0062076,-0.0062076,-0.006207,-0.006207,-0.006207,-0.0062067,-0.0062067,-0.0062067,-0.0062067,-0.0062067,-0.0062075,-0.006208,-0.006208,-0.006208,-0.006208,-0.006208,-0.0062079,-0.0062079
6,-0.0075981,-0.0042017,-0.0042017,-0.0042017,-0.002338,-0.002338,-0.0044449,-0.0044449,-0.0044449,-0.0045547,-0.0043966,-0.0043966,-0.0045209,-0.0045481,-0.0045481,-0.0045481,-0.0045055,-0.0045065,-0.00451,-0.00451,-0.0044943,-0.0044943,-0.0045192,-0.0045202,-0.0045068,-0.0045003,-0.0045003,-0.0045003,-0.0045024,-0.0044973,-0.0044973,-0.0044973,-0.0044955,-0.004499,-0.004499,-0.004499,-0.004508,-0.0045097,-0.0045099,-0.0045092,-0.0045057,-0.0045057,-0.0045092,-0.0045092,-0.0045058,-0.0045058,-0.0045058,-0.0045022,-0.0045086,-0.0045064,-0.0045064,-0.0045074,-0.0045007,-0.0045007,-0.0045007,-0.0045032,-0.0045064,-0.0045078,-0.0045078,-0.0045071,-0.0045071,-0.0045071,-0.0045071,-0.0045071,-0.0045071,-0.0045028,-0.0045028,-0.0045005,-0.0045007,-0.0045007,-0.0045007,-0.0045007,-0.0045007,-0.0045033,-0.0045033,-0.0045033,-0.0045014,-0.0045074,-0.0045074,-0.0045018,-0.0045018,-0.004503,-0.004503,-0.004503,-0.0045034,-0.0045034,-0.0045034,-0.0045034,-0.0045034,-0.0045018,-0.0045013,-0.0045013,-0.0045013,-0.0045013,-0.0045013,-0.0045009,-0.0045009
7,-8.1934e-06,2.779e-05,2.779e-05,2.779e-05,2.6059e-05,2.6059e-05,3.0603e-05,3.0603e-05,3.0603e-05,3.1256e-05,2.9929e-05,2.9929e-05,3.1851e-05,3.2231e-05,3.2231e-05,3.2231e-05,3.1178e-05,3.1594e-05,3.1684e-05,3.1684e-05,3.1718e-05,3.1718e-05,3.1859e-05,3.2129e-05,3.2e-05,3.159e-05,3.159e-05,3.159e-05,3.1691e-05,3.1699e-05,3.1699e-05,3.1699e-05,3.109e-05,3.032e-05,3.032e-05,3.032e-05,3.178e-05,3.0834e-05,3.1829e-05,3.1697e-05,3.1209e-05,3.1209e-05,3.1799e-05,3.1799e-05,3.1622e-05,3.1622e-05,3.1622e-05,3.061e-05,3.1676e-05,3.1802e-05,3.1802e-05,3.1652e-05,3.0178e-05,3.0178e-05,3.0178e-05,3.0715e-05,3.1714e-05,3.1735e-05,3.1735e-05,3.1693e-05,3.1693e-05,3.1693e-05,3.1693e-05,3.1693e-05,3.1693e-05,3.0654e-05,3.0654e-05,3.0087e-05,3.015e-05,3.015e-05,3.015e-05,3.015e-05,3.015e-05,3.0804e-05,3.0804e-05,3.0804e-05,3.0314e-05,3.1727e-05,3.1727e-05,3.0425e-05,3.0425e-05,3.0672e-05,3.0672e-05,3.0672e-05,3.0814e-05,3.0814e-05,3.0814e-05,3.0814e-05,3.0814e-05,3.0455e-05,3.0326e-05,3.0326e-05,3.0326e-05,3.0326e-05,3.0326e-05,3.0225e-05,3.0225e-05
8,-2.2197e-05,-1.0193e-05,-1.0193e-05,-1.0193e-05,-1.037e-05,-1.037e-05,-1.0504e-05,-1.0504e-05,-1.0504e-05,-1.0822e-05,-1.06e-05,-1.06e-05,-1.061e-05,-1.0713e-05,-1.0713e-05,-1.0713e-05,-1.0717e-05,-1.067e-05,-1.0687e-05,-1.0687e-05,-1.06e-05,-1.06e-05,-1.0705e-05,-1.0654e-05,-1.0634e-05,-1.0699e-05,-1.0699e-05,-1.0699e-05,-1.0648e-05,-1.0651e-05,-1.0651e-05,-1.0651e-05,-1.071e-05,-1.0853e-05,-1.0853e-05,-1.0853e-05,-1.0653e-05,-1.0785e-05,-1.0656e-05,-1.0662e-05,-1.0747e-05,-1.0747e-05,-1.0666e-05,-1.0666e-05,-1.0676e-05,-1.0676e-05,-1.0676e-05,-1.0798e-05,-1.0675e-05,-1.0644e-05,-1.0644e-05,-1.0675e-05,-1.0879e-05,-1.0879e-05,-1.0879e-05,-1.0788e-05,-1.0659e-05,-1.0674e-05,-1.0674e-05,-1.0661e-05,-1.0661e-05,-1.0661e-05,-1.0661e-05,-1.0661e-05,-1.0661e-05,-1.0815e-05,-1.0815e-05,-1.089e-05,-1.0878e-05,-1.0878e-05,-1.0878e-05,-1.0878e-05,-1.0878e-05,-1.0803e-05,-1.0803e-05,-1.0803e-05,-1.0846e-05,-1.0668e-05,-1.0668e-05,-1.0847e-05,-1.0847e-05,-1.0817e-05,-1.0817e-05,-1.0817e-05,-1.079e-05,-1.079e-05,-1.079e-05,-1.079e-05,-1.079e-05,-1.0832e-05,-1.0858e-05,-1.0858e-05,-1.0858e-05,-1.0858e-05,-1.0858e-05,-1.0855e-05,-1.0855e-05
9,1.6618e-06,3.9308e-06,3.9308e-06,3.9308e-06,4.2441e-06,4.2441e-06,3.7697e-06,3.7697e-06,3.7697e-06,3.7728e-06,3.7274e-06,3.7274e-06,3.8702e-06,3.8151e-06,3.8151e-06,3.8151e-06,3.8087e-06,3.7687e-06,3.8419e-06,3.8419e-06,3.883e-06,3.883e-06,3.8579e-06,3.8956e-06,3.872e-06,3.8556e-06,3.8556e-06,3.8556e-06,3.8187e-06,3.8798e-06,3.8798e-06,3.8798e-06,3.6801e-06,3.5247e-06,3.5247e-06,3.5247e-06,3.8631e-06,3.5797e-06,3.8731e-06,3.8346e-06,3.6774e-06,3.6774e-06,3.8521e-06,3.8521e-06,3.843e-06,3.843e-06,3.843e-06,3.5095e-06,3.8333e-06,3.8749e-06,3.8749e-06,3.8494e-06,3.477e-06,3.477e-06,3.477e-06,3.5872e-06,3.8519e-06,3.8432e-06,3.8432e-06,3.8371e-06,3.8371e-06,3.8371e-06,3.8371e-06,3.8371e-06,3.8371e-06,3.5799e-06,3.5799e-06,3.4624e-06,3.4676e-06,3.4676e-06,3.4676e-06,3.4676e-06,3.4676e-06,3.6464e-06,3.6464e-06,3.6464e-06,3.4214e-06,3.8429e-06,3.8429e-06,3.5387e-06,3.5387e-06,3.6047e-06,3.6047e-06,3.6047e-06,3.6258e-06,3.6258e-06,3.6258e-06,3.6258e-06,3.6258e-06,3.5494e-06,3.5201e-06,3.5201e-06,3.5201e-06,3.5201e-06,3.5201e-06,3.3934e-06,3.3934e-06
