,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,25.617,22.72,23.517,23.517,22.026,22.902,23.043,22.666,22.666,22.181,22.502,22.502,22.295,23.225,22.62,22.522,22.571,22.36,22.292,22.292,22.677,22.677,22.861,22.508,22.508,22.386,22.626,22.626,22.757,22.564,22.564,22.713,22.713,22.48,22.48,22.644,22.544,22.544,22.7,22.7,22.7,22.633,22.633,22.633,22.521,22.521,22.521,22.521,22.563,22.563,22.563,22.589,22.529,22.529,22.581,22.581,22.581,22.541,22.541,22.541,22.541,22.541,22.611,22.619,22.619,22.619,22.619,22.556,22.556,22.556,22.556,22.556,22.607,22.607,22.607,22.607,22.607,22.558,22.558,22.626,22.626,22.626,22.617,22.617,22.617,22.617,22.617
1,-23.865,-23.304,-23.918,-23.918,-22.509,-23.319,-23.42,-23.161,-23.161,-22.63,-22.966,-22.966,-22.756,-23.656,-23.078,-22.976,-23.012,-22.816,-22.752,-22.752,-23.117,-23.117,-23.299,-22.964,-22.964,-22.847,-23.078,-23.078,-23.203,-23.012,-23.012,-23.157,-23.157,-22.924,-22.924,-23.091,-22.996,-22.996,-23.142,-23.142,-23.142,-23.086,-23.086,-23.086,-22.975,-22.975,-22.975,-22.975,-23.015,-23.015,-23.015,-23.039,-22.983,-22.983,-23.031,-23.031,-23.031,-22.993,-22.993,-22.993,-22.993,-22.993,-23.061,-23.068,-23.068,-23.068,-23.068,-23.009,-23.009,-23.009,-23.009,-23.009,-23.056,-23.056,-23.056,-23.056,-23.056,-23.009,-23.009,-23.074,-23.074,-23.074,-23.066,-23.066,-23.066,-23.066,-23.066
2,-0.552,-0.6629,-0.60424,-0.60424,-0.53052,-0.5975,-0.62086,-0.54067,-0.54067,-0.56861,-0.56537,-0.56537,-0.56391,-0.59396,-0.56895,-0.56995,-0.58483,-0.56971,-0.5653,-0.5653,-0.58477,-0.58477,-0.58675,-0.56891,-0.56891,-0.56516,-0.57236,-0.57236,-0.5793,-0.57756,-0.57756,-0.5816,-0.5816,-0.58094,-0.58094,-0.57884,-0.5726,-0.5726,-0.58251,-0.58251,-0.58251,-0.573,-0.573,-0.573,-0.57194,-0.57194,-0.57194,-0.57194,-0.57307,-0.57307,-0.57307,-0.57475,-0.57085,-0.57085,-0.57526,-0.57526,-0.57526,-0.57279,-0.57279,-0.57279,-0.57279,-0.57279,-0.57622,-0.57625,-0.57625,-0.57625,-0.57625,-0.57281,-0.57281,-0.57281,-0.57281,-0.57281,-0.57655,-0.57655,-0.57655,-0.57655,-0.57655,-0.57414,-0.57414,-0.57795,-0.57795,-0.57795,-0.57628,-0.57628,-0.57628,-0.57628,-0.57628
3,-0.00022811,-0.00044207,-0.00027455,-0.00027455,-0.00023046,-0.00030459,-0.00031387,-0.00021551,-0.00021551,-0.00026211,-0.000262,-0.000262,-0.00026977,-0.00027755,-0.00024928,-0.00026732,-0.00026699,-0.00027243,-0.00026179,-0.00026179,-0.00027858,-0.00027858,-0.00028152,-0.00025956,-0.00025956,-0.00025751,-0.00026296,-0.00026296,-0.00026598,-0.00026697,-0.00026697,-0.00027005,-0.00027005,-0.00026861,-0.00026861,-0.00026932,-0.00026028,-0.00026028,-0.000272,-0.000272,-0.000272,-0.00026457,-0.00026457,-0.00026457,-0.00026379,-0.00026379,-0.00026379,-0.00026379,-0.0002632,-0.0002632,-0.0002632,-0.00026542,-0.00026292,-0.00026292,-0.00026561,-0.00026561,-0.00026561,-0.00026298,-0.00026298,-0.00026298,-0.00026298,-0.00026298,-0.00026583,-0.00026723,-0.00026723,-0.00026723,-0.00026723,-0.00026262,-0.00026262,-0.00026262,-0.00026262,-0.00026262,-0.00026665,-0.00026665,-0.00026665,-0.00026665,-0.00026665,-0.00026492,-0.00026492,-0.00026863,-0.00026863,-0.00026863,-0.00026631,-0.00026631,-0.00026631,-0.00026631,-0.00026631
4,-4.2014e-09,-8.5064e-09,-7.6831e-09,-7.6831e-09,-5.9828e-09,-7.3536e-09,-7.7036e-09,-5.4459e-09,-5.4459e-09,-6.9487e-09,-6.3591e-09,-6.3591e-09,-6.6061e-09,-6.8552e-09,-6.3718e-09,-6.6391e-09,-6.7062e-09,-6.5512e-09,-6.6806e-09,-6.6806e-09,-6.9701e-09,-6.9701e-09,-7.0588e-09,-6.5559e-09,-6.5559e-09,-6.3721e-09,-6.4682e-09,-6.4682e-09,-6.4553e-09,-6.5207e-09,-6.5207e-09,-6.7498e-09,-6.7498e-09,-6.7213e-09,-6.7213e-09,-6.8601e-09,-6.4131e-09,-6.4131e-09,-6.6987e-09,-6.6987e-09,-6.6987e-09,-6.6943e-09,-6.6943e-09,-6.6943e-09,-6.5451e-09,-6.5451e-09,-6.5451e-09,-6.5451e-09,-6.5295e-09,-6.5295e-09,-6.5295e-09,-6.8669e-09,-6.4903e-09,-6.4903e-09,-6.5836e-09,-6.5836e-09,-6.5836e-09,-6.5254e-09,-6.5254e-09,-6.5254e-09,-6.5254e-09,-6.5254e-09,-6.76e-09,-6.7763e-09,-6.7763e-09,-6.7763e-09,-6.7763e-09,-6.5908e-09,-6.5908e-09,-6.5908e-09,-6.5908e-09,-6.5908e-09,-6.7569e-09,-6.7569e-09,-6.7569e-09,-6.7569e-09,-6.7569e-09,-6.6597e-09,-6.6597e-09,-6.6489e-09,-6.6489e-09,-6.6489e-09,-6.6881e-09,-6.6881e-09,-6.6881e-09,-6.6881e-09,-6.6881e-09
5,-0.0067889,-0.00057429,-0.00095125,-0.00095125,-0.00090407,-0.00092037,-0.00093767,-0.0008565,-0.0008565,-0.00091894,-0.00085921,-0.00085921,-0.00089814,-0.00090025,-0.00088911,-0.00089536,-0.00088272,-0.0008842,-0.00088242,-0.00088242,-0.00088335,-0.00088335,-0.00088777,-0.00088619,-0.00088619,-0.00088794,-0.00088924,-0.00088924,-0.0008899,-0.00088872,-0.00088872,-0.00088596,-0.00088596,-0.00088778,-0.00088778,-0.00088909,-0.00088704,-0.00088704,-0.00088732,-0.00088732,-0.00088732,-0.00088741,-0.00088741,-0.00088741,-0.00088698,-0.00088698,-0.00088698,-0.00088698,-0.00088663,-0.00088663,-0.00088663,-0.00088943,-0.00088677,-0.00088677,-0.0008869,-0.0008869,-0.0008869,-0.00088707,-0.00088707,-0.00088707,-0.00088707,-0.00088707,-0.00088977,-0.00088696,-0.00088696,-0.00088696,-0.00088696,-0.00088695,-0.00088695,-0.00088695,-0.00088695,-0.00088695,-0.00088698,-0.00088698,-0.00088698,-0.00088698,-0.00088698,-0.00088974,-0.00088974,-0.00088696,-0.00088696,-0.00088696,-0.00088697,-0.00088697,-0.00088697,-0.00088697,-0.00088697
6,-0.0042153,-0.00041209,-0.00065843,-0.00065843,-0.00065506,-0.00066908,-0.00067054,-0.00062361,-0.00062361,-0.00066655,-0.00062617,-0.00062617,-0.00065124,-0.00065499,-0.00064854,-0.00065028,-0.00064022,-0.00064394,-0.00064067,-0.00064067,-0.00064285,-0.00064285,-0.00064456,-0.000644,-0.000644,-0.00064512,-0.0006463,-0.0006463,-0.00064689,-0.00064586,-0.00064586,-0.00064426,-0.00064426,-0.00064512,-0.00064512,-0.00064046,-0.00064452,-0.00064452,-0.00064479,-0.00064479,-0.00064479,-0.00064501,-0.00064501,-0.00064501,-0.00064468,-0.00064468,-0.00064468,-0.00064468,-0.00064457,-0.00064457,-0.00064457,-0.00064024,-0.00064463,-0.00064463,-0.00064478,-0.00064478,-0.00064478,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064071,-0.00064476,-0.00064476,-0.00064476,-0.00064476,-0.00064469,-0.00064469,-0.00064469,-0.00064469,-0.00064469,-0.00064477,-0.00064477,-0.00064477,-0.00064477,-0.00064477,-0.00064051,-0.00064051,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064475,-0.00064475
7,-4.2521e-05,6.5196e-07,3.5753e-06,3.5753e-06,4.4997e-06,4.7636e-06,4.3734e-06,4.2807e-06,4.2807e-06,4.8079e-06,4.3352e-06,4.3352e-06,4.6392e-06,4.6998e-06,4.6704e-06,4.6283e-06,4.5154e-06,4.5764e-06,4.5218e-06,4.5218e-06,4.5741e-06,4.5741e-06,4.5503e-06,4.5623e-06,4.5623e-06,4.583e-06,4.5985e-06,4.5985e-06,4.6072e-06,4.5865e-06,4.5865e-06,4.593e-06,4.593e-06,4.5838e-06,4.5838e-06,4.0749e-06,4.5796e-06,4.5796e-06,4.5825e-06,4.5825e-06,4.5825e-06,4.5896e-06,4.5896e-06,4.5896e-06,4.5873e-06,4.5873e-06,4.5873e-06,4.5873e-06,4.5917e-06,4.5917e-06,4.5917e-06,4.0554e-06,4.5879e-06,4.5879e-06,4.5924e-06,4.5924e-06,4.5924e-06,4.5856e-06,4.5856e-06,4.5856e-06,4.5856e-06,4.5856e-06,4.0754e-06,4.5893e-06,4.5893e-06,4.5893e-06,4.5893e-06,4.585e-06,4.585e-06,4.585e-06,4.585e-06,4.585e-06,4.5895e-06,4.5895e-06,4.5895e-06,4.5895e-06,4.5895e-06,4.0579e-06,4.0579e-06,4.589e-06,4.589e-06,4.589e-06,4.5883e-06,4.5883e-06,4.5883e-06,4.5883e-06,4.5883e-06
8,-1.1915e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
