,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,126.09,126.09,119.51,119.51,119.57,119.57,122.72,120.44,122.36,121.05,120.58,119.78,121.1,121.37,120.67,121.47,121.63,121.11,121.31,121.5,120.99,121.38,120.88,120.93,121.05,120.74,120.85,121.16,121.1,121.32,121.15,121.17,121.2,121.26,120.87,121.08,120.89,121.12,121.03,121.15,121.2,121.05,121.24,121.12,121.12,121.25,121.07,121.23,121.11,121.2,120.93,121.11,121.13,121.07,121.16,121.05,121.01,121.01,121.25,121.04,121.12,121.04,121.23,121.15,120.97,121.15,121.09,121.21,121.11,121.08,121.17,121.03,121.03,121.03,121.17,121.01,121.07,121.07,121.16,121.1,121.12,121.15,121.16,121.16,121.11,121.15,121.13,121.12,121.12,121.11
1,-124.31,-124.31,-118.36,-118.36,-118.66,-118.66,-121.78,-119.6,-121.19,-120.01,-119.65,-118.91,-120.17,-120.38,-119.73,-120.43,-120.65,-120.15,-120.36,-120.53,-120.02,-120.37,-119.92,-119.98,-120.07,-119.78,-119.9,-120.18,-120.1,-120.38,-120.2,-120.21,-120.24,-120.29,-119.92,-120.14,-119.94,-120.15,-120.09,-120.18,-120.21,-120.1,-120.27,-120.17,-120.16,-120.27,-120.11,-120.28,-120.15,-120.24,-119.99,-120.15,-120.16,-120.11,-120.19,-120.1,-120.06,-120.06,-120.27,-120.08,-120.16,-120.08,-120.27,-120.18,-120.02,-120.19,-120.13,-120.24,-120.15,-120.12,-120.2,-120.09,-120.09,-120.09,-120.2,-120.05,-120.12,-120.12,-120.19,-120.15,-120.16,-120.19,-120.2,-120.2,-120.15,-120.19,-120.18,-120.17,-120.17,-120.14
2,-5.5128,-5.5128,-5.1421,-5.1421,-4.9819,-4.9819,-5.0094,-4.9264,-5.2237,-5.1077,-5.0038,-4.939,-5.022,-5.0656,-5.0216,-5.1067,-5.0494,-5.0415,-5.0275,-5.0385,-5.0459,-5.0834,-5.0393,-5.0176,-5.0552,-5.0367,-5.0225,-5.0502,-5.068,-5.0211,-5.0251,-5.0383,-5.0354,-5.0438,-5.0222,-5.02,-5.0281,-5.0498,-5.0097,-5.051,-5.0648,-5.0201,-5.0388,-5.0229,-5.0415,-5.0587,-5.032,-5.0297,-5.033,-5.0352,-5.021,-5.0396,-5.0391,-5.0382,-5.0482,-5.0325,-5.0235,-5.0235,-5.0549,-5.036,-5.0419,-5.0342,-5.0374,-5.0401,-5.0251,-5.0376,-5.0317,-5.0423,-5.0433,-5.0332,-5.0461,-5.0207,-5.0207,-5.0207,-5.0436,-5.0303,-5.0351,-5.034,-5.0442,-5.0331,-5.0378,-5.0361,-5.0388,-5.0388,-5.0379,-5.0352,-5.03,-5.034,-5.034,-5.0364
3,-0.028997,-0.028997,-0.028146,-0.028146,-0.025261,-0.025261,-0.02576,-0.025298,-0.027829,-0.026722,-0.026043,-0.025617,-0.026215,-0.026674,-0.026062,-0.026879,-0.026162,-0.025985,-0.026131,-0.026214,-0.026352,-0.026429,-0.026155,-0.02608,-0.026378,-0.026236,-0.026022,-0.026332,-0.026467,-0.026064,-0.02617,-0.026145,-0.026193,-0.026282,-0.026163,-0.026007,-0.026238,-0.026267,-0.026008,-0.02623,-0.026457,-0.026116,-0.026223,-0.026063,-0.026243,-0.026338,-0.026089,-0.026133,-0.026218,-0.026163,-0.026099,-0.026178,-0.02624,-0.026226,-0.026282,-0.026189,-0.026135,-0.026135,-0.026304,-0.026186,-0.026213,-0.026185,-0.026155,-0.026214,-0.026137,-0.026227,-0.02616,-0.02624,-0.026228,-0.026152,-0.026269,-0.026056,-0.026056,-0.026056,-0.026253,-0.026165,-0.026196,-0.026185,-0.026286,-0.026161,-0.026219,-0.026182,-0.026212,-0.026212,-0.026203,-0.026169,-0.026137,-0.026153,-0.026153,-0.026173
4,-0.00011764,-0.00011764,-0.00011639,-0.00011639,-0.0001057,-0.0001057,-0.00010696,-0.00010649,-0.00011477,-0.00011395,-0.00010908,-0.00010748,-0.00010956,-0.00011221,-0.00010938,-0.0001126,-0.00010942,-0.00010909,-0.00011016,-0.00011056,-0.0001103,-0.00011068,-0.00011011,-0.00010957,-0.00011074,-0.00011045,-0.00010909,-0.00011085,-0.00011129,-0.00010961,-0.00010972,-0.00010996,-0.00011018,-0.00011007,-0.0001099,-0.00010919,-0.00011016,-0.0001106,-0.00010942,-0.00011014,-0.00011138,-0.00010953,-0.00011014,-0.00010958,-0.00011013,-0.00011075,-0.00010952,-0.0001101,-0.0001101,-0.00011006,-0.00010983,-0.0001101,-0.00011028,-0.00011017,-0.00011067,-0.00011005,-0.00011003,-0.00011003,-0.00011057,-0.00011006,-0.00011024,-0.00011012,-0.00010994,-0.00011022,-0.00010989,-0.00011013,-0.00010992,-0.00011025,-0.00011024,-0.00011003,-0.00011045,-0.00010954,-0.00010954,-0.00010954,-0.00011027,-0.00010996,-0.00011001,-0.00011018,-0.00011044,-0.00010995,-0.00011023,-0.00011004,-0.00011015,-0.00011015,-0.00011013,-0.00010998,-0.00010995,-0.00011003,-0.00011003,-0.00011
5,-0.0040778,-0.0040778,-0.0036001,-0.0036001,-0.0033853,-0.0033853,-0.0034877,-0.0034422,-0.0035257,-0.0034471,-0.0034501,-0.003522,-0.0034491,-0.0035068,-0.0034935,-0.0035052,-0.003517,-0.0034922,-0.0034783,-0.0034702,-0.0034901,-0.0034958,-0.0034715,-0.0034825,-0.0034851,-0.0034761,-0.0034816,-0.0034709,-0.0034796,-0.0034829,-0.0034757,-0.0034737,-0.0034882,-0.003482,-0.0034793,-0.0034842,-0.0034795,-0.0034757,-0.0034771,-0.003478,-0.0034789,-0.0034773,-0.0034782,-0.0034762,-0.0034798,-0.0034793,-0.0034761,-0.0034792,-0.0034803,-0.0034766,-0.0034769,-0.0034764,-0.003479,-0.0034766,-0.0034787,-0.0034778,-0.0034782,-0.0034782,-0.0034781,-0.003478,-0.0034778,-0.003477,-0.003477,-0.0034847,-0.0034772,-0.0034778,-0.0034804,-0.0034779,-0.0034788,-0.0034782,-0.0034786,-0.0034781,-0.0034781,-0.0034781,-0.0034794,-0.0034785,-0.003476,-0.0034776,-0.0034779,-0.003476,-0.0034767,-0.0034779,-0.0034774,-0.0034774,-0.0034778,-0.0034781,-0.0034785,-0.0034787,-0.0034787,-0.0034771
6,-0.003026,-0.003026,-0.0027217,-0.0027217,-0.0025665,-0.0025665,-0.0026088,-0.0025881,-0.0026519,-0.0025857,-0.0026126,-0.0026476,-0.00259,-0.0026452,-0.0026215,-0.0026478,-0.0026483,-0.0026347,-0.0026048,-0.0026146,-0.0026261,-0.0026302,-0.0026193,-0.0026187,-0.0026305,-0.0026149,-0.0026253,-0.0026155,-0.0026199,-0.0026265,-0.0026253,-0.0026234,-0.002617,-0.0026201,-0.0026228,-0.0026262,-0.002618,-0.0026209,-0.0026236,-0.0026271,-0.0026233,-0.002624,-0.0026204,-0.0026197,-0.0026202,-0.0026241,-0.0026226,-0.0026234,-0.0026202,-0.0026227,-0.002623,-0.0026231,-0.0026197,-0.0026239,-0.0026223,-0.0026211,-0.0026215,-0.0026215,-0.002622,-0.0026235,-0.0026229,-0.0026248,-0.0026242,-0.0026127,-0.0026246,-0.0026228,-0.0026198,-0.0026234,-0.0026215,-0.0026226,-0.0026215,-0.0026225,-0.0026225,-0.0026225,-0.0026208,-0.0026224,-0.0026258,-0.0026236,-0.0026232,-0.002626,-0.0026248,-0.0026232,-0.0026238,-0.0026238,-0.0026233,-0.0026227,-0.0026221,-0.0026217,-0.0026217,-0.0026242
7,1.6585e-05,1.6585e-05,9.657e-06,9.657e-06,1.1913e-05,1.1913e-05,9.8375e-06,1.1734e-05,1.3429e-05,1.002e-05,1.4736e-05,1.3097e-05,1.1429e-05,1.288e-05,1.1024e-05,1.354e-05,1.2414e-05,1.3488e-05,1.0801e-05,1.2588e-05,1.2101e-05,1.2328e-05,1.2892e-05,1.1996e-05,1.3185e-05,1.1661e-05,1.2633e-05,1.2362e-05,1.2411e-05,1.2793e-05,1.337e-05,1.3234e-05,1.096e-05,1.2066e-05,1.2486e-05,1.2694e-05,1.2036e-05,1.283e-05,1.2978e-05,1.3371e-05,1.2747e-05,1.3002e-05,1.2533e-05,1.2486e-05,1.2294e-05,1.2884e-05,1.2946e-05,1.2781e-05,1.217e-05,1.2902e-05,1.2931e-05,1.2977e-05,1.2214e-05,1.3082e-05,1.2662e-05,1.2586e-05,1.256e-05,1.256e-05,1.268e-05,1.2884e-05,1.2817e-05,1.3153e-05,1.3053e-05,1.0755e-05,1.3126e-05,1.2836e-05,1.2168e-05,1.2877e-05,1.2532e-05,1.2748e-05,1.2518e-05,1.2746e-05,1.2746e-05,1.2746e-05,1.2331e-05,1.2685e-05,1.3379e-05,1.2941e-05,1.2865e-05,1.3392e-05,1.3196e-05,1.2833e-05,1.2978e-05,1.2978e-05,1.2887e-05,1.2771e-05,1.2642e-05,1.2542e-05,1.2542e-05,1.305e-05
8,-7.8553e-06,-7.8553e-06,-6.993e-06,-6.993e-06,-6.999e-06,-6.999e-06,-7.7616e-06,-7.4837e-06,-7.3001e-06,-7.7289e-06,-6.9288e-06,-7.402e-06,-7.583e-06,-7.3338e-06,-7.6037e-06,-7.14e-06,-7.4716e-06,-7.1608e-06,-7.6805e-06,-7.2627e-06,-7.4404e-06,-7.3999e-06,-7.2142e-06,-7.438e-06,-7.217e-06,-7.4981e-06,-7.323e-06,-7.3146e-06,-7.3341e-06,-7.2813e-06,-7.1347e-06,-7.1694e-06,-7.6641e-06,-7.4123e-06,-7.327e-06,-7.3002e-06,-7.4202e-06,-7.2575e-06,-7.2334e-06,-7.1438e-06,-7.2836e-06,-7.2317e-06,-7.3267e-06,-7.3361e-06,-7.3804e-06,-7.2558e-06,-7.2387e-06,-7.2751e-06,-7.3842e-06,-7.2392e-06,-7.2356e-06,-7.2251e-06,-7.3886e-06,-7.2094e-06,-7.2952e-06,-7.3202e-06,-7.3121e-06,-7.3121e-06,-7.2954e-06,-7.2456e-06,-7.2607e-06,-7.1909e-06,-7.2064e-06,-7.7064e-06,-7.2014e-06,-7.265e-06,-7.4103e-06,-7.2498e-06,-7.3255e-06,-7.2781e-06,-7.3211e-06,-7.2846e-06,-7.2846e-06,-7.2846e-06,-7.3619e-06,-7.2896e-06,-7.1398e-06,-7.2336e-06,-7.2556e-06,-7.1361e-06,-7.1841e-06,-7.2555e-06,-7.2278e-06,-7.2278e-06,-7.2497e-06,-7.2742e-06,-7.2991e-06,-7.3208e-06,-7.3208e-06,-7.2102e-06
