,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,135.03,134.64,136.03,135.72,134.5,135.45,134.74,135.14,135.12,134.99,135.11,135.05,135.45,135.23,135.35,135.17,135.2,135.27,135.05,135.21,135.46
1,-259.17,-258.88,-260.21,-259.91,-258.71,-259.59,-258.94,-259.3,-259.24,-259.13,-259.25,-259.19,-259.57,-259.31,-259.48,-259.31,-259.33,-259.37,-259.18,-259.35,-259.56
2,-17.42,-17.367,-17.385,-17.385,-17.352,-17.427,-17.369,-17.409,-17.453,-17.436,-17.424,-17.427,-17.451,-17.483,-17.433,-17.432,-17.447,-17.473,-17.431,-17.436,-17.465
3,-0.37415,-0.36281,-0.36178,-0.35878,-0.36403,-0.36738,-0.36462,-0.36513,-0.36782,-0.36643,-0.36743,-0.3647,-0.36537,-0.36796,-0.36683,-0.36532,-0.36648,-0.36711,-0.36667,-0.36474,-0.36597
4,-0.0026448,-0.0024598,-0.0024912,-0.0024969,-0.0024771,-0.0025714,-0.0025375,-0.0025378,-0.0025702,-0.0025545,-0.0025697,-0.0025405,-0.0025131,-0.0025677,-0.0025474,-0.0025381,-0.0025493,-0.0025561,-0.0025561,-0.0025409,-0.0025362
5,15.913,15.895,15.866,15.861,15.849,15.86,15.861,15.863,15.86,15.861,15.861,15.86,15.861,15.861,15.861,15.86,15.861,15.86,15.86,15.86,15.861
6,1.9314,1.9126,1.8965,1.9088,1.9148,1.9101,1.9058,1.9065,1.909,1.9074,1.9083,1.9085,1.9076,1.9075,1.9079,1.9083,1.9081,1.9081,1.9084,1.9083,1.908
7,0.097316,0.085057,0.089284,0.089394,0.091087,0.090254,0.089168,0.088786,0.090053,0.089066,0.089024,0.088573,0.089022,0.088891,0.088702,0.088759,0.088762,0.088691,0.088715,0.088701,0.088771
8,0.029612,0.045354,0.03855,0.039524,0.037166,0.03735,0.038729,0.039023,0.037637,0.038913,0.038612,0.0395,0.038803,0.039276,0.039154,0.038982,0.038936,0.039116,0.039083,0.039083,0.039085
9,0.0023308,-0.00019562,0.00018241,-6.1923e-05,-0.00012521,-0.00022492,-2.842e-05,-0.00023021,6.5371e-06,-0.00010103,3.5613e-05,3.0895e-05,4.7826e-05,5.8305e-05,0.00025706,0.00018349,0.0001327,0.00011121,0.00027901,0.00013887,0.00021263
10,0.00029182,0.00055776,0.00051021,0.00075019,0.0011167,0.0010467,0.0011697,0.0010909,0.0011135,0.0011141,0.0011594,0.0011708,0.0011488,0.0011399,0.00098882,0.0010565,0.0011077,0.0011151,0.00097569,0.0010889,0.0010341
11,0.00052984,0.00027039,0.00047675,0.0003111,8.2765e-05,0.00019199,8.1314e-05,0.00013442,5.8637e-05,7.6284e-05,4.8104e-05,4.1484e-05,3.9675e-05,4.1009e-05,3.3861e-05,3.0135e-05,3.2907e-05,4.1129e-05,3.3979e-05,3.6301e-05,3.2053e-05
12,0.00011877,8.0747e-05,3.1085e-05,3.1172e-05,3.9231e-05,2.4015e-05,2.7544e-05,2.543e-05,1.9695e-05,2.3986e-05,3.4374e-05,2.8369e-05,2.6712e-05,2.8306e-05,2.8697e-05,2.6737e-05,2.8254e-05,2.9069e-05,2.8063e-05,2.8863e-05,2.8114e-05
13,2.9825e-05,9.4892e-06,3.6132e-06,4.9423e-06,3.3807e-06,3.2256e-06,5.0674e-06,4.5231e-06,4.016e-06,8.0476e-06,5.4389e-06,4.9984e-06,4.7262e-06,7.5209e-06,8.0469e-06,8.7964e-06,4.9412e-06,9.0669e-06,6.7548e-06,1.0254e-05,5.8727e-06
14,8.7988e-06,,,,,,,,,,,,,,,,,,,2.028e-06,
