,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,52.71,54.575,53.967,52.925,53.385,53.237,53.41,53.328,53.407,53.425,52.984,53.366,52.808,53.194,53.145,53.053,53.291,53.019,53.285,53.399,53.213,53.316,53.132,53.155,53.273,53.255,53.251,53.249,53.169,53.114,53.16,53.197,53.1
1,-113.2,-114.9,-114.28,-113.34,-113.78,-113.59,-113.82,-113.73,-113.76,-113.81,-113.34,-113.66,-113.23,-113.54,-113.51,-113.44,-113.63,-113.42,-113.66,-113.76,-113.58,-113.7,-113.55,-113.51,-113.65,-113.64,-113.65,-113.62,-113.55,-113.52,-113.55,-113.58,-113.5
2,-10.383,-10.499,-10.525,-10.415,-10.436,-10.48,-10.421,-10.437,-10.478,-10.449,-10.473,-10.531,-10.413,-10.487,-10.465,-10.445,-10.491,-10.435,-10.46,-10.473,-10.468,-10.452,-10.419,-10.474,-10.455,-10.452,-10.438,-10.461,-10.455,-10.43,-10.443,-10.453,-10.437
3,-0.13548,-0.13683,-0.13563,-0.13712,-0.13322,-0.13552,-0.13365,-0.13427,-0.13644,-0.13679,-0.13807,-0.13784,-0.1339,-0.13606,-0.13562,-0.135,-0.13614,-0.1352,-0.13582,-0.13577,-0.13569,-0.13525,-0.13519,-0.1362,-0.13584,-0.13568,-0.13521,-0.13595,-0.13538,-0.13521,-0.13534,-0.13597,-0.13523
4,-0.00010081,-0.00010044,-9.8519e-05,-9.9574e-05,-9.7834e-05,-0.00010017,-9.7173e-05,-9.8837e-05,-0.00010036,-0.00010066,-0.00010083,-0.00010118,-9.798e-05,-9.9804e-05,-9.8862e-05,-9.8667e-05,-9.9488e-05,-9.8681e-05,-9.9477e-05,-9.9277e-05,-9.9053e-05,-9.9037e-05,-9.8761e-05,-9.9556e-05,-9.9331e-05,-9.9496e-05,-9.8969e-05,-9.9356e-05,-9.8843e-05,-9.8959e-05,-9.8794e-05,-9.9554e-05,-9.8902e-05
5,8.0092,7.979,7.9617,7.9679,7.9662,7.967,7.9635,7.9651,7.9672,7.9656,7.9659,7.9652,7.9655,7.9652,7.9654,7.9655,7.9655,7.9654,7.9654,7.9653,7.9654,7.9655,7.9655,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654,7.9654
6,0.93039,0.91996,0.92916,0.933,0.92937,0.92781,0.93189,0.93172,0.92824,0.92991,0.92985,0.93001,0.93027,0.93056,0.93027,0.93025,0.93033,0.93033,0.93032,0.93036,0.9303,0.9303,0.93027,0.93032,0.93032,0.9303,0.93034,0.93031,0.93033,0.93033,0.93035,0.93032,0.93033
7,0.031683,0.033793,0.03143,0.025197,0.029616,0.028013,0.027968,0.027716,0.029226,0.028603,0.028864,0.029308,0.028643,0.02874,0.028794,0.028803,0.028823,0.02887,0.028793,0.028866,0.028831,0.028818,0.028845,0.028826,0.028824,0.028828,0.028838,0.028814,0.028827,0.028826,0.028844,0.028831,0.028833
8,0.021653,0.017689,0.021035,0.027806,0.022079,0.023395,0.023765,0.024086,0.022131,0.022976,0.022779,0.022192,0.022954,0.022827,0.022731,0.022709,0.022715,0.022633,0.022749,0.022671,0.0227,0.022679,0.022677,0.022684,0.022704,0.022694,0.022677,0.022699,0.022691,0.022691,0.022678,0.02268,0.022683
9,-0.0003987,-0.00021116,-0.00019117,0.00064616,0.0008279,0.00010465,0.0012388,0.0011813,0.00032266,0.00097716,0.00053516,0.00097231,0.0010659,0.0012566,0.00097263,0.00074866,0.0011056,0.0013775,0.0011757,0.0012414,0.0014069,0.0012358,0.00136,0.0012788,0.0013655,0.001288,0.0015178,0.0014141,0.0013108,0.0014553,0.0013403,0.0014683,0.0014427
10,0.00083602,0.00045667,0.00083019,0.00077999,0.00059236,0.0015886,0.00033199,0.0003826,0.0012241,0.00053949,0.00091907,0.0005405,0.00043881,0.00031276,0.0006153,0.00082148,0.0004682,0.00022088,0.00040477,0.00033836,0.00017904,0.00035155,0.00023531,0.00031049,0.00022272,0.00030058,7.8384e-05,0.00017593,0.00027874,0.00013767,0.00024849,0.00012759,0.00014992
11,9.0359e-05,4.3647e-05,0.00010205,0.00017992,4.7144e-05,2.238e-05,6.2891e-05,4.4762e-05,3.8546e-05,3.8477e-05,2.9181e-05,2.9904e-05,3.3528e-05,4.189e-05,3.4431e-05,3.1777e-05,4.7517e-05,4.5663e-05,3.7863e-05,3.9725e-05,4.9779e-05,4.1179e-05,4.5097e-05,4.028e-05,4.7728e-05,4.7225e-05,4.7788e-05,4.5733e-05,5.1193e-05,4.7099e-05,4.9947e-05,5.1209e-05,4.8778e-05
12,4.5189e-05,2.4454e-05,6.9952e-05,7.4042e-05,8.8271e-06,1.7249e-05,9.841e-06,2.0428e-05,2.2193e-05,1.7084e-05,2.5143e-05,1.9828e-05,1.9113e-05,1.6598e-05,1.725e-05,2.2342e-05,1.9214e-06,1.0001e-05,1.7265e-05,1.6123e-05,6.7672e-06,1.5395e-05,1.154e-05,1.4404e-05,4.1158e-06,4.775e-06,3.8072e-06,9.1933e-06,5.2075e-07,7.6308e-06,1.8363e-06,6.2789e-07,4.3577e-06
13,-1.929e-07,1.5247e-06,7.9848e-07,6.7368e-08,,-6.988e-07,,-1.4839e-06,-3.2615e-07,-1.5713e-06,3.0793e-07,-1.0781e-06,-5.7025e-07,-1.6039e-06,-2.5115e-07,-1.1065e-06,,-1.5319e-06,-1.6137e-06,-1.0489e-06,,-1.9613e-06,-2.1712e-06,-1.3512e-06,,,,,,,,,
