29	-15.507555666666667
58	-15.505667
88	-15.505148
112	-15.505097
232	-15.5050265
344	-15.505198833333333
464	-15.504950333333333
576	-15.5048355
696	-15.505092833333334
810	-15.505066166666666
918	-15.504905166666667
1026	-15.504994000000002
1161	-15.505013166666666
1728	-15.5049925
2322	-15.505
2880	-15.504981
3456	-15.505002166666666
4032	-15.504995666666666
4608	-15.504998833333334
5248	-15.504997000000001
5824	-15.504996499999999
6400	-15.5049975
7000	-15.504996666666665
