,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,60.829,60.18,58.781,58.951,58.897,58.701,58.339,58.752,58.596,58.748,58.818,58.7,58.585,58.671,58.681,58.627,58.552,58.758,58.674,58.59,58.694,58.665,58.66,58.772,58.694,58.789,58.691,58.747,58.704,58.578,58.784,58.724,58.64,58.668,58.701,58.678,58.707
1,-60.411,-59.78,-58.552,-58.712,-58.624,-58.453,-58.118,-58.513,-58.358,-58.504,-58.575,-58.472,-58.371,-58.434,-58.447,-58.395,-58.318,-58.513,-58.433,-58.358,-58.458,-58.425,-58.421,-58.524,-58.454,-58.548,-58.45,-58.505,-58.462,-58.345,-58.542,-58.48,-58.405,-58.432,-58.46,-58.439,-58.468
2,-2.4542,-2.4234,-2.2803,-2.2911,-2.3177,-2.292,-2.2717,-2.2883,-2.2845,-2.2902,-2.2895,-2.2769,-2.2611,-2.2854,-2.2829,-2.2799,-2.2812,-2.2932,-2.2879,-2.2794,-2.2833,-2.2871,-2.2869,-2.2956,-2.288,-2.2891,-2.2877,-2.2903,-2.2894,-2.2807,-2.2895,-2.2907,-2.282,-2.2837,-2.2884,-2.2868,-2.2865
3,-0.0042915,-0.0042536,-0.003763,-0.0037859,-0.0039263,-0.0038057,-0.003793,-0.0038555,-0.0038418,-0.0038539,-0.0037952,-0.0037862,-0.0037296,-0.0038195,-0.0038185,-0.0038241,-0.0038221,-0.0038655,-0.0038249,-0.0037992,-0.0038281,-0.0038355,-0.0038307,-0.0038587,-0.0038367,-0.0038273,-0.0038405,-0.003836,-0.0038403,-0.0038162,-0.0038338,-0.0038348,-0.0038189,-0.0038186,-0.0038374,-0.0038338,-0.0038245
4,-1.596e-06,-1.6213e-06,-1.453e-06,-1.4465e-06,-1.4574e-06,-1.4406e-06,-1.4397e-06,-1.4692e-06,-1.4669e-06,-1.459e-06,-1.4433e-06,-1.4445e-06,-1.4157e-06,-1.4449e-06,-1.4507e-06,-1.4488e-06,-1.452e-06,-1.471e-06,-1.4533e-06,-1.4422e-06,-1.4513e-06,-1.4556e-06,-1.4519e-06,-1.4637e-06,-1.4509e-06,-1.4517e-06,-1.4598e-06,-1.4504e-06,-1.456e-06,-1.4481e-06,-1.45e-06,-1.4523e-06,-1.4465e-06,-1.4476e-06,-1.4561e-06,-1.4526e-06,-1.4502e-06
5,-0.0017528,-0.0018034,-0.001753,-0.0017301,-0.0017825,-0.0017672,-0.0017532,-0.0017593,-0.0017702,-0.0017688,-0.0017584,-0.0017609,-0.0017564,-0.0017619,-0.0017633,-0.0017596,-0.0017617,-0.0017604,-0.0017636,-0.0017631,-0.0017637,-0.0017612,-0.0017628,-0.0017622,-0.0017627,-0.0017625,-0.0017627,-0.0017622,-0.0017625,-0.0017629,-0.001762,-0.0017622,-0.0017622,-0.0017625,-0.0017624,-0.0017625,-0.0017624
6,-0.0012631,-0.0013105,-0.0012679,-0.0012517,-0.0012913,-0.0012784,-0.0012673,-0.0012746,-0.001282,-0.0012804,-0.0012729,-0.0012741,-0.0012715,-0.0012751,-0.0012757,-0.0012732,-0.0012745,-0.0012736,-0.0012762,-0.0012758,-0.0012761,-0.0012744,-0.0012756,-0.001275,-0.0012755,-0.0012752,-0.0012755,-0.001275,-0.0012753,-0.0012755,-0.001275,-0.0012751,-0.0012751,-0.0012753,-0.0012752,-0.0012753,-0.0012753
7,5.942e-06,6.601e-06,7.0953e-06,6.1531e-06,6.9692e-06,6.781e-06,6.6715e-06,6.7788e-06,6.7789e-06,6.8297e-06,6.6693e-06,6.7417e-06,6.648e-06,6.7373e-06,6.7563e-06,6.7236e-06,6.7154e-06,6.722e-06,6.7531e-06,6.7477e-06,6.745e-06,6.712e-06,6.7406e-06,6.7328e-06,6.7455e-06,6.7318e-06,6.7435e-06,6.7348e-06,6.7303e-06,6.7327e-06,6.7331e-06,6.7358e-06,6.7291e-06,6.7363e-06,6.7321e-06,6.7336e-06,6.7357e-06
