,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,163.49,165.57,165.57,165.14,165.57,165.14,165.7,165.64,165.9,165.76,165.5,165.65,165.88,166.2,165.83,165.93,165.76,166.02,166.06,165.74,165.91,165.45,165.65,165.9,165.92,165.95,165.89,165.72,165.8,165.92,165.78,165.9,165.74,165.84,165.79,165.8,165.86,165.81
1,-162.97,-165.06,-165.06,-164.72,-165.1,-164.66,-165.1,-165.07,-165.37,-165.27,-165.01,-165.15,-165.36,-165.65,-165.3,-165.42,-165.24,-165.46,-165.53,-165.26,-165.39,-164.96,-165.15,-165.41,-165.39,-165.44,-165.36,-165.21,-165.29,-165.41,-165.27,-165.37,-165.22,-165.34,-165.28,-165.28,-165.34,-165.3
2,-6.6663,-6.5865,-6.5865,-6.5227,-6.5566,-6.5937,-6.6756,-6.6638,-6.6228,-6.5863,-6.5873,-6.6016,-6.6187,-6.6486,-6.6293,-6.611,-6.6135,-6.6569,-6.6235,-6.579,-6.6161,-6.5816,-6.5976,-6.5912,-6.6257,-6.6135,-6.6302,-6.6034,-6.6109,-6.6145,-6.6128,-6.6203,-6.6178,-6.6052,-6.6066,-6.61,-6.6185,-6.6067
3,-0.055186,-0.0538,-0.0538,-0.053561,-0.053646,-0.054604,-0.055553,-0.055162,-0.054813,-0.054111,-0.054068,-0.054409,-0.054414,-0.055083,-0.054711,-0.054456,-0.054476,-0.055135,-0.054681,-0.054114,-0.054431,-0.054273,-0.054619,-0.054338,-0.054602,-0.054547,-0.054789,-0.054518,-0.054639,-0.054606,-0.054616,-0.054634,-0.054625,-0.054452,-0.054494,-0.054518,-0.054648,-0.054454
4,-0.00043595,-0.00043251,-0.00043251,-0.00042251,-0.00042746,-0.00043536,-0.00043707,-0.00043903,-0.00043629,-0.0004316,-0.00043079,-0.00043296,-0.00043282,-0.00043699,-0.00043489,-0.00043361,-0.00043258,-0.00043704,-0.00043604,-0.00042982,-0.00043399,-0.00043253,-0.00043285,-0.0004324,-0.000434,-0.00043402,-0.00043486,-0.00043357,-0.00043459,-0.00043395,-0.00043409,-0.00043452,-0.00043423,-0.00043313,-0.00043356,-0.00043333,-0.00043422,-0.00043297
5,-0.005302,-0.0052293,-0.0052293,-0.0051385,-0.0052373,-0.0052398,-0.0052684,-0.0052073,-0.0052002,-0.0052304,-0.005228,-0.0051909,-0.005216,-0.0052083,-0.0052177,-0.0052167,-0.0052109,-0.0052074,-0.0052105,-0.0052121,-0.0052121,-0.0052131,-0.0052154,-0.0052145,-0.0052134,-0.0052151,-0.0052121,-0.0052139,-0.0052166,-0.0052166,-0.0052137,-0.0052165,-0.0052153,-0.0052143,-0.0052139,-0.0052143,-0.0052127,-0.005214
6,-0.0039806,-0.0039374,-0.0039374,-0.0038576,-0.0039408,-0.0039411,-0.0039584,-0.0039148,-0.0039092,-0.0039327,-0.0039283,-0.0039019,-0.0039265,-0.0039139,-0.0039273,-0.0039232,-0.0039171,-0.0039178,-0.0039166,-0.003922,-0.003924,-0.0039224,-0.0039223,-0.0039195,-0.0039222,-0.0039239,-0.00392,-0.0039224,-0.0039214,-0.0039214,-0.003921,-0.0039214,-0.0039186,-0.0039218,-0.0039215,-0.0039211,-0.0039241,-0.0039219
7,2.3195e-05,2.1521e-05,2.1521e-05,2.0797e-05,2.3165e-05,2.3692e-05,2.2777e-05,2.2676e-05,2.2561e-05,2.2905e-05,2.2224e-05,2.2399e-05,2.3313e-05,2.2049e-05,2.3227e-05,2.2881e-05,2.2734e-05,2.281e-05,2.2709e-05,2.2865e-05,2.3398e-05,2.2999e-05,2.2793e-05,2.2563e-05,2.2923e-05,2.2871e-05,2.2751e-05,2.2932e-05,2.2685e-05,2.273e-05,2.2772e-05,2.2717e-05,2.2215e-05,2.2855e-05,2.2833e-05,2.2726e-05,2.3373e-05,2.2897e-05
8,-9.961e-06,-9.8261e-06,-9.8261e-06,-9.7127e-06,-9.6934e-06,-9.6058e-06,-9.7346e-06,-9.6549e-06,-9.6358e-06,-9.6599e-06,-9.8145e-06,-9.6557e-06,-9.599e-06,-9.7916e-06,-9.6181e-06,-9.6545e-06,-9.6872e-06,-9.6498e-06,-9.6663e-06,-9.6537e-06,-9.5503e-06,-9.6199e-06,-9.6858e-06,-9.7191e-06,-9.6583e-06,-9.6509e-06,-9.6763e-06,-9.6453e-06,-9.6958e-06,-9.6917e-06,-9.6759e-06,-9.6986e-06,-9.771e-06,-9.6629e-06,-9.6657e-06,-9.6885e-06,-9.5715e-06,-9.6577e-06
