,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,44.695,38.909,46.072,43.952,44.157,44.35,43.397,43.721,44.503,43.966,44.178,44.353,43.752,44.238,44.177,43.925,44.012,44.224,44.017,43.953,44.082,44.132,43.995,44.004,44.175,44.078,44.192,44.079,44.102,44.309,44.066,44.087,44.016,44.236,44.196,43.957,44.115,44.104,44.112,44.127,44.101,44.054
1,-70.219,-63.969,-71.459,-69.352,-69.538,-69.751,-68.834,-69.16,-69.922,-69.401,-69.609,-69.76,-69.203,-69.649,-69.614,-69.358,-69.442,-69.651,-69.451,-69.383,-69.517,-69.55,-69.427,-69.437,-69.6,-69.51,-69.614,-69.504,-69.527,-69.728,-69.49,-69.52,-69.445,-69.654,-69.621,-69.389,-69.543,-69.53,-69.538,-69.543,-69.519,-69.48
2,-2.1234,-1.7652,-2.0624,-1.9979,-1.992,-1.9793,-1.9574,-1.9382,-1.979,-1.9603,-1.9603,-1.9739,-1.9469,-1.9885,-1.9629,-1.9544,-1.9612,-1.9647,-1.9607,-1.9661,-1.9583,-1.972,-1.9621,-1.9625,-1.9698,-1.9621,-1.9717,-1.9686,-1.969,-1.9758,-1.9697,-1.9612,-1.9658,-1.9763,-1.9689,-1.9619,-1.9662,-1.9684,-1.9686,-1.9782,-1.9753,-1.9682
3,-0.0016226,-0.0013593,-0.0015218,-0.0015995,-0.0015753,-0.0015827,-0.0015467,-0.0014971,-0.0015173,-0.0015139,-0.0015481,-0.0015488,-0.0014768,-0.0015316,-0.0015188,-0.0015247,-0.0015232,-0.001538,-0.0015283,-0.0015369,-0.0015226,-0.0015588,-0.0015332,-0.0015362,-0.0015339,-0.0015297,-0.0015448,-0.001545,-0.0015433,-0.001549,-0.0015417,-0.0015342,-0.0015374,-0.0015547,-0.001544,-0.0015357,-0.0015384,-0.0015335,-0.0015396,-0.0015555,-0.0015531,-0.001546
4,-2.0736e-07,-1.9042e-07,-2.0346e-07,-2.1658e-07,-2.1531e-07,-2.2174e-07,-2.118e-07,-2.0702e-07,-2.0909e-07,-2.0815e-07,-2.1464e-07,-2.1277e-07,-2.0612e-07,-2.1036e-07,-2.0956e-07,-2.0899e-07,-2.0964e-07,-2.1308e-07,-2.1103e-07,-2.1028e-07,-2.1043e-07,-2.145e-07,-2.1116e-07,-2.1236e-07,-2.1179e-07,-2.0929e-07,-2.1247e-07,-2.115e-07,-2.1248e-07,-2.144e-07,-2.1201e-07,-2.1282e-07,-2.1256e-07,-2.1445e-07,-2.1301e-07,-2.1145e-07,-2.1064e-07,-2.1149e-07,-2.1162e-07,-2.1466e-07,-2.1504e-07,-2.1359e-07
5,0.94998,0.95636,0.97715,0.98203,0.98963,0.9787,0.98321,0.98205,0.98483,0.98157,0.98172,0.98022,0.98444,0.98419,0.9841,0.98675,0.98478,0.98062,0.9826,0.98414,0.98415,0.98378,0.98338,0.98252,0.9839,0.9837,0.98332,0.98361,0.98317,0.98322,0.98339,0.98328,0.98371,0.98345,0.98341,0.98333,0.98321,0.98344,0.9834,0.98335,0.98296,0.9834
6,0.38677,0.39202,0.39735,0.35977,0.4028,0.39225,0.38374,0.389,0.38515,0.39174,0.38403,0.38519,0.38595,0.39328,0.38961,0.3841,0.38583,0.3853,0.38601,0.3878,0.38625,0.38589,0.38691,0.38782,0.38793,0.38721,0.38667,0.3865,0.38614,0.38684,0.38669,0.38678,0.38607,0.38652,0.38675,0.38684,0.38677,0.3867,0.38669,0.38684,0.38702,0.38676
7,0.002382,0.0023518,0.0024624,0.0026059,0.002581,0.0029814,0.0032952,-0.0014047,-0.00056152,0.0029786,0.0013812,0.0017101,0.001201,0.0011586,0.0013256,0.00091957,0.0018175,0.00071817,0.0015671,0.0014952,0.0018399,0.0022152,0.0019473,0.0022049,0.0015883,0.0016066,0.0014573,0.0014644,0.0015929,0.0015844,0.0014597,0.0015769,0.0015976,0.001606,0.0015373,0.0015094,0.0015678,0.0014326,0.0015482,0.0015491,0.0016829,0.001522
8,0.00047843,0.00045222,0.00046602,0.00093793,0.00041304,7.6491e-05,1.0129e-05,0.0042574,0.0035926,7.691e-05,0.0014673,0.0011433,0.0016844,0.0017164,0.0015716,0.0019785,0.0010578,0.0021148,0.0012881,0.0013761,0.0010211,0.00064852,0.00090478,0.00061951,0.0012638,0.0012494,0.0013984,0.0013776,0.0012483,0.0012611,0.0013882,0.0012639,0.0012507,0.0012361,0.0013071,0.0013425,0.0012814,0.0014232,0.0012997,0.001298,0.0011562,0.0013237
9,-1.2984e-06,-1.1918e-06,-1.6147e-06,-4.888e-06,-1.1164e-06,1.3395e-06,9.543e-06,5.3646e-06,-7.3708e-07,2.3662e-06,5.9071e-06,1.0325e-06,-6.8392e-07,1.3469e-06,-1.835e-06,8.733e-07,4.3612e-07,-1.0588e-06,-4.2985e-07,-1.4116e-06,9.5466e-08,1.6733e-06,5.5617e-07,1.6964e-06,-1.4398e-06,-4.4122e-08,-4.9741e-07,9.2945e-07,6.1824e-07,1.6975e-07,4.2643e-07,6.399e-07,1.3556e-06,1.0402e-06,5.692e-07,2.8572e-07,1.8409e-07,1.009e-07,1.9649e-07,3.344e-07,3.0443e-07,4.0393e-07
