,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,122.12,122.12,121.68,121.38,121.38,121.32,121.32,121.1,121.1,121.1,121.1,121.2,121.2,121.23,121.23,121.2,121.2,121.2,121.07,121.19
1,-121.0,-121.0,-120.64,-120.38,-120.38,-120.35,-120.35,-120.15,-120.15,-120.15,-120.15,-120.24,-120.24,-120.26,-120.26,-120.23,-120.23,-120.23,-120.11,-120.22
2,-5.173,-5.173,-5.0717,-5.0757,-5.0757,-5.0456,-5.0456,-5.0328,-5.0328,-5.0328,-5.0328,-5.0424,-5.0424,-5.0459,-5.0459,-5.0469,-5.0469,-5.0469,-5.0328,-5.0448
3,-0.027139,-0.027139,-0.026781,-0.026401,-0.026401,-0.026203,-0.026203,-0.026139,-0.026139,-0.026139,-0.026139,-0.026255,-0.026255,-0.026241,-0.026241,-0.026243,-0.026243,-0.026243,-0.026198,-0.026242
4,-0.00011542,-0.00011542,-0.00011198,-0.00011088,-0.00011088,-0.00010981,-0.00010981,-0.0001097,-0.0001097,-0.0001097,-0.0001097,-0.00011004,-0.00011004,-0.00011041,-0.00011041,-0.00011034,-0.00011034,-0.00011034,-0.00011018,-0.00011024
5,-0.0034761,-0.0034761,-0.0035774,-0.0034953,-0.0034953,-0.0034745,-0.0034745,-0.0034598,-0.0034598,-0.0034598,-0.0034598,-0.0034581,-0.0034581,-0.0034672,-0.0034672,-0.003468,-0.003468,-0.003468,-0.0034794,-0.0034778
6,-0.0026403,-0.0026403,-0.0026831,-0.0026475,-0.0026475,-0.0026318,-0.0026318,-0.0026216,-0.0026216,-0.0026216,-0.0026216,-0.0026202,-0.0026202,-0.0026269,-0.0026269,-0.0026272,-0.0026272,-0.0026272,-0.0026236,-0.0026215
7,1.2686e-05,1.2686e-05,1.1205e-05,1.2902e-05,1.2902e-05,1.2546e-05,1.2546e-05,1.2467e-05,1.2467e-05,1.2467e-05,1.2467e-05,1.231e-05,1.231e-05,1.2402e-05,1.2402e-05,1.2386e-05,1.2386e-05,1.2386e-05,1.2805e-05,1.2657e-05
8,-7.1714e-06,-7.1714e-06,-7.842e-06,-7.3061e-06,-7.3061e-06,-7.2892e-06,-7.2892e-06,-7.2989e-06,-7.2989e-06,-7.2989e-06,-7.2989e-06,-7.3064e-06,-7.3064e-06,-7.3166e-06,-7.3166e-06,-7.3226e-06,-7.3226e-06,-7.3226e-06,-7.2741e-06,-7.2991e-06
9,2.4457e-06,2.4457e-06,2.2529e-06,2.3929e-06,2.3929e-06,2.397e-06,2.397e-06,2.4027e-06,2.4027e-06,2.4027e-06,2.4027e-06,2.4e-06,2.4e-06,2.3967e-06,2.3967e-06,2.3948e-06,2.3948e-06,2.3948e-06,,
10,-8.2773e-07,-8.2773e-07,-8.5149e-07,-8.2853e-07,-8.2853e-07,-8.3232e-07,-8.3232e-07,-8.3123e-07,-8.3123e-07,-8.3123e-07,-8.3123e-07,-8.3117e-07,-8.3117e-07,-8.3105e-07,-8.3105e-07,-8.3184e-07,-8.3187e-07,-8.3187e-07,,
