,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,159.24,159.53,159.7,156.69,158.54,158.48,159.3,158.75,157.48,158.18,158.18,158.25,158.38,158.33,158.33,157.67,158.55,158.03,158.07,158.24,157.93,158.03,158.03,158.08,158.08,158.07,158.07,158.09,158.23,157.94,157.94,158.12,158.12,158.28,158.28,158.17,158.17,158.06,158.0,158.07,157.98,158.02,158.02,157.96,158.15,158.15,158.15,158.06
1,-158.64,-161.53,-160.78,-158.2,-160.33,-160.25,-161.06,-160.5,-159.38,-159.92,-159.92,-160.01,-160.18,-160.04,-160.04,-159.47,-160.29,-159.81,-159.86,-160.02,-159.72,-159.77,-159.77,-159.82,-159.82,-159.83,-159.83,-159.86,-159.99,-159.7,-159.7,-159.88,-159.88,-160.02,-160.02,-159.94,-159.94,-159.82,-159.78,-159.83,-159.75,-159.8,-159.8,-159.74,-159.91,-159.91,-159.91,-159.82
2,-9.297,-9.2638,-9.6814,-9.2878,-9.1089,-9.0499,-9.0553,-9.0838,-8.9313,-9.0961,-9.0961,-9.0695,-9.0358,-9.1139,-9.1139,-9.0203,-9.089,-9.0425,-9.0429,-9.0496,-9.0378,-9.0869,-9.0869,-9.0886,-9.0886,-9.0647,-9.0647,-9.0556,-9.0665,-9.0659,-9.0659,-9.0648,-9.0648,-9.0843,-9.0843,-9.0535,-9.0535,-9.0729,-9.0482,-9.0679,-9.0597,-9.0458,-9.0458,-9.0511,-9.0662,-9.0662,-9.0662,-9.0684
3,-0.034391,-0.035006,-0.03473,-0.031578,-0.031117,-0.031438,-0.031014,-0.031316,-0.030655,-0.031517,-0.031517,-0.031327,-0.031347,-0.031543,-0.031543,-0.031125,-0.031407,-0.031237,-0.031494,-0.03119,-0.03117,-0.031326,-0.031326,-0.031539,-0.031539,-0.031329,-0.031329,-0.03122,-0.031308,-0.031293,-0.031293,-0.031399,-0.031399,-0.031384,-0.031384,-0.031194,-0.031194,-0.031297,-0.031237,-0.031447,-0.031281,-0.031248,-0.031248,-0.031243,-0.031338,-0.031338,-0.031338,-0.031389
4,-6.4124e-06,-6.5827e-06,-6.4334e-06,-5.7425e-06,-5.462e-06,-5.8152e-06,-5.6141e-06,-5.6748e-06,-5.4892e-06,-5.603e-06,-5.603e-06,-5.7519e-06,-5.6138e-06,-5.7458e-06,-5.7458e-06,-5.6545e-06,-5.6568e-06,-5.6441e-06,-5.7097e-06,-5.6611e-06,-5.6759e-06,-5.6517e-06,-5.6517e-06,-5.6929e-06,-5.6929e-06,-5.6615e-06,-5.6615e-06,-5.6425e-06,-5.6567e-06,-5.6507e-06,-5.6507e-06,-5.6663e-06,-5.6663e-06,-5.6587e-06,-5.6587e-06,-5.6395e-06,-5.6395e-06,-5.6611e-06,-5.6405e-06,-5.6943e-06,-5.6629e-06,-5.6405e-06,-5.6405e-06,-5.6524e-06,-5.6775e-06,-5.6775e-06,-5.6775e-06,-5.6712e-06
5,0.38757,0.43139,0.46367,0.42461,0.54427,0.46345,0.47502,0.47326,0.49415,0.48911,0.48911,0.47995,0.48786,0.48424,0.48424,0.47877,0.48463,0.48234,0.48573,0.49003,0.4856,0.48297,0.48297,0.48661,0.48661,0.48585,0.48585,0.48623,0.48584,0.48575,0.48575,0.48436,0.48436,0.48609,0.48609,0.48495,0.48495,0.48571,0.48571,0.48563,0.4852,0.48572,0.48572,0.48568,0.48572,0.48572,0.48572,0.48571
6,0.049684,0.012962,0.012116,0.0097627,0.012168,0.010434,0.011322,0.011254,0.011369,0.011498,0.011498,0.011351,0.01123,0.011401,0.011401,0.011014,0.011137,0.010886,0.011315,0.011323,0.01118,0.011187,0.011187,0.011287,0.011287,0.011207,0.011207,0.011184,0.011156,0.011177,0.011177,0.011099,0.011099,0.011094,0.011094,0.011137,0.011137,0.011164,0.011172,0.011106,0.011175,0.011176,0.011176,0.011165,0.01117,0.01117,0.01117,0.0112
7,0.013486,0.0045342,0.0048596,0.0044122,0.0055547,0.0046748,0.004864,0.0047903,0.0049176,0.0049241,0.0049241,0.0048521,0.0048937,0.0048772,0.0048772,0.0048392,0.0048925,0.0048557,0.0048755,0.0049444,0.0048758,0.0048842,0.0048842,0.0049191,0.0049191,0.0048681,0.0048681,0.0048955,0.0048849,0.0048753,0.0048753,0.0049003,0.0049003,0.0048821,0.0048821,0.0048947,0.0048947,0.004887,0.0048742,0.004887,0.0049091,0.0048699,0.0048699,0.0048993,0.0048719,0.0048719,0.0048719,0.004897
8,-0.0064054,-4.8181e-05,-2.9211e-05,-1.9907e-05,-3.7963e-05,-2.712e-05,-4.02e-05,-3.7529e-06,-2.2144e-06,-1.0645e-05,-1.0645e-05,-9.0167e-06,-1.8777e-05,-1.3843e-05,-1.3843e-05,-1.4365e-05,-1.1209e-05,-1.0875e-05,-6.0107e-06,-1.6839e-05,-2.1109e-05,-7.1644e-06,-7.1644e-06,-9.6503e-06,-9.6503e-06,-7.8019e-06,-7.8019e-06,-7.8323e-06,-8.2687e-06,-9.6791e-06,-9.6791e-06,-8.1535e-06,-8.1535e-06,-7.4229e-06,-7.4229e-06,-7.2431e-06,-7.2431e-06,-6.5173e-06,-8.0105e-06,-7.5104e-06,-7.4391e-06,-6.5602e-06,-6.5602e-06,-7.1194e-06,-6.1413e-06,-6.1413e-06,-6.1413e-06,-6.4833e-06
9,0.0058671,3.9457e-05,-3.4198e-06,2.3298e-06,7.6022e-07,8.4331e-08,-1.3217e-06,,,-2.9837e-06,-2.9837e-06,,-3.291e-06,-2.1286e-06,-2.1286e-06,-1.2328e-06,-9.7264e-07,-1.0509e-06,,-3.338e-06,-1.9431e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
