,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,268.18,276.16,266.05,272.62,270.58,267.88,273.83,272.67,269.76,270.39,270.39,270.35,270.53,270.39,270.41,270.65,270.65,270.36,270.87,270.87,270.27,270.44,270.44,270.16,270.24,270.36,270.36,270.36,270.84,270.63,270.63,270.42,270.42,270.42,270.42,270.57,270.57,270.29,270.29,270.29,270.29,270.71,270.71,270.56,270.56,270.56,270.56,270.53,270.53,270.5,270.5,270.59,270.59
1,-263.77,-275.41,-265.66,-271.25,-269.81,-266.83,-272.3,-271.37,-268.71,-269.45,-269.45,-269.24,-269.41,-269.28,-269.34,-269.7,-269.7,-269.32,-269.85,-269.85,-269.2,-269.37,-269.37,-269.16,-269.23,-269.32,-269.32,-269.32,-269.79,-269.55,-269.55,-269.32,-269.32,-269.32,-269.32,-269.48,-269.48,-269.29,-269.29,-269.29,-269.29,-269.64,-269.64,-269.51,-269.51,-269.51,-269.51,-269.45,-269.45,-269.45,-269.45,-269.53,-269.53
2,-17.023,-16.899,-16.794,-17.557,-16.988,-17.185,-17.643,-17.466,-17.228,-17.104,-17.104,-17.287,-17.276,-17.274,-17.246,-17.119,-17.119,-17.213,-17.188,-17.188,-17.239,-17.235,-17.235,-17.162,-17.178,-17.213,-17.213,-17.213,-17.216,-17.253,-17.253,-17.273,-17.273,-17.273,-17.273,-17.256,-17.256,-17.172,-17.172,-17.172,-17.172,-17.239,-17.239,-17.211,-17.211,-17.211,-17.211,-17.244,-17.244,-17.217,-17.217,-17.22,-17.22
3,-0.11881,-0.11442,-0.12239,-0.12828,-0.11668,-0.12432,-0.12703,-0.12529,-0.12042,-0.12118,-0.12118,-0.12245,-0.12217,-0.12243,-0.1219,-0.12053,-0.12053,-0.1212,-0.12082,-0.12082,-0.12218,-0.12238,-0.12238,-0.12139,-0.12108,-0.12158,-0.12158,-0.12158,-0.12139,-0.12205,-0.12205,-0.12217,-0.12217,-0.12217,-0.12217,-0.12226,-0.12226,-0.12147,-0.12147,-0.12147,-0.12147,-0.12196,-0.12196,-0.12135,-0.12135,-0.12135,-0.12135,-0.12227,-0.12227,-0.12162,-0.12162,-0.12174,-0.12174
4,-6.9296e-05,-6.6775e-05,-7.083e-05,-7.8845e-05,-6.9137e-05,-7.6638e-05,-7.6094e-05,-7.6082e-05,-7.253e-05,-7.3842e-05,-7.3842e-05,-7.4366e-05,-7.4466e-05,-7.4436e-05,-7.4398e-05,-7.3421e-05,-7.3421e-05,-7.3397e-05,-7.3594e-05,-7.3594e-05,-7.4073e-05,-7.4172e-05,-7.4172e-05,-7.3722e-05,-7.3337e-05,-7.4036e-05,-7.4036e-05,-7.4036e-05,-7.3693e-05,-7.4045e-05,-7.4045e-05,-7.397e-05,-7.397e-05,-7.397e-05,-7.397e-05,-7.4065e-05,-7.4065e-05,-7.3748e-05,-7.3748e-05,-7.3748e-05,-7.3748e-05,-7.3934e-05,-7.3934e-05,-7.3835e-05,-7.3835e-05,-7.3835e-05,-7.3835e-05,-7.4196e-05,-7.4196e-05,-7.3761e-05,-7.3761e-05,-7.3931e-05,-7.3931e-05
5,0.50022,0.94399,0.79096,0.80134,0.75897,0.71397,0.69998,0.72334,0.73525,0.72092,0.72092,0.73142,0.7227,0.72649,0.73546,0.73034,0.73034,0.72912,0.73046,0.73046,0.72996,0.72964,0.72964,0.72508,0.72644,0.72961,0.72961,0.72961,0.72919,0.7302,0.7302,0.72927,0.72927,0.72927,0.72927,0.73067,0.73067,0.72933,0.72933,0.72933,0.72933,0.72928,0.72928,0.7293,0.7293,0.7293,0.7293,0.72919,0.72919,0.72925,0.72925,0.7293,0.7293
6,0.041889,0.050263,0.015733,0.022034,0.016606,0.017382,0.01597,0.016798,0.015909,0.016142,0.016142,0.01631,0.015768,0.015904,0.016442,0.016005,0.016005,0.016465,0.01609,0.01609,0.01579,0.016093,0.016093,0.016085,0.015715,0.016119,0.016119,0.016119,0.016067,0.015818,0.015818,0.016071,0.016071,0.016071,0.016071,0.016068,0.016068,0.016054,0.016054,0.016054,0.016054,0.016014,0.016014,0.016046,0.016046,0.016046,0.016046,0.016078,0.016078,0.016066,0.016066,0.016046,0.016046
7,-0.0034695,0.007914,0.0069796,0.0084515,0.0077,0.0071475,0.0071458,0.0073981,0.0073021,0.0073283,0.0073283,0.0073142,0.0072351,0.0073526,0.0073423,0.0073692,0.0073692,0.0073152,0.0073641,0.0073641,0.0072721,0.0073457,0.0073457,0.0072832,0.007262,0.0073289,0.0073289,0.0073289,0.0073417,0.0072724,0.0072724,0.0073383,0.0073383,0.0073383,0.0073383,0.0073328,0.0073328,0.0073441,0.0073441,0.0073441,0.0073441,0.0073298,0.0073298,0.0073484,0.0073484,0.0073484,0.0073484,0.0073458,0.0073458,0.0073428,0.0073428,0.0073487,0.0073487
8,-0.0046848,-0.0020688,-0.00022028,-2.085e-05,-7.1155e-05,-2.9964e-05,-7.9878e-05,-7.5797e-05,-6.3773e-05,-7.0653e-05,-7.0653e-05,-6.0129e-05,-6.5369e-05,-7.0175e-05,-5.7338e-05,-6.8009e-05,-6.8009e-05,-5.6741e-05,-6.0081e-05,-6.0081e-05,-5.9561e-05,-5.6725e-05,-5.6725e-05,-6.186e-05,-6.2979e-05,-5.7559e-05,-5.7559e-05,-5.7559e-05,-5.9819e-05,-6.0841e-05,-6.0841e-05,-5.9075e-05,-5.9075e-05,-5.9075e-05,-5.9075e-05,-5.6835e-05,-5.6835e-05,-5.7075e-05,-5.7075e-05,-5.7075e-05,-5.7075e-05,-5.7917e-05,-5.7917e-05,-5.7268e-05,-5.7268e-05,-5.7268e-05,-5.7268e-05,-5.739e-05,-5.739e-05,-5.7519e-05,-5.7519e-05,-5.7155e-05,-5.7155e-05
9,0.0053958,0.0030285,0.00013886,-3.5769e-06,1.996e-06,-1.2288e-06,1.1336e-06,2.1829e-05,4.5419e-07,2.6349e-06,2.6349e-06,-9.4157e-07,4.1263e-06,2.8369e-06,-2.0524e-06,3.1483e-06,3.1483e-06,-1.2267e-06,4.2797e-06,4.2797e-06,-1.4711e-06,3.1544e-06,3.1544e-06,1.4528e-06,1.2309e-06,-7.2701e-07,-7.2701e-07,-7.2701e-07,4.8179e-06,3.2337e-06,3.2337e-06,3.5058e-06,3.5058e-06,3.5058e-06,3.5058e-06,2.0743e-06,2.0743e-06,4.7678e-06,4.7678e-06,4.7678e-06,4.7678e-06,5.1728e-06,5.1728e-06,6.1457e-06,6.1457e-06,6.1457e-06,6.1457e-06,3.6611e-06,3.6611e-06,5.6739e-06,5.6739e-06,1.3358e-06,1.3358e-06
10,0.01155,0.00024203,8.5641e-06,9.7403e-06,,,,2.9546e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.00053742,4.5047e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.8295e-05,4.9509e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.4488e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7.6767e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
