,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,236.51,235.25,235.24,234.41,235.93,236.54,235.64,236.4,236.88,236.29,236.75,235.59,236.07,236.18,235.77,236.1,236.2,236.31,236.15,236.13,235.97,236.18,236.13,236.24,236.12,236.14,236.12,236.03,236.27,236.19,236.26,236.04,236.15,236.17
1,-246.32,-245.31,-245.22,-243.98,-245.98,-246.48,-245.52,-246.15,-246.68,-246.11,-246.51,-245.44,-245.89,-246.03,-245.64,-245.91,-246.03,-246.18,-245.94,-245.95,-245.85,-246.03,-245.95,-246.09,-245.97,-245.98,-245.98,-245.9,-246.1,-246.0,-246.05,-245.89,-245.98,-245.98
2,-16.375,-16.18,-16.191,-16.681,-16.215,-16.313,-16.36,-16.485,-16.456,-16.425,-16.48,-16.399,-16.415,-16.396,-16.383,-16.433,-16.421,-16.381,-16.457,-16.431,-16.367,-16.394,-16.427,-16.397,-16.404,-16.401,-16.383,-16.375,-16.41,-16.425,-16.454,-16.404,-16.412,-16.431
3,-0.42363,-0.44744,-0.49093,-0.42794,-0.40077,-0.41445,-0.42644,-0.42941,-0.42253,-0.4214,-0.42734,-0.4205,-0.43114,-0.4215,-0.41503,-0.42407,-0.415,-0.42225,-0.42213,-0.42415,-0.42072,-0.42221,-0.4234,-0.42585,-0.41826,-0.42351,-0.42098,-0.42118,-0.4272,-0.43015,-0.42753,-0.42137,-0.42555,-0.4219
4,-0.0037161,-0.004064,-0.0048331,-0.0037116,-0.0032288,-0.0037156,-0.0037337,-0.0037116,-0.0037782,-0.0035314,-0.0037805,-0.0035586,-0.0037774,-0.0035518,-0.0034993,-0.0036257,-0.0035374,-0.0036296,-0.0035909,-0.0036386,-0.0035839,-0.003636,-0.0036002,-0.003681,-0.0035635,-0.0036589,-0.003607,-0.0035836,-0.0036965,-0.0037079,-0.0036629,-0.0036136,-0.0036686,-0.0036105
5,0.72642,0.70771,0.69892,0.7056,0.70226,0.70325,0.70422,0.70311,0.70341,0.70332,0.70322,0.70319,0.70331,0.70324,0.70322,0.70351,0.70321,0.70321,0.7035,0.70351,0.7035,0.70351,0.70351,0.7035,0.70349,0.70349,0.70348,0.70349,0.70351,0.70348,0.70347,0.70348,0.70349,0.70348
6,0.18729,0.1894,0.18771,0.18703,0.18553,0.1849,0.18537,0.18546,0.18544,0.18527,0.18544,0.18527,0.18532,0.18513,0.18515,0.18506,0.18513,0.18521,0.18515,0.18515,0.18518,0.18512,0.18514,0.18515,0.18515,0.18517,0.18519,0.18519,0.18514,0.18518,0.1852,0.18517,0.18517,0.18518
7,-0.0054482,-0.0071213,-0.0063006,-0.0069403,-0.0065532,-0.0066405,-0.0068193,-0.0067068,-0.0067284,-0.0067037,-0.0066884,-0.006848,-0.0068126,-0.0068306,-0.0068295,-0.0068286,-0.0067807,-0.0067814,-0.0068008,-0.006803,-0.0067845,-0.0068112,-0.0068049,-0.0067934,-0.0067717,-0.0068015,-0.0067836,-0.0068158,-0.0068019,-0.0067858,-0.0067882,-0.0067934,-0.006807,-0.0068023
8,0.00093505,0.0034617,0.0026787,0.0034362,0.0029032,0.0030349,0.003193,0.0030447,0.0030456,0.0030734,0.0030082,0.0032157,0.0030976,0.0032211,0.0032034,0.0032572,0.0031915,0.0031203,0.0031614,0.0031582,0.0031216,0.0031863,0.0031672,0.0031464,0.0031402,0.0031769,0.0031425,0.0031641,0.0031713,0.0031434,0.003143,0.0031666,0.0031682,0.0031554
9,2.9458e-05,1.4385e-05,1.009e-05,2.9014e-05,2.1316e-05,1.6375e-05,-3.9746e-07,1.3318e-05,1.56e-05,1.481e-05,6.2825e-06,4.2083e-06,2.1328e-05,1.4859e-05,8.365e-06,6.9433e-06,4.0935e-06,6.3154e-06,1.0553e-05,4.9337e-06,8.5892e-06,6.8159e-06,1.0264e-05,6.9146e-06,1.8933e-06,7.2016e-06,7.0415e-06,8.5048e-06,5.6759e-06,6.6189e-06,7.3769e-06,5.4382e-06,7.6793e-06,7.8703e-06
10,5.7807e-05,1.6606e-05,2.9546e-05,8.1619e-06,2.0871e-05,2.1515e-05,2.8143e-05,1.7109e-05,2.441e-05,2.349e-05,3.4896e-05,2.4969e-05,2.0243e-05,2.2309e-05,2.9414e-05,2.7457e-05,2.2539e-05,3.2724e-05,2.7203e-05,3.3668e-05,3.0373e-05,3.0503e-05,2.7558e-05,3.1639e-05,2.6621e-05,3.1178e-05,2.8449e-05,2.9928e-05,3.1765e-05,2.9186e-05,3.059e-05,3.2217e-05,3.0366e-05,3.0868e-05
11,-5.2272e-06,-8.6394e-06,-7.642e-06,,-6.4119e-06,-5.9954e-06,-7.3536e-06,-8.4139e-06,-6.4712e-06,-6.173e-06,-5.4144e-06,-7.9642e-06,-7.9159e-06,-6.4924e-06,-5.9726e-06,-5.4596e-06,-7.7789e-06,-5.5996e-06,-6.0498e-06,-5.5119e-06,-5.8761e-06,-5.6031e-06,-6.049e-06,-5.7123e-06,-7.5972e-06,-5.8093e-06,-6.522e-06,-5.9327e-06,-5.4875e-06,-6.5193e-06,-5.6816e-06,-5.4121e-06,-5.8099e-06,-5.8606e-06
