,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,126.77,128.57,128.61,128.61,128.62,127.9,128.42,127.85,128.23,127.71,128.01,128.18,128.25,128.1,127.86,128.05,128.02,128.02,127.86,128.07,128.04,127.91,127.97,127.84,128.01,127.88,128.13,128.06,128.03,128.13,127.9,127.94,128.09,127.98,127.94,128.1,128.14,128.01,128.02
1,-134.72,-136.35,-136.45,-136.45,-136.45,-135.78,-136.27,-135.71,-136.05,-135.64,-135.88,-136.04,-136.12,-135.99,-135.73,-135.89,-135.88,-135.9,-135.73,-135.96,-135.92,-135.78,-135.85,-135.73,-135.87,-135.77,-135.99,-135.93,-135.91,-135.99,-135.78,-135.82,-135.97,-135.87,-135.82,-135.97,-136.01,-135.88,-135.89
2,-5.2902,-5.4616,-5.4083,-5.4083,-5.4285,-5.3776,-5.4143,-5.3954,-5.4393,-5.3282,-5.3866,-5.3917,-5.396,-5.365,-5.3944,-5.4213,-5.3985,-5.3822,-5.387,-5.3717,-5.3821,-5.3888,-5.3851,-5.3781,-5.3946,-5.3731,-5.3985,-5.3983,-5.3811,-5.3999,-5.3806,-5.3751,-5.3825,-5.3727,-5.3766,-5.391,-5.391,-5.3875,-5.3828
3,-0.075299,-0.080464,-0.075585,-0.075585,-0.074202,-0.07528,-0.077973,-0.077539,-0.079062,-0.075234,-0.078893,-0.076103,-0.07677,-0.075737,-0.077549,-0.077572,-0.077023,-0.076119,-0.076471,-0.07564,-0.076268,-0.076427,-0.07579,-0.076197,-0.076585,-0.07587,-0.075872,-0.076497,-0.075651,-0.076126,-0.076409,-0.07556,-0.076138,-0.075955,-0.075908,-0.076451,-0.076193,-0.076063,-0.076175
4,-3.5572e-05,-3.8421e-05,-3.5905e-05,-3.5905e-05,-3.4903e-05,-3.533e-05,-3.7559e-05,-3.6661e-05,-3.8665e-05,-3.5667e-05,-3.8013e-05,-3.7847e-05,-3.6952e-05,-3.6588e-05,-3.7208e-05,-3.7357e-05,-3.7684e-05,-3.6676e-05,-3.739e-05,-3.6802e-05,-3.6959e-05,-3.7099e-05,-3.6923e-05,-3.6962e-05,-3.7003e-05,-3.6837e-05,-3.7208e-05,-3.6643e-05,-3.6699e-05,-3.7052e-05,-3.7022e-05,-3.6494e-05,-3.6698e-05,-3.6776e-05,-3.6658e-05,-3.7064e-05,-3.6946e-05,-3.6721e-05,-3.6958e-05
5,0.34314,0.34839,0.34573,0.34573,0.34951,0.35027,0.35031,0.3506,0.35066,0.35056,0.35063,0.35069,0.35069,0.35067,0.3506,0.35059,0.35051,0.35059,0.35059,0.35051,0.3505,0.35051,0.3505,0.3505,0.35051,0.35051,0.35051,0.3505,0.35051,0.3505,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051,0.35051
6,0.090494,0.091316,0.090452,0.090452,0.093817,0.094856,0.094876,0.094568,0.094311,0.094518,0.094577,0.094571,0.094584,0.094495,0.094398,0.094398,0.094429,0.09441,0.094415,0.094407,0.094425,0.09441,0.094431,0.094413,0.094414,0.094414,0.094424,0.094434,0.094412,0.094422,0.094418,0.094418,0.094413,0.094416,0.094415,0.094415,0.094417,0.094416,0.094414
7,-0.0026555,-0.0026703,-0.0026301,-0.0026301,-0.0025583,-0.0025653,-0.0025517,-0.0025824,-0.0026078,-0.0025879,-0.0025825,-0.0025857,-0.0026043,-0.0025901,-0.0025901,-0.0025871,-0.0025868,-0.0025965,-0.0026066,-0.0025895,-0.0025921,-0.0025882,-0.0025888,-0.0025854,-0.0025931,-0.0025887,-0.0025925,-0.0025917,-0.0025907,-0.0025922,-0.0025979,-0.0025926,-0.0025893,-0.0025907,-0.0025897,-0.0025898,-0.0025916,-0.0025906,-0.0025893
8,0.00012134,0.00019208,0.00011774,0.00011774,0.00014545,0.00016664,0.00016751,0.00015555,0.00014935,0.00014981,0.00016763,0.00016814,0.00016456,0.00016521,0.00016292,0.0001647,0.00016457,0.00016111,0.00016083,0.00016359,0.00016284,0.0001641,0.00016363,0.00016534,0.00016232,0.00016391,0.00016258,0.00016284,0.00016303,0.00016273,0.0001642,0.00016269,0.00016372,0.00016323,0.00016337,0.0001634,0.00016294,0.00016323,0.0001637
9,4.8652e-05,4.3797e-05,4.603e-05,4.603e-05,5.2805e-05,4.5155e-05,4.5857e-05,4.7854e-05,4.6609e-05,4.7755e-05,4.497e-05,4.562e-05,4.4501e-05,4.5359e-05,4.5501e-05,4.5671e-05,4.5488e-05,4.5354e-05,4.9219e-05,4.5697e-05,4.5342e-05,4.568e-05,4.5566e-05,4.5743e-05,4.5478e-05,4.5639e-05,4.5432e-05,4.5435e-05,4.5518e-05,4.5538e-05,4.9367e-05,4.5523e-05,4.564e-05,4.5566e-05,4.5606e-05,4.5547e-05,4.5487e-05,4.5529e-05,4.5583e-05
