,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,774.88,774.6,775.41,775.7,778.89,778.11,778.15,777.87,777.99,775.92,775.72,777.61,778.66,775.69,777.25,777.62,777.52,776.8
1,-769.3,-771.94,-770.82,-771.49,-773.93,-772.77,-773.09,-772.9,-773.52,-771.33,-771.22,-772.94,-773.71,-771.2,-772.29,-772.87,-772.74,-772.08
2,-85.547,-83.515,-84.932,-84.574,-85.191,-85.435,-85.287,-85.181,-84.832,-84.891,-84.815,-85.005,-85.144,-84.796,-85.182,-85.023,-85.033,-84.98
3,-12.347,-11.565,-12.023,-12.032,-12.123,-12.246,-12.136,-12.142,-12.005,-12.069,-12.054,-12.034,-12.157,-12.056,-12.132,-12.089,-12.103,-12.1
4,-0.9672,-0.8962,-0.94788,-0.9442,-0.96891,-0.97984,-0.96052,-0.97178,-0.95586,-0.95759,-0.95383,-0.95751,-0.97082,-0.95707,-0.96755,-0.96312,-0.9627,-0.96413
5,2.4713,2.4645,2.4664,2.4761,2.4733,2.4734,2.4722,2.4727,2.4733,2.4735,2.4734,2.4735,2.4748,2.4735,2.4735,2.4734,2.473,2.4733
6,0.63511,0.63404,0.63604,0.63428,0.63623,0.63618,0.63591,0.63709,0.63656,0.63621,0.63669,0.63651,0.63635,0.63651,0.63638,0.63641,0.6363,0.63656
7,-0.042226,-0.04193,-0.042944,-0.038427,-0.03945,-0.039963,-0.040322,-0.040401,-0.040232,-0.040347,-0.040574,-0.040048,-0.040065,-0.040085,-0.040387,-0.040058,-0.040108,-0.040148
8,-0.019454,-0.0096627,-0.028699,-0.03293,-0.013579,-0.019578,-0.032793,-0.034675,-0.031702,-0.034596,-0.033901,-0.031718,-0.031993,-0.032413,-0.034476,-0.03443,-0.018589,-0.024821
9,0.012553,0.0077039,0.023769,0.023791,0.011143,0.012683,0.026772,0.027662,0.024416,0.027962,0.02751,0.024432,0.024694,0.025025,0.027908,0.027043,0.011525,0.017484
10,0.0045949,0.0010134,0.0047688,0.0062987,-0.00015842,0.0047698,0.0045263,0.0051468,0.0053613,0.0049166,0.0048681,0.0053045,0.0053221,0.0053538,0.0048641,0.0053535,0.0049301,0.005241
11,-0.0001212,-6.7878e-05,-0.00017855,-0.00018914,-1.0075e-05,-0.0001408,-0.0001694,-0.00018889,-0.00018967,-0.00018401,-0.0001863,-0.00018878,-0.00019284,-0.00018862,-0.00018194,-0.00019404,-0.00012415,-0.00015945
12,1.2936e-05,3.1012e-06,8.4581e-06,1.1313e-05,9.9482e-06,4.0794e-06,7.4606e-06,5.7376e-06,5.6358e-06,6.3081e-06,5.2682e-06,4.7438e-06,6.8633e-06,6.029e-06,5.938e-06,6.1778e-06,3.7567e-06,4.5522e-06
13,2.3379e-05,,2.1308e-05,2.223e-05,,,2.2115e-05,,,,,,,,1.8329e-05,,,
14,1.2955e-05,,7.397e-06,1.605e-05,,,1.1782e-05,,,,,,,,1.4604e-05,,,
15,-4.4972e-06,,,-3.9964e-07,,,1.8648e-06,,,,,,,,2.0301e-06,,,
