,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,43.547,44.412,43.961,44.143,44.207,43.914,44.003,44.285,44.038,44.343,44.015,44.358,44.033,44.116,43.929,44.219,44.163,44.212,44.165,44.19,44.105,44.042,44.174,44.144,44.138,44.119,44.146,44.106,44.18,44.144
1,-68.936,-69.832,-69.42,-69.586,-69.615,-69.353,-69.444,-69.697,-69.457,-69.758,-69.44,-69.775,-69.458,-69.542,-69.359,-69.639,-69.585,-69.632,-69.589,-69.615,-69.531,-69.47,-69.595,-69.568,-69.56,-69.544,-69.574,-69.53,-69.6,-69.569
2,-1.94,-1.9694,-1.9345,-1.9542,-1.9906,-1.9535,-1.9516,-1.9816,-1.9748,-1.9796,-1.9667,-1.9773,-1.9698,-1.9682,-1.9642,-1.9743,-1.9712,-1.974,-1.9696,-1.9682,-1.9682,-1.966,-1.9725,-1.9696,-1.9725,-1.9689,-1.9656,-1.9697,-1.9742,-1.969
3,-0.0015055,-0.0015453,-0.0015084,-0.0015221,-0.0015669,-0.0015196,-0.0015025,-0.0015523,-0.0015541,-0.0015497,-0.0015428,-0.0015426,-0.0015536,-0.0015456,-0.0015353,-0.0015456,-0.0015488,-0.0015469,-0.0015439,-0.001539,-0.0015434,-0.0015424,-0.0015456,-0.0015434,-0.0015458,-0.0015438,-0.0015377,-0.0015441,-0.0015478,-0.0015443
4,-2.0575e-07,-2.0951e-07,-2.0566e-07,-2.0951e-07,-2.1673e-07,-2.114e-07,-2.0785e-07,-2.1308e-07,-2.1512e-07,-2.1181e-07,-2.1181e-07,-2.1363e-07,-2.1348e-07,-2.1355e-07,-2.107e-07,-2.1196e-07,-2.1266e-07,-2.1274e-07,-2.1384e-07,-2.1162e-07,-2.1263e-07,-2.1197e-07,-2.1278e-07,-2.1183e-07,-2.1221e-07,-2.1268e-07,-2.1267e-07,-2.1248e-07,-2.132e-07,-2.1176e-07
5,0.98088,0.9876,0.98474,0.9864,0.9839,0.98126,0.98486,0.98403,0.98258,0.98249,0.98263,0.98324,0.98338,0.98336,0.983,0.98335,0.98308,0.98346,0.98342,0.98335,0.98337,0.98331,0.9833,0.98333,0.98338,0.98338,0.98321,0.98339,0.98334,0.98335
6,0.39859,0.39984,0.37583,0.38183,0.38303,0.38746,0.38613,0.38747,0.38476,0.38753,0.38723,0.38721,0.3867,0.38647,0.3871,0.38685,0.38696,0.3868,0.38675,0.38685,0.38701,0.38685,0.38695,0.38681,0.38661,0.38674,0.38706,0.38676,0.38678,0.38682
7,0.0020513,0.0016275,0.0024601,0.0010349,0.0018691,0.0020311,0.0015576,0.0019551,0.0012598,0.0021344,0.0017944,0.0017662,0.0018311,0.0015554,0.0016624,0.0015833,0.0015515,0.0015357,0.0015545,0.0014896,0.0015269,0.0015961,0.001505,0.0015573,0.0015994,0.0015038,0.00145,0.0017,0.0015452,0.0015611
8,0.00086901,0.0012627,0.00041666,0.0019795,0.0009706,0.00078525,0.0013325,0.00092017,0.0015665,0.00069555,0.0010374,0.0010839,0.0010134,0.0012892,0.0011774,0.0012669,0.0012908,0.0013116,0.0012941,0.0013632,0.0013187,0.0012492,0.0013459,0.0012918,0.0012474,0.0013466,0.0014041,0.0011395,0.0013024,0.001287
9,-4.0363e-06,-3.3928e-06,1.096e-05,8.5509e-06,1.1854e-06,1.0405e-06,-1.0589e-06,-7.9339e-07,1.0115e-06,1.4276e-06,2.0443e-07,1.1956e-07,1.0682e-06,4.2723e-07,1.7489e-07,3.3266e-07,-2.1581e-08,3.904e-07,3.7728e-07,1.7505e-08,4.5512e-07,3.1695e-07,9.812e-08,3.0205e-07,4.8642e-07,2.7794e-07,-4.1563e-07,6.3818e-07,3.4688e-07,2.6506e-07
10,,,6.1384e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
