12	-13.001058599999999
25	-12.9923058
36	-13.0181852
48	-13.0123256
112	-13.012939800000002
176	-13.0089582
216	-13.014235600000001
216	-13.0092902
297	-13.010651200000002
300	-13.011526799999999
338	-13.0115066
380	-13.011328599999999
504	-13.011701400000002
627	-13.0111208
952	-13.0109736
1152	-13.0113068
1248	-13.011225999999999
1364	-13.0113226
1563	-13.011205200000001
2040	-13.0112696
2210	-13.011250200000001
2250	-13.011273399999999
2448	-13.011289199999998
2640	-13.011248599999998
2850	-13.0112898
3040	-13.011276200000001
3585	-13.0111974
3456	-13.011333200000001
3990	-13.011232999999999
3703	-13.0112634
4375	-13.0112394
6510	-13.0112914
