,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1222.0,1227.3,1227.6,1231.5,1231.0,1228.9,1229.2,1231.9,1227.3,1229.4,1228.3,1227.7,1230.0,1228.4,1229.1,1228.8,1229.8
1,-1266.7,-1271.8,-1271.3,-1275.9,-1275.9,-1273.3,-1273.3,-1276.3,-1272.0,-1273.8,-1273.0,-1272.4,-1274.5,-1272.8,-1273.5,-1273.2,-1274.2
2,-148.62,-148.79,-149.24,-149.01,-148.47,-148.84,-149.04,-148.86,-148.5,-148.77,-148.58,-148.5,-148.74,-148.85,-148.71,-148.78,-148.72
3,-15.841,-15.752,-15.953,-15.579,-15.597,-15.795,-15.817,-15.712,-15.72,-15.772,-15.724,-15.708,-15.756,-15.771,-15.791,-15.775,-15.751
4,-1.1833,-1.1469,-1.1711,-1.1058,-1.1295,-1.1625,-1.1581,-1.1583,-1.166,-1.1615,-1.1549,-1.1529,-1.1509,-1.1583,-1.1614,-1.1556,-1.1523
5,8.7399,8.7225,8.7282,8.7005,8.7354,8.7187,8.7268,8.7108,8.7143,8.7145,8.7159,8.7135,8.7174,8.7179,8.7143,8.7162,8.716
6,2.9749,2.8636,2.8651,2.8466,2.8467,2.8556,2.8478,2.8617,2.8563,2.8555,2.8534,2.8594,2.8533,2.8544,2.8596,2.8566,2.857
7,0.02162,0.022982,0.021646,0.022243,0.022598,0.021684,0.02364,0.022299,0.023386,0.023754,0.023173,0.022958,0.024232,0.02354,0.02346,0.023322,0.023472
8,0.0059513,0.0029347,0.0046499,0.0031753,0.0025776,0.0031966,0.0028944,0.0025412,0.0028637,0.0027786,0.002906,0.0028764,0.0030229,0.0028801,0.0032883,0.0028361,0.0031577
9,0.002043,0.0013123,0.0015625,0.0015219,0.0012765,0.0016897,0.00047368,0.00162,0.00031341,0.00047899,0.00039499,0.00053352,-0.00018057,0.00022576,-0.00016521,0.00046919,2.225e-05
10,4.147e-05,-0.00010179,-6.2566e-05,-0.00010121,-0.00011435,-0.00011806,-9.841e-05,-0.00014612,-9.8773e-05,-9.3661e-05,-9.2826e-05,-0.00010082,-4.9465e-05,-6.935e-05,-4.4618e-05,-8.7599e-05,-6.4238e-05
11,-7.8081e-05,-6.6017e-05,-8.2577e-05,-7.634e-05,-3.1724e-05,-6.6618e-05,-1.8878e-05,-6.481e-06,-8.1909e-06,-7.5321e-06,-8.854e-06,3.6205e-06,4.1645e-06,4.4523e-06,5.9667e-06,8.8756e-06,1.1407e-05
12,-1.5165e-05,1.0903e-06,-3.7272e-06,1.4197e-06,5.7507e-06,3.943e-06,4.2375e-06,,,,,,,,,,1.2265e-06
13,1.5313e-06,,,,,,,,,,,,,,,,
