,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,52.538,53.62,53.078,53.433,52.718,52.994,53.079,52.819,52.968,53.157,53.185,53.187,53.025,52.901
1,-76.322,-77.305,-76.775,-77.128,-76.443,-76.726,-76.769,-76.534,-76.685,-76.874,-76.879,-76.889,-76.74,-76.62
2,-2.4804,-2.5884,-2.5782,-2.5795,-2.5488,-2.5423,-2.5845,-2.5597,-2.5574,-2.5584,-2.5802,-2.5731,-2.5583,-2.5547
3,-0.0033252,-0.0030626,-0.0031714,-0.0033093,-0.0032026,-0.0032378,-0.0031758,-0.0031325,-0.0031843,-0.0031496,-0.0031681,-0.0032252,-0.0031668,-0.0031864
4,-3.3515e-06,-3.1194e-06,-3.0435e-06,-3.0861e-06,-3.2111e-06,-3.1784e-06,-3.1475e-06,-3.0784e-06,-3.3079e-06,-3.0984e-06,-3.0469e-06,-3.1847e-06,-3.1352e-06,-3.1447e-06
5,1.0916,1.0906,1.0945,1.0928,1.0928,1.0975,1.0941,1.0964,1.0964,1.0964,1.0972,1.0967,1.0959,1.0958
6,0.35261,0.35636,0.36348,0.36491,0.36257,0.36059,0.36086,0.35975,0.35944,0.36173,0.36017,0.36055,0.20746,0.35995
7,0.0054964,0.0058776,0.0046472,0.0053875,0.0057343,0.0056276,0.00558,0.0055366,0.0056485,0.0052205,0.0054659,0.0055406,0.15816,0.0056201
8,0.00042124,0.0002833,0.0010158,0.00050461,0.00032739,0.00033492,0.00037287,0.00038583,0.00033628,0.00057388,0.00041905,0.00038147,0.00035556,0.00033749
9,-1.5275e-05,-9.9891e-06,-1.6375e-05,-1.2835e-05,-9.2104e-06,-9.7113e-06,-1.1393e-05,-8.8657e-06,-1.0918e-05,-7.5661e-06,-8.2037e-06,-8.4876e-06,-8.3234e-06,-8.7424e-06
10,7.725e-10,,-1.052e-06,-4.1747e-07,,,-9.2027e-07,,-5.1496e-07,,,,,
