,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,21.402,23.508,21.609,24.393,23.181,22.7,23.203,23.047,22.88,23.159,23.058,22.479,23.553,22.767,22.582,22.954,22.788,22.902,22.964,22.976,22.669,22.838,22.859,22.679,22.841,22.643,22.508,22.873,22.679,22.774,22.929,22.673,22.626,22.734,22.807,22.845,22.761,22.75,22.871,22.717,22.752,22.829,22.88,22.807,22.85,22.77,22.779,22.779,22.771,22.814,22.767,22.785,22.768,22.845,22.798,22.808,22.783,22.799,22.785,22.777,22.79,22.781,22.829,22.801,22.791
1,-45.614,-48.967,-46.578,-49.031,-47.864,-47.493,-48.098,-47.746,-47.71,-47.994,-47.887,-47.386,-48.346,-47.602,-47.451,-47.805,-47.641,-47.756,-47.828,-47.813,-47.542,-47.702,-47.725,-47.543,-47.693,-47.508,-47.374,-47.728,-47.546,-47.639,-47.784,-47.534,-47.494,-47.601,-47.669,-47.707,-47.625,-47.611,-47.729,-47.582,-47.616,-47.686,-47.742,-47.671,-47.706,-47.632,-47.641,-47.641,-47.635,-47.675,-47.631,-47.645,-47.63,-47.703,-47.659,-47.669,-47.645,-47.66,-47.646,-47.638,-47.653,-47.641,-47.688,-47.663,-47.652
2,-1.3999,-1.6384,-1.3988,-1.5728,-1.4904,-1.4877,-1.5075,-1.5159,-1.5219,-1.515,-1.5221,-1.4699,-1.5399,-1.527,-1.4846,-1.4986,-1.4927,-1.4962,-1.504,-1.5102,-1.4829,-1.4855,-1.4891,-1.4912,-1.5007,-1.4904,-1.488,-1.5024,-1.4906,-1.4911,-1.5009,-1.4934,-1.4892,-1.4895,-1.4938,-1.4945,-1.4905,-1.495,-1.4993,-1.4912,-1.4923,-1.4983,-1.4944,-1.4925,-1.5002,-1.4933,-1.4938,-1.4938,-1.4911,-1.4954,-1.4915,-1.496,-1.4931,-1.4972,-1.495,-1.495,-1.4931,-1.4952,-1.495,-1.4949,-1.492,-1.495,-1.4974,-1.4935,-1.4944
3,-0.0070953,-0.0078151,-0.0068295,-0.0078075,-0.0071988,-0.0071194,-0.0073904,-0.0074922,-0.0073822,-0.0074114,-0.0074875,-0.0071492,-0.0074657,-0.0074942,-0.0072575,-0.0073166,-0.0073125,-0.0072979,-0.0072873,-0.0073624,-0.007245,-0.0072136,-0.007279,-0.0073007,-0.0073159,-0.007278,-0.0072485,-0.0073124,-0.007282,-0.0072845,-0.0073351,-0.007296,-0.0072689,-0.0072671,-0.0072952,-0.0072852,-0.007264,-0.0072967,-0.007321,-0.0072719,-0.0072828,-0.0073112,-0.0072998,-0.0072867,-0.0073272,-0.0072965,-0.0072827,-0.0072827,-0.0072836,-0.0073014,-0.0072608,-0.007298,-0.0072703,-0.0072951,-0.0072859,-0.0072859,-0.0072775,-0.0072783,-0.0072927,-0.0072917,-0.0072722,-0.0072919,-0.0073098,-0.0072756,-0.0072928
4,-6.0148e-05,-5.9804e-05,-5.6486e-05,-6.1199e-05,-5.7667e-05,-5.6481e-05,-5.9128e-05,-6.0254e-05,-5.9139e-05,-5.916e-05,-6.0239e-05,-5.7639e-05,-5.9389e-05,-6.0095e-05,-5.8296e-05,-5.9028e-05,-5.8632e-05,-5.914e-05,-5.8595e-05,-5.9171e-05,-5.8141e-05,-5.7886e-05,-5.892e-05,-5.8927e-05,-5.8734e-05,-5.8578e-05,-5.8467e-05,-5.8842e-05,-5.8678e-05,-5.8669e-05,-5.8896e-05,-5.8693e-05,-5.8436e-05,-5.8542e-05,-5.8608e-05,-5.8625e-05,-5.8482e-05,-5.8881e-05,-5.8839e-05,-5.8463e-05,-5.8659e-05,-5.8741e-05,-5.8748e-05,-5.8608e-05,-5.9027e-05,-5.8757e-05,-5.8605e-05,-5.8605e-05,-5.8663e-05,-5.8791e-05,-5.8462e-05,-5.8716e-05,-5.8438e-05,-5.87e-05,-5.8645e-05,-5.8555e-05,-5.8558e-05,-5.8539e-05,-5.8634e-05,-5.8719e-05,-5.8566e-05,-5.872e-05,-5.8826e-05,-5.8533e-05,-5.8621e-05
5,0.088219,0.087951,0.091357,0.091542,0.092441,0.095103,0.091183,0.091402,0.090486,0.090974,0.091901,0.090859,0.09089,0.090793,0.090766,0.091193,0.091184,0.091555,0.091433,0.090646,0.09098,0.090931,0.090859,0.090785,0.090788,0.090736,0.090853,0.090797,0.090709,0.090822,0.090768,0.090733,0.09085,0.090874,0.090757,0.090768,0.090922,0.090807,0.090793,0.090767,0.090832,0.090833,0.090805,0.090764,0.090799,0.090813,0.090806,0.090806,0.090807,0.090804,0.090838,0.090764,0.090817,0.090817,0.090842,0.090841,0.090783,0.090794,0.090789,0.090811,0.090811,0.090814,0.090827,0.090808,0.090787
6,0.065749,0.063326,0.067354,0.067208,0.068038,0.069335,0.066677,0.067181,0.06636,0.067046,0.067274,0.066775,0.066761,0.066752,0.066628,0.066985,0.06678,0.067142,0.067106,0.066554,0.066819,0.066777,0.066724,0.06663,0.06672,0.066661,0.066677,0.066684,0.066599,0.066708,0.066677,0.066645,0.06671,0.066725,0.066645,0.066675,0.066763,0.066695,0.066693,0.066681,0.066716,0.066711,0.06668,0.066673,0.066679,0.066694,0.066691,0.066691,0.066697,0.066689,0.06671,0.066661,0.066699,0.066702,0.066709,0.066705,0.066677,0.066692,0.06669,0.066693,0.066693,0.066694,0.066704,0.066688,0.066677
7,-4.7742e-05,-3.8698e-05,-4.8688e-05,-5.2504e-05,-5.0868e-05,-4.4684e-05,-4.8219e-05,-5.0751e-05,-5.2522e-05,-5.4642e-05,-4.9337e-05,-5.3319e-05,-5.2944e-05,-5.2206e-05,-5.3417e-05,-5.2579e-05,-5.0408e-05,-5.1293e-05,-5.2399e-05,-5.284e-05,-5.2573e-05,-5.2624e-05,-5.2676e-05,-5.2068e-05,-5.3236e-05,-5.3026e-05,-5.2207e-05,-5.3015e-05,-5.2623e-05,-5.2869e-05,-5.3228e-05,-5.2954e-05,-5.2889e-05,-5.285e-05,-5.2712e-05,-5.3098e-05,-5.2519e-05,-5.2911e-05,-5.3062e-05,-5.305e-05,-5.2994e-05,-5.2818e-05,-5.2693e-05,-5.2907e-05,-5.2767e-05,-5.2813e-05,-5.2814e-05,-5.2814e-05,-5.2811e-05,-5.2851e-05,-5.2815e-05,-5.2799e-05,-5.2855e-05,-5.2874e-05,-5.275e-05,-5.2653e-05,-5.2793e-05,-5.291e-05,-5.2973e-05,-5.2842e-05,-5.2829e-05,-5.2841e-05,-5.2861e-05,-5.2799e-05,-5.2813e-05
8,3.973e-07,-2.7595e-06,-4.6113e-07,-1.2748e-06,-8.3182e-07,-4.4076e-07,-1.4591e-06,-1.2581e-06,-1.5023e-06,-9.1362e-07,-8.4982e-07,-1.42e-06,-1.229e-06,-1.3965e-06,-1.2304e-06,-1.2374e-06,-1.1678e-06,-1.2169e-06,-1.1505e-06,-1.2313e-06,-1.2097e-06,-1.2088e-06,-1.2968e-06,-1.3399e-06,-1.2197e-06,-1.3286e-06,-1.3492e-06,-1.2708e-06,-1.3782e-06,-1.319e-06,-1.2557e-06,-1.3057e-06,-1.3002e-06,-1.2993e-06,-1.333e-06,-1.3077e-06,-1.2537e-06,-1.2878e-06,-1.3167e-06,-1.3553e-06,-1.2794e-06,-1.288e-06,-1.299e-06,-1.3616e-06,-1.2907e-06,-1.2993e-06,-1.3377e-06,-1.3377e-06,-1.3019e-06,-1.3039e-06,-1.2834e-06,-1.3633e-06,-1.3052e-06,-1.3232e-06,-1.2999e-06,-1.3039e-06,-1.3561e-06,-1.3083e-06,-1.3211e-06,-1.3166e-06,-1.3085e-06,-1.2938e-06,-1.2864e-06,-1.3156e-06,-1.3263e-06
