,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,893.42,891.03,889.43,890.46,890.57,892.12,890.86,890.62,889.71,891.84,891.82,890.56,891.45,891.12,891.49,891.12,890.22,891.34,891.33,891.21,890.83,891.26,890.91,890.96
1,-831.16,-829.68,-828.41,-829.08,-829.47,-830.4,-829.38,-829.14,-828.55,-830.38,-830.37,-829.48,-829.91,-829.64,-830.07,-829.72,-829.0,-829.9,-829.98,-829.78,-829.6,-829.81,-829.6,-829.58
2,-108.96,-108.01,-107.85,-108.16,-107.91,-108.44,-108.23,-108.23,-107.92,-108.21,-108.21,-107.86,-108.31,-108.24,-108.18,-108.16,-107.99,-108.2,-108.11,-108.19,-107.99,-108.2,-108.08,-108.14
3,-3.6616,-3.6602,-3.5885,-3.6302,-3.5885,-3.6768,-3.6588,-3.6524,-3.639,-3.6495,-3.6392,-3.6181,-3.6451,-3.6477,-3.6407,-3.6459,-3.6343,-3.6443,-3.6442,-3.6467,-3.636,-3.6498,-3.6422,-3.647
4,-0.012568,-0.012501,-0.012197,-0.012247,-0.012128,-0.012602,-0.012435,-0.012453,-0.012428,-0.01247,-0.012395,-0.012318,-0.012407,-0.012454,-0.012444,-0.012459,-0.01237,-0.012434,-0.012418,-0.012466,-0.012394,-0.012484,-0.012441,-0.012442
5,5.9308,5.9506,5.955,5.9191,5.9508,5.9462,5.9352,5.9354,5.9339,5.9373,5.9261,5.9273,5.9395,5.9329,5.932,5.932,5.9323,5.9377,5.929,5.9337,5.9324,5.9337,5.9314,5.9338
6,3.4193,3.4351,3.4209,3.4708,3.422,3.424,3.4468,3.443,3.4415,3.4393,3.4527,3.4517,3.4401,3.4446,3.4448,3.4469,3.4455,3.4428,3.4471,3.4445,3.4457,3.4439,3.447,3.4441
7,0.10123,0.10151,0.10203,0.098693,0.098512,0.10159,0.10153,0.098397,0.098935,0.10047,0.099438,0.099965,0.10002,0.099911,0.099879,0.10004,0.10002,0.10032,0.099602,0.099862,0.099741,0.099958,0.10008,0.10001
8,0.023661,0.023608,0.023314,0.024684,0.024759,0.023369,0.023318,0.024704,0.02455,0.023865,0.024344,0.02411,0.024085,0.024127,0.024123,0.024026,0.02405,0.023925,0.02426,0.024118,0.024193,0.0241,0.024045,0.024072
9,9.5099e-05,-0.00011122,-0.00010589,-0.00013559,-0.00014478,-0.00017103,-0.00014984,-0.00015651,-0.00017008,-0.00016363,-0.00016492,-0.00017607,-0.00018717,-0.00018854,-0.00018841,-0.00018661,-0.00019358,-0.00019496,-0.00019098,-0.00019527,-0.00019654,-0.00019449,-0.00019359,-0.00019552
10,-9.7731e-05,-5.8754e-05,-6.1082e-05,-5.1109e-05,-4.447e-05,-2.612e-05,-4.2637e-05,-3.781e-05,-2.718e-05,-3.043e-05,-3.1141e-05,-2.1494e-05,-1.1927e-05,-1.0102e-05,-9.6567e-06,-1.1453e-05,-5.5956e-06,-3.9431e-06,-8.0219e-06,-4.7026e-06,-3.4219e-06,-4.934e-06,-5.9995e-06,-3.733e-06
11,3.1586e-06,-2.3906e-06,2.7196e-07,-2.9092e-06,-3.5231e-06,-2.5428e-06,-3.2602e-06,-3.1479e-06,-9.6911e-07,-2.0529e-06,-2.5556e-06,-2.1326e-06,-2.7411e-07,-2.1771e-07,1.917e-07,-1.1467e-06,5.808e-07,2.5664e-07,1.2196e-07,4.1654e-07,1.6298e-06,1.3252e-06,2.0797e-07,1.5968e-06
