,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,24.706,24.11,24.11,24.605,24.226,23.932,24.519,24.518,24.072,24.093,24.093,24.149,24.149,24.092,24.037
1,-28.504,-27.974,-27.974,-28.45,-28.087,-27.801,-28.368,-28.36,-27.936,-27.953,-27.953,-28.014,-28.014,-27.958,-27.903
2,-0.78216,-0.71912,-0.71912,-0.73654,-0.72203,-0.7133,-0.73428,-0.74059,-0.71928,-0.72282,-0.72282,-0.71775,-0.71775,-0.71637,-0.71673
3,-0.00039518,-0.00033181,-0.00033181,-0.00034308,-0.00033516,-0.00031448,-0.00033561,-0.00034838,-0.00032489,-0.00032742,-0.00032742,-0.00032033,-0.00032033,-0.00032016,-0.000321
4,-1.4727e-09,-1.2899e-09,-1.2899e-09,-1.5109e-09,-1.6644e-09,-8.4037e-10,-1.4368e-09,-1.6073e-09,-1.422e-09,-1.9593e-09,-1.9593e-09,-1.8554e-09,-1.8554e-09,-1.6739e-09,-1.9147e-09
5,0.52191,0.52507,0.52507,0.51344,0.51824,0.51969,0.51879,0.51821,0.51955,0.51862,0.51862,0.51926,0.51926,0.51868,0.51911
6,0.33692,0.32381,0.32381,0.33821,0.3308,0.33001,0.332,0.3317,0.33086,0.33211,0.33211,0.33102,0.33102,0.33191,0.33151
7,0.014078,0.012453,0.012453,0.010498,0.011745,0.011416,0.011595,0.011504,0.011623,0.011566,0.011566,0.01174,0.01174,0.011649,0.011547
8,0.0005439,0.0012115,0.0012115,0.0020604,0.0015295,0.0016228,0.0015504,0.0016075,0.001562,0.0015913,0.0015913,0.0015156,0.0015156,0.0015476,0.0015758
9,-3.5013e-06,4.4662e-07,4.4662e-07,4.1407e-07,-4.6059e-06,8.0284e-07,8.3134e-08,-6.0974e-07,-2.0753e-06,-1.7001e-06,-1.7001e-06,-2.0423e-06,-2.0423e-06,-1.1123e-06,-1.5066e-07
