,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,103.3,104.06,103.48,103.76,102.62,103.91,104.16,103.53,103.13,103.54,103.63,103.58,103.76,103.31,103.58,103.17,103.24,103.6,103.55,103.41,103.55,103.34,103.33,103.43,103.5,103.51,103.45,103.51
1,-104.66,-105.4,-104.84,-105.02,-103.97,-105.17,-105.38,-104.84,-104.47,-104.84,-104.92,-104.9,-105.02,-104.64,-104.86,-104.53,-104.58,-104.9,-104.84,-104.72,-104.86,-104.67,-104.65,-104.75,-104.8,-104.81,-104.76,-104.81
2,-7.784,-7.7976,-7.7659,-7.8688,-7.7883,-7.8772,-7.9152,-7.8237,-7.7918,-7.8252,-7.8444,-7.8203,-7.8726,-7.8041,-7.8532,-7.7691,-7.7908,-7.8344,-7.8402,-7.8202,-7.8247,-7.8013,-7.8086,-7.8187,-7.8335,-7.8324,-7.8221,-7.8259
3,-0.033281,-0.033498,-0.033657,-0.034973,-0.03374,-0.034491,-0.03485,-0.033763,-0.033869,-0.034178,-0.034261,-0.033688,-0.034395,-0.033807,-0.03432,-0.033457,-0.033604,-0.033983,-0.034161,-0.033959,-0.033926,-0.03373,-0.033864,-0.034021,-0.033996,-0.034077,-0.033879,-0.033908
4,-2.7455e-06,-2.707e-06,-2.8173e-06,-2.9829e-06,-2.751e-06,-2.8459e-06,-2.8865e-06,-2.768e-06,-2.7862e-06,-2.845e-06,-2.8501e-06,-2.7687e-06,-2.856e-06,-2.7875e-06,-2.8491e-06,-2.7324e-06,-2.7592e-06,-2.8083e-06,-2.8364e-06,-2.8033e-06,-2.8039e-06,-2.765e-06,-2.7949e-06,-2.8084e-06,-2.8027e-06,-2.8224e-06,-2.7921e-06,-2.7955e-06
5,1.0529,1.0377,1.0423,1.0371,1.0401,1.0394,1.0399,1.0383,1.0389,1.0398,1.0396,1.0403,1.038,1.0392,1.0388,1.0395,1.0391,1.039,1.0391,1.0388,1.0388,1.0388,1.039,1.0388,1.0388,1.039,1.0389,1.0387
6,0.64154,0.66251,0.6594,0.66096,0.66235,0.66469,0.6629,0.66226,0.66315,0.66095,0.66158,0.66173,0.66326,0.66237,0.66275,0.66197,0.66231,0.66245,0.66245,0.6629,0.66283,0.66305,0.66278,0.66294,0.66282,0.66274,0.66269,0.66299
7,0.02311,0.021959,0.023663,0.022704,0.022795,0.023562,0.022585,0.022918,0.022963,0.02257,0.022865,0.022642,0.02291,0.02272,0.022828,0.022835,0.022775,0.022804,0.022719,0.022797,0.022783,0.022655,0.022721,0.022723,0.022763,0.022742,0.022787,0.022764
8,0.0028479,0.0034948,0.0028331,0.0032046,0.0031114,0.0028304,0.0031261,0.0031118,0.0030519,0.0032094,0.0031338,0.0031342,0.0030428,0.0031852,0.0031075,0.0031039,0.0031638,0.0031446,0.0031078,0.0031411,0.003137,0.0031243,0.0031435,0.0031374,0.0031361,0.0031237,0.0031416,0.0031579
9,-4.5733e-06,5.9871e-06,-7.5554e-06,-6.8217e-06,4.5044e-06,-2.4307e-06,9.7066e-06,-1.6006e-06,3.0214e-06,3.875e-06,-1.4824e-06,8.0673e-06,5.7407e-06,2.8449e-07,3.0293e-06,2.3399e-06,-1.2164e-07,2.1043e-07,7.174e-06,1.1791e-06,2.0839e-06,8.661e-06,4.0925e-06,4.6485e-06,2.8667e-06,4.9815e-06,1.1808e-06,1.1995e-06
