,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,775.03,770.8,774.83,780.01,774.67,774.72,774.56,774.57,774.9,773.68,775.85,775.45,774.54,774.41,774.86,774.78,774.63,774.81,774.37,774.99,774.43,774.25,774.78,775.08,774.88,774.66,774.73,774.54,774.22,774.66,774.09,774.41
1,-789.91,-786.67,-789.95,-794.83,-789.76,-789.76,-789.63,-789.55,-789.77,-788.74,-790.67,-790.39,-789.51,-789.47,-789.85,-789.79,-789.65,-789.82,-789.49,-790.02,-789.45,-789.26,-789.77,-790.08,-789.85,-789.7,-789.78,-789.57,-789.27,-789.67,-789.16,-789.42
2,-33.226,-32.199,-32.97,-33.256,-32.964,-33.035,-33.015,-33.103,-33.199,-33.013,-33.244,-33.122,-33.104,-33.017,-33.09,-33.07,-33.057,-33.071,-32.963,-33.053,-33.063,-33.064,-33.081,-33.078,-33.112,-33.035,-33.031,-33.05,-33.031,-33.068,-33.006,-33.067
3,-0.77712,-0.75764,-0.7707,-0.7829,-0.77397,-0.78264,-0.7763,-0.77876,-0.78076,-0.77635,-0.78441,-0.78028,-0.77929,-0.78032,-0.77725,-0.77813,-0.77778,-0.77811,-0.77532,-0.7776,-0.77792,-0.77831,-0.77799,-0.77845,-0.77857,-0.77721,-0.77748,-0.77745,-0.7774,-0.77888,-0.77591,-0.77853
4,-0.012889,-0.010101,-0.011059,-0.010183,-0.010538,-0.012015,-0.012742,-0.012609,-0.013005,-0.011939,-0.012888,-0.012488,-0.012904,-0.012201,-0.011842,-0.012024,-0.01205,-0.012272,-0.012026,-0.01226,-0.012221,-0.012273,-0.012276,-0.012208,-0.012422,-0.012347,-0.012131,-0.011963,-0.012051,-0.012076,-0.012439,-0.0123
5,2.3119,2.1608,2.1624,2.1901,2.184,2.2004,2.2028,2.1994,2.2018,2.1961,2.1968,2.1938,2.1954,2.2011,2.2006,2.2002,2.1955,2.2002,2.1966,2.2002,2.2002,2.1971,2.1972,2.1961,2.1967,2.1967,2.1969,2.1967,2.1963,2.1967,2.1966,2.1967
6,0.047893,0.038231,0.038458,0.038321,0.037434,0.038399,0.038077,0.038657,0.038069,0.038465,0.038152,0.038125,0.038211,0.038571,0.038385,0.038386,0.03832,0.038352,0.038342,0.038337,0.038428,0.038216,0.038175,0.038201,0.038297,0.038143,0.038051,0.038314,0.038209,0.038132,0.038115,0.038198
7,0.023591,0.021549,0.02161,0.021954,0.021917,0.022033,0.021927,0.02203,0.022057,0.021989,0.022028,0.022004,0.022051,0.022105,0.02208,0.022088,0.022067,0.022075,0.022073,0.022066,0.022056,0.022039,0.022039,0.022038,0.022055,0.022039,0.022031,0.022055,0.022064,0.02204,0.022045,0.022051
8,-0.00074459,-0.0010331,-0.00066612,-0.0010888,-0.0015069,-0.0013273,-0.00082972,-0.0016012,-0.0013538,-0.0013245,-0.00084279,-0.0011773,-0.0012386,-0.00079346,-0.00039904,-0.00025234,-0.00050675,-0.00077069,-0.00045529,-0.0007596,-0.0013689,-0.00091783,-0.0001942,-0.0013534,-0.00066715,-0.00095837,-0.00051182,-0.00096042,-0.00064216,-0.00080473,-0.0007383,-0.0006964
9,0.00070651,0.0009522,0.00050033,0.00093263,0.0014086,0.0012198,0.00079925,0.0014514,0.0011919,0.0012074,0.00067669,0.0010134,0.001084,0.000633,0.00023762,8.4466e-05,0.00034691,0.00060895,0.00029272,0.00059761,0.0012231,0.0007551,2.1519e-05,0.001201,0.00050495,0.00079759,0.00034825,0.00079969,0.00048059,0.00064049,0.00057482,0.00053344
10,2.5792e-05,3.6886e-05,2.2123e-05,2.3113e-05,4.0847e-05,1.9386e-05,1.8552e-05,2.6507e-05,2.1213e-05,2.1741e-05,2.0103e-05,2.213e-05,1.8347e-05,1.4234e-05,1.4822e-05,1.7448e-05,1.3105e-05,1.4539e-05,1.2226e-05,1.5337e-05,1.9369e-05,1.539e-05,2.2308e-05,1.9284e-05,1.4324e-05,1.5261e-05,1.3646e-05,1.6067e-05,1.3184e-05,1.5317e-05,1.479e-05,1.4841e-05
11,3.2654e-06,2.115e-05,1.8026e-05,1.6509e-05,1.3459e-05,1.788e-05,1.6983e-05,2.64e-05,1.6667e-05,2.3628e-05,1.5642e-05,1.188e-05,2.4776e-05,1.8814e-05,2.5423e-05,1.3914e-05,2.1384e-05,1.643e-05,1.6492e-05,1.5753e-05,2.0479e-05,1.9799e-05,2.3759e-05,2.1227e-05,1.9557e-05,2.5368e-05,2.529e-05,2.1891e-05,2.2669e-05,1.7408e-05,1.7317e-05,2.2476e-05
12,1.0672e-05,3.5558e-06,1.5945e-05,5.4398e-06,9.9799e-06,4.3715e-06,1.0196e-05,-3.1735e-07,5.9466e-06,8.4618e-07,7.2933e-06,9.3404e-06,1.3171e-06,5.1403e-06,9.8168e-07,1.3751e-05,5.7668e-06,8.9652e-06,7.6613e-06,1.2312e-05,4.9253e-06,7.313e-06,3.4669e-06,2.9632e-06,7.6359e-06,-2.1292e-07,6.3753e-07,3.7421e-06,2.6467e-06,9.4251e-06,8.3337e-06,3.9716e-06
13,6.3907e-06,,6.4626e-07,,9.5701e-06,,-3.8634e-06,,,,,,,,,-2.6146e-07,,,,-7.8448e-07,,,,,,,,,,,,
