,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,111.8,96.732,105.31,104.52,104.43,103.67,103.79,103.68,103.98,103.98,103.66,103.72,104.01,102.49,103.0,103.84,103.59,103.74,103.35,102.82,102.82,104.04,104.04,103.17,103.35,103.35,103.31,103.31,103.34,103.55,103.25,103.25,103.71,103.71,103.75,103.57,103.57,103.38,103.38,103.43,103.31,103.31,103.31,103.34
1,-109.56,-98.632,-106.66,-105.71,-105.62,-105.05,-105.14,-104.99,-105.21,-105.21,-104.92,-104.97,-105.25,-103.89,-104.43,-105.12,-104.89,-105.05,-104.66,-104.2,-104.2,-105.29,-105.29,-104.52,-104.66,-104.66,-104.63,-104.63,-104.67,-104.83,-104.59,-104.59,-104.98,-104.98,-105.03,-104.87,-104.87,-104.69,-104.69,-104.74,-104.63,-104.63,-104.63,-104.66
2,-9.2069,-7.1163,-7.8935,-7.8147,-7.9542,-7.7478,-7.7739,-7.8173,-7.9028,-7.9028,-7.8805,-7.8751,-7.8952,-7.7303,-7.6984,-7.845,-7.8373,-7.8166,-7.8194,-7.7535,-7.7535,-7.8833,-7.8833,-7.7793,-7.8219,-7.8219,-7.8166,-7.8166,-7.8034,-7.8492,-7.7969,-7.7969,-7.8595,-7.8595,-7.8484,-7.8264,-7.8264,-7.8165,-7.8165,-7.8175,-7.8134,-7.8134,-7.8134,-7.8188
3,-0.052918,-0.029531,-0.035223,-0.034552,-0.034437,-0.033373,-0.032726,-0.033401,-0.034195,-0.034195,-0.034634,-0.034216,-0.034318,-0.033282,-0.032814,-0.034123,-0.034305,-0.033838,-0.033868,-0.033511,-0.033511,-0.034362,-0.034362,-0.033471,-0.03388,-0.03388,-0.033874,-0.033874,-0.033925,-0.034162,-0.033791,-0.033791,-0.034246,-0.034246,-0.034167,-0.033911,-0.033911,-0.033776,-0.033776,-0.033853,-0.033909,-0.033909,-0.033909,-0.033856
4,-4.4659e-06,-2.319e-06,-2.8326e-06,-2.9077e-06,-2.8718e-06,-2.8256e-06,-2.6646e-06,-2.721e-06,-2.8876e-06,-2.8876e-06,-2.9419e-06,-2.8722e-06,-2.8527e-06,-2.7375e-06,-2.6414e-06,-2.8074e-06,-2.8486e-06,-2.7974e-06,-2.7865e-06,-2.7429e-06,-2.7429e-06,-2.8333e-06,-2.8333e-06,-2.7524e-06,-2.7852e-06,-2.7852e-06,-2.8094e-06,-2.8094e-06,-2.8162e-06,-2.833e-06,-2.7862e-06,-2.7862e-06,-2.8403e-06,-2.8403e-06,-2.8263e-06,-2.7972e-06,-2.7972e-06,-2.7907e-06,-2.7907e-06,-2.7825e-06,-2.8082e-06,-2.8082e-06,-2.8082e-06,-2.7987e-06
5,0.81393,0.93886,0.98816,0.93973,1.0771,1.0503,1.0495,1.014,1.0472,1.0472,1.0405,1.0377,1.0392,1.041,1.0355,1.0409,1.0375,1.037,1.0381,1.0354,1.0354,1.0365,1.0365,1.0384,1.0381,1.0381,1.0392,1.0392,1.0383,1.0396,1.0387,1.0387,1.0388,1.0388,1.0385,1.0386,1.0386,1.0388,1.0388,1.0385,1.0388,1.0388,1.0388,1.0395
6,0.97589,0.7624,0.69538,0.76214,0.64805,0.64795,0.65273,0.68018,0.65375,0.65375,0.66551,0.66435,0.66204,0.66408,0.66543,0.66196,0.66403,0.66375,0.66424,0.66523,0.66523,0.66437,0.66437,0.66334,0.66369,0.66369,0.66247,0.66247,0.66334,0.66213,0.66288,0.66288,0.66281,0.66281,0.66301,0.66333,0.66333,0.66288,0.66288,0.66333,0.66291,0.66291,0.66291,0.66215
7,0.017714,0.019064,0.018486,0.017548,0.025755,0.024379,0.024597,0.020206,0.024216,0.024216,0.022514,0.02275,0.022776,0.023197,0.022619,0.023375,0.022719,0.022788,0.022715,0.022534,0.022534,0.022332,0.022332,0.022589,0.022841,0.022841,0.022697,0.022697,0.022837,0.022993,0.022841,0.022841,0.022845,0.022845,0.022635,0.022859,0.022859,0.022732,0.022732,0.02286,0.022705,0.022705,0.022705,0.022804
8,0.0090437,0.00647,0.0050677,0.0059605,0.0021229,0.002514,0.0024829,0.0043736,0.0026293,0.0026293,0.0033472,0.0031751,0.003191,0.0030519,0.0032138,0.0030003,0.0032233,0.003189,0.0031655,0.0032398,0.0032398,0.0033716,0.0033716,0.0031995,0.0031522,0.0031522,0.0031512,0.0031512,0.0031303,0.0030595,0.0031189,0.0031189,0.0031278,0.0031278,0.0032058,0.0031099,0.0031099,0.0031508,0.0031508,0.0031231,0.0031547,0.0031547,0.0031547,0.0031284
9,1.9101e-05,-4.8787e-07,1.2178e-05,2.6447e-05,-8.4016e-06,-3.6956e-06,-1.3392e-05,7.6219e-06,-1.3555e-05,-1.3555e-05,-4.1416e-06,-5.8095e-06,-6.2208e-06,-1.0663e-05,2.294e-06,-1.0756e-05,-1.1522e-06,-3.1829e-06,-1.1098e-06,4.0599e-06,4.0599e-06,3.0262e-07,3.0262e-07,4.3459e-06,-6.2958e-07,-6.2958e-07,3.8967e-06,3.8967e-06,7.8908e-07,-4.4397e-09,1.0627e-06,1.0627e-06,3.9893e-07,3.9893e-07,1.969e-06,1.2908e-06,1.2908e-06,2.6957e-06,2.6957e-06,1.8365e-07,3.4791e-06,3.4791e-06,3.4791e-06,1.8871e-06
10,2.8713e-06,,2.2555e-06,2.5153e-06,,,2.9399e-06,,1.5002e-06,1.5002e-06,,,,3.1671e-06,,2.4923e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
