,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,22.408,24.705,24.705,25.27,23.42,23.759,24.501,23.884,24.06,24.908,24.211,23.392,23.691,24.117,24.053,23.904,23.836,24.002,24.002,24.355,24.355,23.973,23.973,24.106,23.978,23.916,23.916,24.113,24.113,24.045,24.045,24.123,24.123,23.995,24.041,24.02,24.02,24.02,24.136,24.136,24.156,24.156
1,-25.749,-28.559,-28.559,-28.992,-27.318,-27.66,-28.344,-27.745,-27.949,-28.733,-28.043,-27.293,-27.569,-27.986,-27.91,-27.779,-27.715,-27.872,-27.872,-28.211,-28.211,-27.85,-27.85,-27.968,-27.852,-27.792,-27.792,-27.977,-27.977,-27.912,-27.912,-27.984,-27.984,-27.862,-27.907,-27.89,-27.89,-27.89,-27.999,-27.999,-28.02,-28.02
2,-0.71861,-0.71607,-0.71607,-0.80081,-0.6752,-0.67978,-0.74705,-0.7212,-0.69917,-0.75224,-0.75398,-0.67652,-0.70254,-0.71508,-0.72599,-0.70813,-0.70367,-0.71172,-0.71172,-0.7264,-0.7264,-0.70703,-0.70703,-0.72106,-0.7086,-0.70643,-0.70643,-0.71873,-0.71873,-0.71613,-0.71613,-0.72184,-0.72184,-0.71586,-0.71683,-0.71229,-0.71229,-0.71229,-0.71972,-0.71972,-0.7185,-0.7185
3,-0.00028812,-0.00028822,-0.00028822,-0.0003995,-0.00028796,-0.00027887,-0.00036897,-0.00031405,-0.00030077,-0.00036826,-0.00036666,-0.00027865,-0.00031536,-0.00032456,-0.00033818,-0.00031459,-0.00030471,-0.0003104,-0.0003104,-0.00033271,-0.00033271,-0.00031096,-0.00031096,-0.00032224,-0.00031528,-0.0003104,-0.0003104,-0.00032392,-0.00032392,-0.00032107,-0.00032107,-0.0003263,-0.0003263,-0.00032316,-0.0003213,-0.00031857,-0.00031857,-0.00031857,-0.00032474,-0.00032474,-0.00031928,-0.00031928
4,-2.3695e-09,-1.419e-09,-1.419e-09,-2.6121e-09,-1.2487e-09,-9.9453e-10,-1.1034e-09,-1.6355e-09,-1.8499e-09,-1.1701e-09,-1.8679e-09,-9.9453e-10,-8.7289e-10,-1.2728e-09,-1.0912e-09,-1.334e-09,-1.7403e-09,-1.7224e-09,-1.7224e-09,-1.5523e-09,-1.5523e-09,-7.5556e-10,-7.5556e-10,-1.7515e-09,-1.3063e-09,-1.3124e-09,-1.3124e-09,-1.0393e-09,-1.0393e-09,-8.4378e-10,-8.4378e-10,-1.404e-09,-1.404e-09,-1.329e-09,-1.7833e-09,-1.7617e-09,-1.7617e-09,-1.7617e-09,-7.4738e-10,-7.4738e-10,-1.4688e-09,-1.4688e-09
5,0.6091,0.53018,0.53018,0.46978,0.53176,0.52191,0.50919,0.5069,0.52024,0.52534,0.52004,0.52202,0.51626,0.52716,0.51721,0.51969,0.51866,0.51688,0.51688,0.51655,0.51655,0.51846,0.51846,0.51914,0.51912,0.51876,0.51876,0.51905,0.51905,0.51923,0.51923,0.51965,0.51965,0.51967,0.51947,0.51882,0.51882,0.51882,0.51978,0.51978,0.51901,0.51901
6,0.38276,0.3266,0.3266,0.38103,0.31448,0.33693,0.33641,0.34001,0.33152,0.32261,0.33329,0.32351,0.33178,0.32632,0.33278,0.33002,0.33188,0.33179,0.33179,0.33278,0.33278,0.33168,0.33168,0.33094,0.33168,0.33164,0.33164,0.33154,0.33154,0.33145,0.33145,0.33088,0.33088,0.3309,0.33116,0.33193,0.33193,0.33193,0.33079,0.33079,0.33167,0.33167
7,0.014616,0.017362,0.017362,0.0089023,0.011589,0.014075,0.010482,0.010282,0.011133,0.012787,0.011199,0.011483,0.011382,0.012434,0.010987,0.011414,0.011595,0.011544,0.011544,0.011224,0.011224,0.011273,0.011273,0.011508,0.011593,0.011577,0.011577,0.011669,0.011669,0.011729,0.011729,0.011505,0.011505,0.011656,0.011638,0.011645,0.011645,0.011645,0.01161,0.01161,0.011553,0.011553
8,0.0011732,0.0001607,0.0001607,0.0029689,0.0015642,0.0005435,0.0020137,0.0021685,0.0017847,0.0010226,0.001755,0.0015772,0.0016392,0.0012338,0.0017923,0.0016224,0.0015912,0.001558,0.001558,0.0017226,0.0017226,0.0016691,0.0016691,0.0015813,0.0015445,0.0015677,0.0015677,0.0015321,0.0015321,0.0014944,0.0014944,0.0015782,0.0015782,0.0015366,0.001541,0.001523,0.001523,0.001523,0.0015441,0.0015441,0.0015574,0.0015574
9,1.396e-06,-1.9313e-06,-1.9313e-06,1.3334e-05,-7.0223e-07,-3.3483e-06,3.9764e-06,2.0068e-06,6.5045e-07,4.5264e-08,1.5364e-06,4.1902e-07,4.1035e-06,-2.4768e-06,4.5841e-06,9.7485e-07,-1.9078e-06,1.6679e-06,1.6679e-06,8.7188e-07,8.7188e-07,3.2561e-06,3.2561e-06,1.5024e-06,7.9539e-07,4.4226e-07,4.4226e-07,1.9617e-07,1.9617e-07,9.7049e-07,9.7049e-07,1.8111e-06,1.8111e-06,-8.394e-07,-6.2602e-07,1.8864e-06,1.8864e-06,1.8864e-06,9.2359e-07,9.2359e-07,2.1053e-06,2.1053e-06
10,,,,2.7465e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
