,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,28.246,28.381,28.591,28.02,28.468,28.851,28.585,28.75,28.727,28.482,28.421,28.534,28.77,28.388,28.398,28.476,28.48,28.622,28.507,28.503,28.541,28.512,28.643,28.547,28.559,28.508,28.488,28.593,28.573,28.535,28.494,28.531,28.531
1,-54.471,-54.56,-54.71,-54.13,-54.642,-54.878,-54.757,-54.849,-54.795,-54.625,-54.567,-54.635,-54.84,-54.503,-54.542,-54.615,-54.618,-54.738,-54.626,-54.633,-54.659,-54.637,-54.762,-54.684,-54.69,-54.632,-54.62,-54.719,-54.691,-54.645,-54.629,-54.654,-54.656
2,-4.6906,-4.7228,-4.7959,-4.8006,-4.7401,-4.8846,-4.7405,-4.8128,-4.8443,-4.771,-4.7666,-4.8113,-4.8426,-4.7985,-4.7689,-4.7741,-4.776,-4.7968,-4.7945,-4.784,-4.7951,-4.7888,-4.7946,-4.7775,-4.7832,-4.7898,-4.7817,-4.7868,-4.7952,-4.8026,-4.7785,-4.7905,-4.7891
3,-0.038425,-0.040872,-0.0414,-0.040849,-0.040535,-0.042123,-0.040437,-0.042055,-0.041202,-0.040992,-0.04047,-0.041384,-0.041576,-0.041235,-0.040776,-0.040796,-0.040587,-0.041376,-0.040788,-0.040749,-0.041267,-0.040946,-0.04121,-0.040638,-0.040906,-0.041185,-0.040716,-0.040992,-0.040953,-0.041361,-0.04086,-0.040957,-0.040981
4,-1.4053e-05,-1.5698e-05,-1.5597e-05,-1.5774e-05,-1.5186e-05,-1.644e-05,-1.5222e-05,-1.6362e-05,-1.5722e-05,-1.5612e-05,-1.5274e-05,-1.5778e-05,-1.6134e-05,-1.5773e-05,-1.5589e-05,-1.5669e-05,-1.5497e-05,-1.5943e-05,-1.5602e-05,-1.5572e-05,-1.5775e-05,-1.5555e-05,-1.5782e-05,-1.5572e-05,-1.5637e-05,-1.5859e-05,-1.5534e-05,-1.5693e-05,-1.5693e-05,-1.5902e-05,-1.5561e-05,-1.568e-05,-1.5672e-05
5,3.8952,3.8717,3.9089,3.8935,3.8942,3.8938,3.8936,3.8973,3.8954,3.8984,3.8948,3.8977,3.8968,3.8978,3.8972,3.8969,3.8973,3.8971,3.897,3.8971,3.897,3.8971,3.897,3.8971,3.897,3.8971,3.897,3.897,3.897,3.897,3.897,3.897,3.8971
6,0.1898,0.20963,0.18947,0.18958,0.19595,0.19649,0.19482,0.19481,0.1934,0.19353,0.19368,0.19206,0.19293,0.19241,0.19281,0.1928,0.1925,0.19298,0.19286,0.19297,0.19285,0.19295,0.19292,0.19291,0.19288,0.19289,0.19291,0.19291,0.19296,0.19292,0.19292,0.19291,0.19291
7,0.034697,0.034193,0.029289,0.032549,0.033862,0.031452,0.031962,0.032025,0.03332,0.0327,0.03306,0.032668,0.032863,0.033133,0.032726,0.033135,0.03274,0.032992,0.032924,0.033036,0.03289,0.032957,0.033026,0.03298,0.032903,0.03292,0.032995,0.032994,0.032995,0.032976,0.032982,0.032988,0.032983
8,-0.00010134,0.00060757,0.0031325,0.00092925,0.00027479,0.0020878,0.0016866,0.0016263,0.0006436,0.0010391,0.00087573,0.0010138,0.00095966,0.00075905,0.0010205,0.00074086,0.0010199,0.00084118,0.00089573,0.00081636,0.00090797,0.00087204,0.00081435,0.00085751,0.00092014,0.00088976,0.00084286,0.00084486,0.0008479,0.00085823,0.000854,0.00085081,0.00085008
9,0.00015488,0.00020266,0.00010132,0.00017061,0.00010878,0.00019952,0.00020251,0.00022996,0.00023018,0.00021881,0.00020441,0.00019215,0.00021256,0.00015247,0.00022031,0.00018227,0.00020996,0.00019336,0.00020677,0.00019243,0.00018112,0.00021429,0.00019314,0.00021537,0.00017802,0.00019378,0.00018555,0.00022018,0.00018821,0.0001997,0.00018161,0.00021132,0.00019905
10,9.8084e-05,1.4674e-05,0.00010369,2.8698e-05,0.00012375,4.4135e-05,1.8784e-05,1.4973e-05,6.1749e-06,1.3938e-05,2.2043e-05,3.5788e-05,1.0939e-05,7.3189e-05,7.1728e-06,4.7283e-05,1.1828e-05,3.5715e-05,2.0493e-05,3.738e-05,4.6736e-05,1.5121e-05,3.7608e-05,1.3094e-05,4.8107e-05,3.5077e-05,4.3762e-05,9.1026e-06,4.1496e-05,2.911e-05,4.7313e-05,1.7591e-05,3.0095e-05
11,4.174e-06,1.2076e-05,3.2146e-05,1.5078e-05,1.1816e-05,1.4827e-05,1.2952e-05,2.0532e-06,,1.1311e-05,9.9764e-06,1.1506e-05,1.059e-05,1.0391e-05,,1.0224e-05,1.1618e-05,1.0246e-05,1.0745e-05,1.0179e-05,1.1066e-05,1.0528e-05,1.0182e-05,1.0215e-05,1.0666e-05,1.0715e-05,1.0423e-05,,1.0197e-05,1.0499e-05,1.0404e-05,1.0335e-05,1.0409e-05
12,,4.9258e-08,-8.4961e-07,-4.5556e-07,-1.3817e-06,-1.6836e-06,-1.5578e-06,,,-1.5341e-06,,-1.615e-06,-1.5763e-06,-1.4718e-06,,-1.6415e-06,-1.3871e-06,-1.5855e-06,-1.5983e-06,-1.5838e-06,-1.5923e-06,-1.6144e-06,-1.6181e-06,-1.5861e-06,-1.5844e-06,-1.5576e-06,-1.607e-06,,-1.654e-06,-1.6078e-06,-1.6017e-06,-1.6143e-06,-1.6112e-06
