,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,164.08,162.54,161.74,161.74,161.96,161.23,160.98,161.12,161.79,160.68,161.23,161.18,161.13,161.49,160.41,161.0,161.19,161.33,161.23,161.31,161.05,160.84,161.24,161.54,161.3,161.2,161.08,161.39,161.11,161.54,161.16,161.0,161.1,161.03,160.98,161.21,161.12
1,-217.26,-215.53,-214.66,-214.66,-215.02,-214.53,-213.97,-214.17,-215.06,-213.67,-214.36,-214.24,-214.19,-214.59,-213.64,-214.23,-214.36,-214.5,-214.28,-214.38,-214.19,-214.04,-214.4,-214.64,-214.43,-214.32,-214.18,-214.46,-214.25,-214.61,-214.26,-214.16,-214.27,-214.21,-214.16,-214.34,-214.26
2,-28.198,-28.451,-28.514,-28.514,-28.381,-28.134,-28.423,-28.369,-28.182,-28.428,-28.303,-28.363,-28.368,-28.332,-28.214,-28.205,-28.263,-28.263,-28.374,-28.36,-28.29,-28.242,-28.267,-28.337,-28.297,-28.311,-28.326,-28.364,-28.286,-28.364,-28.325,-28.272,-28.271,-28.253,-28.26,-28.303,-28.285
3,-1.0977,-1.1066,-1.1049,-1.1049,-1.1104,-1.099,-1.1269,-1.1168,-1.0939,-1.1214,-1.1063,-1.1126,-1.1125,-1.1066,-1.0963,-1.1033,-1.1075,-1.1005,-1.1103,-1.1053,-1.1038,-1.0972,-1.1069,-1.1023,-1.1038,-1.1033,-1.1073,-1.1081,-1.1062,-1.1054,-1.1046,-1.1042,-1.1019,-1.1023,-1.1034,-1.105,-1.1032
4,-0.009792,-0.0098077,-0.0099745,-0.0099745,-0.0099363,-0.0099221,-0.0099977,-0.01001,-0.0098382,-0.0099877,-0.0098458,-0.0099072,-0.0099558,-0.0098734,-0.0097832,-0.0098438,-0.0099037,-0.0098402,-0.0098907,-0.0098941,-0.009869,-0.009804,-0.0098847,-0.0098458,-0.0098591,-0.009867,-0.0098872,-0.0098994,-0.0098763,-0.0098639,-0.0098635,-0.0098505,-0.009843,-0.0098393,-0.0098672,-0.0098664,-0.0098596
5,10.335,10.427,10.453,10.453,10.442,10.445,10.445,10.444,10.449,10.446,10.447,10.445,10.448,10.447,10.447,10.448,10.448,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447,10.447
6,0.48217,0.50005,0.47791,0.47791,0.47449,0.46338,0.47295,0.46588,0.46569,0.46733,0.46669,0.46665,0.46314,0.46375,0.46442,0.4645,0.46462,0.4649,0.4645,0.46516,0.46486,0.46498,0.46501,0.4648,0.46488,0.46482,0.46502,0.46487,0.46491,0.46494,0.46505,0.46491,0.46497,0.4649,0.46495,0.46495,0.46496
7,0.090976,0.081936,0.079086,0.079086,0.083309,0.081407,0.081334,0.080519,0.081879,0.082659,0.081151,0.082094,0.082075,0.081488,0.081565,0.081599,0.081503,0.081399,0.081491,0.081566,0.081493,0.081409,0.081409,0.081436,0.081417,0.081363,0.081447,0.081409,0.081429,0.081415,0.081408,0.08142,0.081407,0.081408,0.08142,0.081407,0.081413
8,0.0010323,0.0015499,0.0020361,0.0020361,0.0013923,0.0019122,0.0013256,0.0026924,0.001946,0.0014897,0.0020042,0.0018681,0.0017149,0.0018088,0.002,0.001944,0.0019309,0.0019485,0.0019958,0.0020411,0.0020379,0.0020844,0.0021098,0.0020806,0.0019414,0.0021381,0.0020115,0.0020992,0.0020145,0.0021165,0.0021105,0.0020015,0.0020693,0.0020283,0.0020849,0.0020848,0.0020901
9,3.4341e-05,0.0017292,0.0026487,0.0026487,0.00037099,0.00042046,0.001251,0.00025886,0.00036557,0.00030609,0.00045443,0.0006437,0.00037377,0.00045236,0.00036529,0.0003653,0.00044389,0.00040959,0.00031235,0.00031731,0.00031968,0.00031499,0.00030416,0.00029397,0.0004024,0.00032507,0.00033229,0.00036115,0.00035626,0.00038253,0.00037132,0.00036676,0.00030959,0.00032994,0.00039628,0.0003272,0.00033361
10,-0.00012995,0.0003562,0.00066286,0.00066286,0.00035816,0.0005564,0.00037363,0.00079519,0.0009046,0.00050217,0.00049391,0.00057168,0.001002,0.00064505,0.0005404,0.00055153,0.00086368,0.00069939,0.00060452,0.00063216,0.0006088,0.00060119,0.00064732,0.00066464,0.00056921,0.00061537,0.00058977,0.00061834,0.00052981,0.00078243,0.00074683,0.00051825,0.00061597,0.00064042,0.0010364,0.00058131,0.00058503
11,0.00025139,0.00077374,0.00037497,0.00037497,0.00062495,0.00056151,0.00094562,0.00035157,5.6663e-05,0.00058549,0.00077552,8.2357e-05,3.3626e-05,0.00055583,0.00055184,0.00057043,0.00025476,0.0005352,0.00057387,0.00047981,0.00054308,0.00056686,0.00050045,0.00051502,0.00065184,0.00051913,0.00061023,0.00048576,0.00065876,0.00028304,0.00034182,0.00067956,0.00056721,0.00057297,4.4916e-05,0.0005762,0.00055761
12,2.5632e-05,6.5124e-05,0.00011041,0.00011041,8.2858e-05,3.1073e-05,4.6904e-05,4.0842e-05,7.6041e-05,8.2796e-05,3.1296e-05,8.102e-05,2.9845e-05,2.8397e-05,2.9623e-05,3.218e-05,3.2605e-05,3.2686e-05,3.2993e-05,3.2796e-05,3.7564e-05,3.6854e-05,3.7377e-05,3.657e-05,3.141e-05,5.3215e-05,3.3558e-05,3.1448e-05,3.5924e-05,3.1602e-05,5.0503e-05,3.0438e-05,3.3424e-05,3.3949e-05,4.0245e-05,3.7479e-05,3.6595e-05
13,2.5596e-05,7.8871e-05,3.3015e-05,3.3015e-05,1.0317e-06,5.4147e-05,8.1113e-05,4.4811e-05,7.0061e-06,3.5753e-06,5.6425e-05,1.0489e-05,4.7058e-05,5.1752e-05,5.7963e-05,5.8013e-05,5.7692e-05,5.1695e-05,4.9114e-05,5.3359e-05,4.6493e-05,4.7065e-05,4.771e-05,4.7478e-05,5.2731e-05,2.9342e-05,5.1731e-05,5.448e-05,4.8298e-05,5.6298e-05,3.4523e-05,5.7303e-05,5.1143e-05,4.9971e-05,4.5753e-05,4.649e-05,4.7456e-05
