,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,194.83,194.0,193.65,194.94,193.23,193.01,193.33,193.53,193.78,193.32,193.89,194.09,193.54,193.56,193.16,193.52,193.59,193.52,193.69,193.66,193.46,193.5,193.66,193.59,193.59,193.64,193.48,193.6,193.54,193.56
1,-253.11,-252.61,-252.53,-253.57,-251.92,-251.85,-252.23,-252.39,-252.54,-252.21,-252.6,-252.84,-252.37,-252.44,-252.06,-252.37,-252.45,-252.39,-252.55,-252.48,-252.33,-252.38,-252.5,-252.46,-252.45,-252.53,-252.38,-252.45,-252.41,-252.42
2,-33.029,-32.756,-32.542,-32.796,-32.735,-32.591,-32.539,-32.578,-32.674,-32.549,-32.722,-32.684,-32.604,-32.554,-32.538,-32.576,-32.573,-32.566,-32.583,-32.608,-32.563,-32.561,-32.592,-32.567,-32.571,-32.555,-32.545,-32.59,-32.569,-32.573
3,-1.4397,-1.4342,-1.4172,-1.4156,-1.4237,-1.4166,-1.4105,-1.4131,-1.4166,-1.4172,-1.4123,-1.4189,-1.4157,-1.4145,-1.4123,-1.414,-1.412,-1.4132,-1.4082,-1.4142,-1.4102,-1.4099,-1.414,-1.4119,-1.4141,-1.4113,-1.4108,-1.4122,-1.4135,-1.4129
4,-0.014785,-0.014992,-0.014898,-0.014677,-0.01483,-0.014685,-0.014726,-0.014752,-0.014756,-0.014745,-0.01476,-0.0148,-0.014737,-0.014713,-0.014696,-0.014731,-0.014709,-0.014723,-0.014664,-0.014713,-0.014685,-0.014703,-0.01473,-0.014715,-0.014731,-0.014703,-0.014709,-0.014719,-0.014733,-0.014721
5,11.742,11.702,11.757,11.769,11.763,11.774,11.777,11.778,11.775,11.777,11.774,11.778,11.777,11.776,11.775,11.775,11.776,11.776,11.776,11.776,11.775,11.776,11.776,11.776,11.775,11.775,11.776,11.776,11.775,11.776
6,0.48705,0.50108,0.49683,0.49535,0.50173,0.49734,0.50048,0.49783,0.50046,0.49728,0.49762,0.49687,0.49888,0.49822,0.49874,0.49842,0.49727,0.49864,0.49852,0.49837,0.49856,0.49746,0.49846,0.49832,0.49845,0.49843,0.49829,0.49838,0.49845,0.49833
7,0.089861,0.093581,0.090818,0.090947,0.091463,0.092503,0.092428,0.092495,0.092758,0.092316,0.092313,0.091568,0.09251,0.091459,0.091613,0.091884,0.091999,0.091871,0.091931,0.09186,0.091928,0.091966,0.091879,0.091874,0.091798,0.091977,0.091867,0.09193,0.091906,0.09177
8,0.0028496,0.0026415,0.0049232,0.0045715,0.0046814,0.0038543,0.004079,0.0040548,0.0040811,0.0038918,0.0036449,0.0043497,0.0038921,0.0044461,0.0042875,0.004335,0.0042914,0.0044066,0.0043436,0.0042681,0.0041984,0.0042549,0.0043344,0.0044318,0.0043894,0.0043148,0.0043795,0.0043508,0.0043517,0.0044517
9,0.0026481,0.0011955,0.00060172,0.00057038,0.00060493,0.00063408,0.0004842,0.0005523,0.00045744,0.00056152,0.00080817,0.00063759,0.00055177,0.00059557,0.0006469,0.00045499,0.00041837,0.00039137,0.00043266,0.00052448,0.00056628,0.00047048,0.00045505,0.00037899,0.00046718,0.00043896,0.00043423,0.0004052,0.00043198,0.00041535
10,0.00015465,0.00067888,0.00064038,0.00058535,0.00062728,0.00069968,0.00085459,0.00076684,0.00074486,0.00082035,0.00072061,0.00077395,0.00081865,0.00074056,0.00073445,0.00081914,0.00082491,0.00083534,0.00087203,0.00076862,0.00075301,0.00082704,0.00084263,0.00084794,0.00080664,0.00081442,0.00082677,0.00084731,0.0008313,0.00085663
11,0.0003612,9.6432e-05,9.2139e-05,0.00014495,0.00014796,0.00018687,0.00011098,0.00011043,0.00015029,0.00019894,0.00023285,0.00016797,0.00013474,0.00022021,0.00023485,0.00013073,0.00012435,0.00012055,7.6592e-05,0.00018549,0.00020252,0.00012509,0.00011033,9.8182e-05,0.00014498,0.00013478,0.00012698,0.00010449,0.00011676,9.1222e-05
12,6.1389e-05,0.00018554,0.00010795,0.00012914,0.00011696,7.6973e-05,0.00010638,0.00010731,0.0001045,8.1657e-05,9.1629e-05,9.5052e-05,9.2672e-05,9.8219e-05,9.4594e-05,0.00010309,0.00010333,0.00010717,0.00010385,9.7896e-05,9.7536e-05,9.6075e-05,0.00010211,0.00010638,0.0001005,0.00010593,0.0001033,0.00010428,0.00010037,0.00010318
13,6.821e-05,4.6767e-06,1.8434e-05,1.3655e-05,1.9656e-05,3.1877e-05,2.409e-05,1.7608e-05,1.9352e-05,3.1875e-05,3.5238e-05,3.1483e-05,2.8141e-05,2.7722e-05,3.0707e-05,1.9791e-05,1.6356e-05,1.8387e-05,1.9547e-05,2.5531e-05,2.5246e-05,2.3875e-05,2.2193e-05,1.6953e-05,2.3512e-05,1.7706e-05,2.0274e-05,1.9342e-05,2.232e-05,2.0627e-05
14,1.4434e-05,,7.7875e-06,1.3056e-05,8.9009e-06,9.3287e-06,7.1018e-06,5.1556e-06,6.3703e-06,5.6993e-06,4.8616e-06,5.5718e-06,5.3409e-06,5.5982e-06,5.1365e-06,5.4329e-06,4.9628e-06,5.2877e-06,5.3297e-06,5.3595e-06,5.1257e-06,5.2864e-06,5.2811e-06,5.2582e-06,5.3894e-06,5.0749e-06,5.1541e-06,5.2036e-06,5.3965e-06,5.4411e-06
15,2.8838e-06,,,4.7907e-07,,,,,,,,,,,,,,,,,,,,,,,,,,
